,fi_1880,fi_1880_d
0,mertailu,0.829
1,wertailu,0.815
2,menetystäpä,0.689
3,vertaaminen,0.685
4,vertaus,0.681
5,järjestelmä,0.665
6,yhdenmukaisuus,0.655
7,eroawaisuus,0.654
8,menettelytapa,0.652
9,erilaisuus,0.647
10,erotus,0.645
11,ryhmitys,0.643
12,hawainto,0.634
13,wuorowaikutus,0.63
14,verotus,0.63
15,eroamaisuus,0.626
16,arvostelu,0.623
17,valikoiminen,0.622
18,toimenpide,0.619
19,otaksuminen,0.618
20,snhde,0.614
21,suhta,0.61
22,viittaus,0.606
23,näkökanta,0.606
24,tilasto,0.604
25,muoromaikutus,0.603
26,väite,0.601
27,ristiriitaisuus,0.601
28,läheneminen,0.599
29,croitus,0.598
30,eroitus,0.595
31,kielitaito,0.595
32,käsitteiden,0.593
33,eroitns,0.593
34,katsantotapa,0.589
35,yhdystyö,0.589
36,arwosteleminen,0.589
37,järjestysmuoto,0.589
38,opetustapa,0.588
39,viljelystapa,0.586
40,vastahakoisuus,0.586
41,annostelu,0.585
42,yhdistyminen,0.584
43,eroilus,0.583
44,työnjako,0.583
45,yhdysmaikutus,0.583
46,ailutus,0.582
47,paremmuus,0.581
48,vailutus,0.581
49,näkökohta,0.578
50,menettely,0.578
51,yhtäläisyys,0.578
52,punnitseminen,0.578
53,asianhaara,0.577
54,arwostelu,0.577
55,armostclu,0.576
56,moninaisuus,0.574
57,vaihtelu,0.574
58,määritteleminen,0.574
59,virhe,0.573
60,suhde,0.572
61,epätasaisuus,0.571
62,vähennys,0.571
63,käytäntö,0.57
64,työtapa,0.57
65,sekasotku,0.569
66,vertailuja,0.569
67,eroitua,0.569
68,tasaisuus,0.566
69,werotus,0.565
70,käsityskanta,0.565
71,käsitystapa,0.564
72,keinottelu,0.564
73,lasitteiden,0.564
74,asiaintila,0.563
75,täsitys,0.563
76,katsantokanta,0.563
77,periaate,0.563
78,eroitu,0.563
79,havainto,0.563
80,määrittely,0.563
81,tuttavuus,0.562
82,lehitys,0.561
83,suunnitelma,0.56
84,kokoonpano,0.56
85,sekaannus,0.559
86,painosten,0.558
87,säädös,0.558
88,johtopäätös,0.558
89,olettaminen,0.558
90,muodostus,0.557
91,määritelmä,0.556
92,merlitys,0.555
93,etuisuus,0.555
94,tutustuminen,0.555
95,vetoaminen,0.554
96,scilla,0.554
97,arwostclu,0.554
98,merotus,0.554
99,vaikeus,0.554
