,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,wirallinen,0.876,wirallinen,0.885
1,wirallincn,0.832,wiralliuen,0.825
2,mirallinen,0.771,wirallincn,0.815
3,toimitutsen,0.566,mirallinen,0.791
4,ojasto,0.557,irallinen,0.785
5,toimitulsen,0.541,wirallineu,0.775
6,dsasto,0.538,mitallinen,0.772
7,osast,0.523,mirallincn,0.771
8,kyläkirjasto,0.522,nirallinen,0.75
9,summittainen,0.514,mrallmen,0.688
10,tuomctar,0.501,mrallinen,0.683
11,suomalainen,0.501,wirallmen,0.655
12,kesti-suomi,0.489,nirallmen,0.646
13,toimituksen,0.486,venäjänkielinen,0.601
14,venäläinen,0.482,puolivirallinen,0.566
15,tilasto,0.478,wenäläine,0.564
16,kumalehti,0.472,julkaistu,0.56
17,©uomalainen,0.464,hallinnollinen,0.559
18,ileinen,0.464,julaistu,0.549
19,kirjallinen,0.463,venäläinen,0.547
20,kuukauslehti,0.459,teolooginen,0.545
21,wirall,0.455,diplomaattinen,0.539
22,wirallista,0.453,jultaistu,0.539
23,virallista,0.452,lewittämä,0.528
24,jcla,0.448,enfimäinen,0.527
25,ilmestyy,0.442,dleinen,0.524
26,helsingista,0.435,toimituksen,0.522
27,penn,0.433,tilastollinen,0.522
28,kuwalehti,0.431,ruotsinkielinen,0.519
29,toimistolta,0.43,peruuttamaton,0.519
30,arli-tiistaina,0.43,rallinen,0.516
31,37.,0.43,julaislu,0.514
32,virallisia,0.429,aleinen,0.514
33,tilastollinen,0.429,uleinen,0.513
34,osasto,0.428,ranskankielinen,0.511
35,suuriruhtinanmaan,0.428,oikeudellinen,0.508
36,ruotsinkielinen,0.427,nirall,0.507
37,seur,0.424,julkinen,0.506
38,suometar,0.424,ensimmäinen,0.504
39,finl,0.423,enstmäinen,0.504
40,pääskynen,0.421,painoylihallitutsen,0.501
41,ilmestywä,0.419,virall,0.5
42,nro,0.418,painoylihallitulsen,0.499
43,julkaisee,0.417,jullaistu,0.499
44,sanansaattaja,0.415,puheenaolewa,0.499
45,lehti,0.412,ensimälnen,0.498
46,wasabladet,0.41,painoyli,0.496
47,pcnn,0.409,ruotsinlielinen,0.495
48,majesteetin,0.408,yllämainittu,0.493
49,viralliset,0.407,opillinen,0.493
50,43.,0.405,virallisen,0.492
51,inkaan,0.403,valtiosihteerin,0.492
52,tilaus-ilmoitus,0.402,painoylihallituksen,0.491
53,pohjois-suomi,0.401,maantieteellinen,0.491
54,iywäskylä,0.4,iällinen,0.49
55,menolainen,0.4,uusi,0.49
56,luomessa,0.399,julaiötu,0.49
57,hels,0.399,ensimäinen,0.489
58,karjalatar,0.398,dreyfnsin,0.487
59,ilmarinen,0.398,seuiaawa,0.487
60,helsingfors,0.397,bulgarialainen,0.486
61,suomalaiuen,0.397,ileinen,0.482
62,morgonbladet,0.397,ensimäineu,0.482
63,joulukuulta,0.396,enäläinen,0.481
64,klupi,0.395,asetuskokoelmassa,0.48
65,kuwalehden,0.394,muodollinen,0.48
66,ann,0.394,yleinen,0.48
67,lchti,0.393,ilcinen,0.477
68,arin,0.392,dreyfnfin,0.477
69,virallisen,0.392,seuraalva,0.477
70,suomenkielinen,0.391,lielinen,0.476
71,presse,0.391,virallisesti,0.475
72,seuraava,0.39,maattinen,0.474
73,toimituspaikka,0.389,ensimäille,0.473
74,ärm,0.387,nimenomainen,0.472
75,kyläkirjaston,0.386,geologinen,0.472
76,uusi,0.385,virallisessa,0.472
77,postimalsotta,0.384,dreyfustn,0.472
78,ulkomailta,0.384,ensimäiuen,0.471
79,allm,0.383,ojasto,0.471
80,lehtemme,0.383,.suomalainen,0.471
81,tidskrift,0.381,mleinen,0.47
82,asetus-,0.381,arkeologinen,0.47
83,93.,0.381,wiimeiuen,0.469
84,raamatunselitys,0.38,yleinm,0.468
85,operanäytäntö,0.38,muinaistieteellinen,0.466
86,lähetys-sanomia,0.38,lastollinen,0.466
87,ultomailta,0.38,tuenalainen,0.465
88,fys.-mat,0.379,prokuraattorin,0.465
89,vaasa,0.378,painohallituksen,0.465
90,uusmaalainen,0.378,suomenlielinen,0.465
91,freie,0.378,wenäläinen,0.464
92,wirallisessa,0.377,virallisissa,0.464
93,hti,0.377,rnotsalainen,0.464
94,kurre,0.376,puheenaolema,0.464
95,5-6,0.375,lvenäläinen,0.463
96,helsingissä,0.374,jnlaistu,0.463
97,mirallisia,0.373,nenäläinen,0.463
98,suomenlehti,0.372,kirkollisasiain,0.462
99,armoll,0.372,lirjallinen,0.462
