,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,voitto,0.688,moima,0.786,ivoima,0.756
1,nero,0.662,välikappale,0.782,moima,0.755
2,tunto,0.651,viha,0.733,lvoima,0.754
3,olento,0.647,voimallinen,0.73,muima,0.742
4,vaikuttanut,0.626,vaikuttama,0.728,woima,0.731
5,vaikuttaa,0.625,vaikutus,0.726,viisaus,0.726
6,vieläkin,0.625,viisaus,0.719,hyve,0.696
7,voittaa,0.622,vääryys,0.692,tvoima,0.683
8,moima,0.62,veren,0.688,wuima,0.68
9,viinan,0.614,lvoima,0.684,syvyys,0.673
10,luonnollinen,0.61,vika,0.676,varmuus,0.67
11,elämä,0.603,vaara,0.672,viehätys,0.667
12,viljelys,0.599,woima,0.668,sivistys,0.659
13,vaatii,0.598,voimasta,0.666,voimaa,0.657
14,oikia,0.594,valtakunta,0.663,intohimo,0.65
15,synti,0.591,voimaa,0.656,vaikutus,0.648
16,väli,0.59,himo,0.653,vakaumus,0.642
17,ulkonainen,0.589,nieli,0.652,molma,0.641
18,vallassa,0.589,luonne,0.646,moiina,0.641
19,vähäinen,0.587,muoto,0.645,valppaus,0.637
20,olo,0.582,voittaa,0.645,lakkaus,0.634
21,rikkaus,0.581,miisaus,0.644,valistus,0.633
22,totuus,0.577,lujuus,0.643,itseluottamus,0.632
23,va,0.576,voiman,0.639,rohkeus,0.632
24,val,0.576,turmelus,0.636,väkivalta,0.631
25,muoto,0.576,tunto,0.634,lujuus,0.63
26,kaus,0.576,veri,0.634,uljuus,0.627
27,köyhyys,0.573,väärä,0.633,alkulähde,0.625
28,maallinen,0.57,voitto,0.632,vallanhimo,0.624
29,sc,0.569,vapaus,0.627,viekkaus,0.623
30,pelko,0.568,verrattoman,0.618,itsetunto,0.622
31,woima,0.565,silvistys,0.618,turva,0.62
32,kni,0.564,ahdistus,0.617,miehuus,0.619
33,vahinko,0.563,viisauden,0.615,voimakas,0.616
34,voiton,0.558,valtaa,0.614,vetovoima,0.615
35,valta,0.556,liikunto,0.612,jumalatar,0.614
36,simistys,0.556,kuuliaisuus,0.609,itsetietoisuus,0.613
37,väki,0.555,valistus,0.609,valkeus,0.613
38,ec,0.554,luottamus,0.607,pontemuus,0.612
39,meno,0.553,maima,0.604,elinmoima,0.612
40,menestys,0.552,into,0.603,siveellinen,0.612
41,luonto,0.551,kristillisyys,0.602,elämänhalu,0.61
42,sisällinen,0.548,varallisuus,0.601,helvetti,0.609
43,yt,0.547,mailina,0.601,raivo,0.609
44,vapauden,0.546,nero,0.6,luonnollisuus,0.608
45,voimalla,0.545,turmio,0.599,kirkkaus,0.608
46,vai,0.543,synnyttämä,0.596,ihanne,0.607
47,ajatus,0.543,vaatimus,0.595,uskallus,0.607
48,liikunto,0.542,rohkeus,0.594,lumous,0.606
49,välistä,0.541,pyhyys,0.594,jalous,0.605
50,rakkaus,0.538,vääryyden,0.594,sulous,0.602
51,aine,0.538,synti,0.593,nioima,0.602
52,luulo,0.537,rakkaus,0.592,kunniantunto,0.602
53,kristillisyys,0.537,inhimillinen,0.592,tulevaisuus,0.602
54,ymmärrys,0.537,pyrintö,0.591,vakavuus,0.601
55,uni,0.535,heuki,0.591,voimu,0.601
56,vesi,0.534,tulva,0.591,välikappale,0.6
57,käytös,0.533,sielu,0.591,hyvinvointi,0.6
58,täytetty,0.532,katsantotapa,0.589,valhe,0.599
59,sielu,0.531,mielenlaatu,0.588,elinwoima,0.599
60,laatu,0.529,voimakas,0.588,vastustamaton,0.598
61,ihmisellä,0.529,välikappaleena,0.588,mielikuvitus,0.598
62,vähitellen,0.528,valo,0.587,wetowoima,0.598
63,into,0.528,olento,0.587,vaikutu,0.598
64,himo,0.527,kirous,0.587,vapaus,0.597
65,vieras,0.527,toimeliaisuus,0.586,into,0.597
66,näkö,0.526,pelko,0.585,vitsaus,0.597
67,voiman,0.526,hedelmä,0.585,kauneus,0.597
68,haitta,0.526,ahneus,0.585,rakkaus,0.595
69,alainen,0.524,side,0.584,valtava,0.594
70,kansallinen,0.523,voitettu,0.583,levollisuus,0.592
71,raakuus,0.521,rikkaus,0.583,häviö,0.592
72,rai,0.521,henki,0.583,luonne,0.592
73,vuoksi,0.521,pahe,0.581,vaino,0.592
74,tapa,0.521,loisto,0.581,tnnto,0.59
75,voimaa,0.52,vapauden,0.58,vapaamielisyys,0.589
76,etu,0.52,hulluus,0.579,nero,0.588
77,sellainen,0.52,ydin,0.578,todellisuus,0.588
78,paljas,0.519,ihmisessä,0.578,arvo,0.587
79,väen,0.518,valtaan,0.576,ihailu,0.586
80,vähempi,0.517,kauneus,0.576,epätoivo,0.586
81,väärin,0.516,omatunto,0.574,esikuva,0.585
82,vallan,0.515,sisällinen,0.573,kypsyys,0.584
