,fi_1880,fi_1880_d
0,wuosisata,0.905
1,muosisata,0.885
2,ajanjakso,0.807
3,vuosikymmen,0.719
4,aikakausi,0.695
5,vuosisataa,0.693
6,vuosi,0.678
7,wuusi,0.672
8,miespolmi,0.668
9,vuosikausi,0.657
10,vuosisatamme,0.649
11,vuosisadan,0.645
12,jalso,0.643
13,muosisataa,0.634
14,ailalausi,0.627
15,miespolwi,0.626
16,vnosi,0.624
17,hallituskausi,0.619
18,vuosituhatta,0.618
19,wuosikymmen,0.617
20,murrosaika,0.614
21,wuosisataa,0.61
22,wuosi,0.608
23,kielitaistelu,0.603
24,vuosisatoja,0.602
25,ivuosi,0.602
26,uofi,0.601
27,vuosituhansia,0.601
28,nuosi,0.595
29,nmosi,0.591
30,umosi,0.591
31,uost,0.589
32,uosi,0.587
33,jakso,0.587
34,wuosisadan,0.586
35,vuosikymmenen,0.585
36,niuosi,0.583
37,vallankumous,0.583
38,virtaus,0.583
39,wuofi,0.582
40,ajanlasku,0.582
41,wirtaus,0.582
42,sukupolvi,0.581
43,muosi,0.579
44,wuosisatamme,0.579
45,muusi,0.579
46,muofi,0.579
47,lvuosi,0.578
48,wuost,0.578
49,muost,0.577
50,wnosi,0.575
51,sutupolwi,0.575
52,muosikymmen,0.572
53,säätykokous,0.57
54,mnosi,0.569
55,nmofi,0.565
56,tvuosi,0.565
57,ajanjakson,0.564
58,rouoft,0.563
59,muofisadan,0.562
60,opinahjo,0.561
61,hallitusaika,0.56
62,muosisadan,0.559
63,vitsaus,0.559
64,uosisadan,0.559
65,lieliasetus,0.558
66,sukukunta,0.558
67,valtakunta,0.558
68,wnofi,0.557
69,wuofisadan,0.557
70,vuosikymmentä,0.557
71,puoluejako,0.556
72,valoisampi,0.555
73,wnosisadan,0.553
74,sukupolwi,0.552
75,nmosisadan,0.551
76,ihmissuku,0.548
77,sukupolmi,0.548
78,sulupolwi,0.547
79,kieliriita,0.547
80,wuoft,0.547
81,tilimuosi,0.546
82,aate,0.546
83,sulupolmi,0.544
84,satalumun,0.54
85,mnosisadan,0.539
86,ilojuhla,0.539
87,muoft,0.538
88,vnotta,0.538
89,wuosisadau,0.538
90,vuosisadalla,0.533
91,askel,0.532
92,jatso,0.531
93,uoft,0.531
94,taidelaitos,0.531
95,tuuma,0.53
96,muosisatamme,0.529
97,sisadan,0.528
98,istuntokausi,0.527
99,harppaus,0.527
