,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,yhtyä,0.937,yhtyä,0.943
1,suostua,0.775,liittyä,0.897
2,myöntyä,0.767,yhlyä,0.858
3,liittyä,0.759,liittäytyä,0.849
4,turwautua,0.732,lyöttäytyä,0.767
5,ryhtyä,0.731,nojautua,0.758
6,sekaantua,0.707,medota,0.753
7,kääntyä,0.7,suostua,0.749
8,rmveta,0.69,vedota,0.733
9,luottaa,0.673,rajoittua,0.731
10,antautua,0.672,wedota,0.73
11,taipua,0.671,asettua,0.728
12,suostumaan,0.669,someltua,0.723
13,turmautua,0.667,sulautua,0.72
14,yhtymään,0.661,turmautua,0.713
15,turmata,0.652,taipua,0.712
16,rumeta,0.647,mcdota,0.708
17,asettua,0.644,ryyhtyä,0.707
18,kokoontua,0.64,mukautua,0.705
19,tutustua,0.639,yhtymällä,0.697
20,ruveta,0.637,ryhtyä,0.697
21,rulveta,0.628,wcdota,0.696
22,keskustella,0.626,sekaantua,0.69
23,tarttua,0.626,kiintyä,0.689
24,tnlla,0.625,kääntyä,0.689
25,yhdistää,0.624,yhtymään,0.688
26,ruweta,0.621,luottaa,0.685
27,kutsua,0.62,alistua,0.684
28,yhdistymään,0.619,perustua,0.682
29,ryhtymän,0.612,yhdistymään,0.68
30,yhdistyisi,0.612,sekautua,0.679
31,ruwcta,0.611,juostua,0.678
32,mastata,0.606,soweltua,0.678
33,turwata,0.605,myöntyä,0.676
34,sitoutua,0.605,asettautua,0.676
35,puuttua,0.604,pyrkiä,0.675
36,asettaa,0.598,suoslua,0.674
37,myöntymään,0.595,yhdistää,0.674
38,siirtyä,0.594,kajota,0.67
39,wastata,0.594,tutustua,0.669
40,verrata,0.592,turwautua,0.664
41,sijoittaa,0.59,antautua,0.664
42,ajatukseen,0.586,mieltyä,0.66
43,tulla,0.585,lnottaa,0.66
44,yhtyisi,0.585,siirtyä,0.658
45,kajota,0.579,sijoittua,0.658
46,rnweta,0.575,wcrrata,0.656
47,mustata,0.575,liittymään,0.655
48,tottua,0.575,somelluttaa,0.655
49,joutua,0.574,tääntyä,0.654
50,lytätä,0.574,ryhlyä,0.653
51,tunkeutua,0.57,miitata,0.652
52,malita,0.568,jakautua,0.651
53,somittaa,0.566,wastala,0.648
54,waihtaa,0.565,rnmeta,0.647
55,lykätä,0.564,edota,0.647
56,yhdistymistä,0.563,kuulua,0.646
57,taipumaan,0.562,pystyä,0.646
58,pakoittaa,0.562,wiitata,0.645
59,keskinäiseen,0.561,malita,0.644
60,katkaista,0.561,ryhtnä,0.641
61,peräyttää,0.561,muodostua,0.637
62,puoltaa,0.561,maslata,0.635
63,suostuman,0.559,distyä,0.633
64,walita,0.559,sowiltaa,0.633
65,mahtua,0.558,merrata,0.631
66,yhtymistä,0.558,mukaantua,0.631
67,sekoittaa,0.558,rnhtyä,0.631
68,ehdotella,0.556,jakaantua,0.628
69,käydä,0.556,kytkeä,0.628
70,pyrkiä,0.555,rmveta,0.628
71,tytyä,0.555,perustaa,0.626
72,sowittaa,0.554,waslata,0.626
73,kilpailla,0.553,mahtua,0.625
74,toimeenpanna,0.552,lääntyä,0.625
75,merrata,0.55,pernstaa,0.625
76,wiitata,0.548,tunvautua,0.624
77,somintoon,0.548,kohdistua,0.624
78,päättää,0.547,kokoontua,0.623
79,sulkea,0.546,rumeta,0.623
80,yhteyteen,0.545,mcrrata,0.623
81,hywätsyä,0.542,mastata,0.622
82,keskusteluihin,0.542,ivalita,0.62
83,säätyjä,0.541,supistua,0.62
84,ratkaista,0.54,kirjoittautua,0.619
85,esitellä,0.539,sowittaa,0.617
86,kuulua,0.539,tulla,0.617
87,miitata,0.539,malila,0.616
88,hymäksyä,0.538,työskennellä,0.614
89,huolenpitoon,0.537,läänlyä,0.614
90,menetellä,0.535,lvalita,0.614
91,werrata,0.535,ryhmittää,0.613
92,raueta,0.535,perehtyä,0.613
93,liittoon,0.535,ruwela,0.612
94,vastata,0.535,mastala,0.612
95,pysyä,0.535,takertua,0.611
96,muuttaa,0.534,ruiveta,0.611
97,suostumusta,0.534,sitoutua,0.611
98,mielipiteisin,0.531,asettaa,0.61
99,ehdoitella,0.53,yhtymän,0.61
