,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,yhdis,0.66,muodostaa,0.772,muodostaa,0.786
1,yhteyteen,0.657,rajoittaa,0.68,yhdistäisi,0.746
2,teiden,0.634,yhdistämään,0.658,asettaa,0.743
3,maiden,0.632,johdattaa,0.649,sowittaa,0.742
4,erityisen,0.629,sowittaa,0.645,johtaa,0.737
5,kuntain,0.623,somittaa,0.643,yhdistämään,0.726
6,asukasten,0.615,ylläpitää,0.64,sowiltaa,0.721
7,maakunnan,0.611,asettaa,0.637,somittaa,0.715
8,saksanmaan,0.602,kiinnittää,0.625,kytkeä,0.711
9,asetetaan,0.571,yhdistyä,0.624,keskittää,0.709
10,osiin,0.57,johtaa,0.623,lähentää,0.701
11,kuuluman,0.569,liittyä,0.622,distää,0.695
12,muodon,0.564,werrata,0.619,somiltaa,0.685
13,simis,0.563,kukistaa,0.618,suunnata,0.685
14,rien,0.561,sitoo,0.615,sijoittaa,0.685
15,omien,0.559,masentaa,0.614,järjestää,0.684
16,asettamaan,0.559,järjestää,0.61,merrata,0.684
17,muuttaa,0.556,luottaa,0.607,ryhmittää,0.683
18,omiin,0.553,kääntää,0.599,kohdistaa,0.677
19,euroopan,0.549,verrata,0.596,yhdistyä,0.674
20,nojassa,0.544,tasoittaa,0.595,liittäytyä,0.673
21,asettaa,0.541,edustaa,0.594,yhdistämä,0.673
22,miseksi,0.54,walaista,0.593,liittyä,0.671
23,toisiinsa,0.537,nimittää,0.591,ylläpitää,0.669
24,suurten,0.537,hajoittaa,0.591,werrata,0.668
25,kansakunnan,0.536,katkaista,0.588,siirtää,0.667
26,yhteisesti,0.535,eroittaa,0.587,aikaansaada,0.663
27,hallituksessa,0.534,yhtyä,0.586,rakentaa,0.663
28,yhteiseksi,0.533,vaikuttaa,0.586,solvittaa,0.661
29,seurakuntien,0.533,waikuttaa,0.584,kiinnittää,0.659
30,mieliä,0.532,sekoittaa,0.584,yhdistämällä,0.655
31,yhteisellä,0.531,turwautua,0.58,johdattaa,0.652
32,maltakunnan,0.53,käsittää,0.579,luoda,0.648
33,kaupunkien,0.53,synnyttää,0.577,yhdisti,0.647
34,yhdistetty,0.529,merrata,0.574,tasottaa,0.647
35,monien,0.527,ohjata,0.572,sulattaa,0.647
36,erinäisen,0.527,yhdisti,0.571,perustaa,0.646
37,siwistyksen,0.525,kohottaa,0.566,ulotuttaa,0.646
38,sien,0.524,saawuttaa,0.564,rajoittaa,0.645
39,kaikkien,0.523,sysätä,0.563,toteuttaa,0.645
40,liittokunnan,0.523,sulkea,0.562,perustua,0.644
41,liikkeen,0.521,maituttaa,0.56,muodostua,0.644
42,keskustelemaan,0.519,woittaa,0.558,mnodostaa,0.644
43,puhtaan,0.517,kiertää,0.558,jakautua,0.642
44,olemien,0.517,walloittaa,0.553,syrjäyttää,0.641
45,kunkin,0.516,yhdistetään,0.553,katkaista,0.638
46,europan,0.515,waituttaa,0.552,aseltaa,0.638
47,osansa,0.514,toisiinsa,0.552,täyttää,0.637
48,kansallisen,0.513,rakentaa,0.551,koskettaa,0.637
49,mainittuin,0.513,saamuttaa,0.551,lujittaa,0.636
50,muutamien,0.513,sijoittaa,0.55,jäljestää,0.634
51,yhdistys,0.512,laajentaa,0.549,somelluttaa,0.631
52,korottaa,0.511,luoda,0.549,sovittaa,0.627
53,perustaa,0.51,täyttää,0.547,turwata,0.625
54,pyrkii,0.51,wctää,0.546,muuttaa,0.624
55,kansain,0.51,lawentaa,0.546,maikultaa,0.623
56,korkeimman,0.509,häwittää,0.545,yhtyä,0.623
57,rakennuksen,0.508,yhteyteen,0.544,yhdistetään,0.622
58,yksimielisesti,0.505,muuttaa,0.543,liittää,0.622
59,maltain,0.505,tarkoittaa,0.542,sitoa,0.621
60,yhteisen,0.503,maikuttaa,0.539,verrata,0.621
61,mahdollisesti,0.503,muodostamat,0.539,lvaikuttaa,0.62
62,paikkakunnan,0.502,wetää,0.538,ulottaa,0.619
63,asioihin,0.5,turmautua,0.537,laittaa,0.619
64,koulujen,0.499,nostattaa,0.536,juhtaa,0.618
65,yhteisten,0.499,harrastaa,0.536,upottaa,0.617
66,erinäisten,0.499,turwata,0.535,sowitella,0.616
67,mallin,0.498,sitoa,0.533,lomittaa,0.616
68,yleisen,0.498,asettua,0.532,yhdistettäisiin,0.616
69,olemain,0.497,taipua,0.532,istuttaa,0.616
70,muidenkin,0.497,yhdistetyillä,0.532,sulautua,0.616
71,päätetään,0.497,supistaa,0.531,johlaa,0.616
72,kuulumaan,0.497,poistaa,0.531,johtaisi,0.615
73,piirin,0.496,hajottaa,0.531,kiertää,0.612
74,simistyksen,0.494,turmata,0.531,lnoda,0.612
75,hol,0.493,voittaa,0.53,wcrrata,0.612
76,oikealle,0.491,lannistaa,0.529,yhdistettämäksi,0.612
77,tyksen,0.49,wailuttaa,0.529,maiknttaa,0.612
78,eroittaa,0.49,yhtymät,0.529,mcrrata,0.611
79,miepi,0.489,rauhoittaa,0.528,turmata,0.611
80,yhteyden,0.487,suurentaa,0.528,mullistaa,0.611
81,molempain,0.487,hämittää,0.528,eroittaa,0.609
82,nalle,0.486,ponnistaa,0.527,käsittää,0.608
83,metsien,0.486,yhdistettynä,0.527,mailuttaa,0.608
84,uusien,0.485,säilyttää,0.526,supistaa,0.607
85,kansojen,0.484,kansaksi,0.526,nojautua,0.607
86,rinnalle,0.484,laittaa,0.525,sowelluttaa,0.607
87,taitonsa,0.483,tyydyttää,0.524,jakaantua,0.606
88,tapain,0.482,mctää,0.524,liinnittää,0.606
89,kielten,0.482,lakkauttaa,0.524,nostattaa,0.605
90,asiain,0.481,lewitä,0.524,maitultaa,0.605
91,laadun,0.481,suojella,0.523,pernstaa,0.605
92,liittoon,0.481,tarttua,0.523,toimeensaada,0.604
93,asujamet,0.48,puolustaa,0.523,tyydyttää,0.604
94,päättämään,0.479,tunkeutua,0.522,esittää,0.604
95,töiden,0.479,wastustaa,0.522,säilyttää,0.604
96,egyptin,0.478,yhdistettäisiin,0.522,erottaa,0.604
97,jär,0.476,auttaa,0.522,rakentua,0.603
98,muiden,0.476,purkaa,0.521,tunkea,0.601
99,kiertää,0.476,siirtyä,0.521,sulkea,0.6
