,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,maltiollinen,0.848,maltiollinen,0.851
1,uskonnollinen,0.808,simeellinen,0.822
2,sisällinen,0.796,maltiollincn,0.811
3,waltiollinen,0.795,kunnallinen,0.805
4,kansallinen,0.791,poliitillinen,0.805
5,valtiollinen,0.789,simeellincn,0.803
6,ulkonainen,0.781,valtiollinen,0.799
7,kunnallinen,0.778,waltiollincn,0.798
8,keskinäinen,0.77,sisällinen,0.785
9,kirkollinen,0.756,simecllinen,0.776
10,perustuslaillinen,0.753,yksilöllinen,0.773
11,täydellisin,0.745,siweellinen,0.768
12,aineellinen,0.742,ulkonainen,0.763
13,itsenäinen,0.74,uskonnollinen,0.762
14,taloudellinen,0.737,moraalinen,0.758
15,henkinen,0.733,malliollinen,0.738
16,malttamaton,0.721,politillinen,0.736
17,yksimielisyys,0.721,inhimillinen,0.734
18,isänmaallinen,0.719,persoonallinen,0.733
19,luonnollinen,0.715,ihmisellinen,0.731
20,luonnoton,0.702,yksipuolinen,0.728
21,maallinen,0.699,kansallinen,0.727
22,todellinen,0.693,altiollinen,0.727
23,inhimillinen,0.687,siveellinen,0.724
24,mälttämätöin,0.684,sisäinen,0.721
25,edistys,0.675,aatteellinen,0.719
26,uskollisuus,0.669,kasmattama,0.718
27,uutteruus,0.662,fiweellinen,0.717
28,peritty,0.659,todellinen,0.716
29,turmiollinen,0.659,itsenäinen,0.714
30,yhtäläisyys,0.659,simcellinen,0.713
31,ruumiillinen,0.656,mieskohtainen,0.711
32,maikuttama,0.655,luonnoton,0.711
33,yhteiskunnassa,0.655,taloudellinen,0.711
34,jonkunmoinen,0.655,poliittinen,0.702
35,runollinen,0.653,kirkollinen,0.701
36,simeys,0.653,luonnollinen,0.701
37,wälttämätöin,0.652,kypsyys,0.7
38,kansallisuus,0.652,ruumiillinen,0.697
39,perinpohjainen,0.652,epäkristillinen,0.695
40,ylemä,0.652,mälitön,0.694
41,wallitsewa,0.649,kielellinen,0.691
42,wälttämätön,0.648,matillinen,0.689
43,omituinen,0.647,maailmallinen,0.689
44,moimallinen,0.646,yhteiskunnassa,0.689
45,törkeä,0.646,oikeudellinen,0.688
46,nurja,0.646,personallinen,0.685
47,edistyminen,0.646,simeellisyys,0.684
48,jonkinmoinen,0.645,tiedollinen,0.684
49,tieteellinen,0.644,näennäinen,0.679
50,katsantotapa,0.643,sotilaallinen,0.679
51,suora,0.642,konnollinen,0.679
52,jumalallinen,0.64,omintakeinen,0.679
53,välikappale,0.64,wälitön,0.678
54,harrastus,0.639,waltiollinen,0.677
55,kunnioitus,0.636,perustuslaillinen,0.676
56,kuuliaisuus,0.634,perinpohjainen,0.673
57,sotainen,0.634,teiskunnallinen,0.672
58,pyrintö,0.634,kaswattawa,0.672
59,ahkeruus,0.633,henkinenkin,0.67
60,luonne,0.63,seurakunnallinen,0.666
61,synnyttämä,0.63,työmäenkysymys,0.664
62,ystäwyys,0.63,nykyaikainen,0.663
63,malistus,0.63,aineellinen,0.662
64,itämainen,0.63,voimallisin,0.66
65,matama,0.628,elimellinen,0.66
66,mieli-ala,0.628,omatakeinen,0.659
67,ylenkatse,0.628,siweellisyys,0.658
68,perustuu,0.627,järjellinen,0.657
69,kateus,0.626,ilmeellinen,0.657
70,välttämätön,0.625,tiollinen,0.655
71,rehellisyys,0.624,teoreettinen,0.654
72,jumalanpelko,0.624,kehittämä,0.653
73,jalompi,0.624,siivistys,0.653
74,ylewä,0.622,lunnallinen,0.652
75,asemamme,0.622,sosiaalinen,0.651
76,riento,0.621,orjallinen,0.65
77,herätys,0.62,poliitinen,0.649
78,hengellinen,0.62,aistillinen,0.649
79,päämaali,0.62,maallinen,0.648
80,waikuttawa,0.62,pessimismi,0.647
81,erinomainen,0.62,ihanteellinen,0.647
82,kristillinen,0.617,yksilön,0.647
83,keskuus,0.616,siwislys,0.646
84,ihmiskunnassa,0.616,weellinen,0.646
85,hallitusmuoto,0.615,eheys,0.646
86,erilaisuus,0.614,rappeutuminen,0.645
87,nöyryys,0.613,epäsimeellinen,0.645
88,jonkinlainen,0.612,malttamaton,0.645
89,lvoima,0.612,periaatteellinen,0.645
90,totinen,0.611,turmiollinen,0.643
91,jäykkä,0.611,pelkkä,0.643
92,nero,0.61,hywinwointi,0.643
93,turmelus,0.61,papillinen,0.641
94,ihmisyyden,0.609,yhteisyys,0.64
95,eripuraisuus,0.609,läytöllinen,0.64
96,opillinen,0.609,yhdenmertaisuus,0.639
97,rauhallinen,0.609,pakottama,0.639
98,olemus,0.607,huomaamaton,0.638
99,pelkkä,0.607,hallinnollinen,0.637
