,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,sopu,0.793,yhteishenki,0.804
1,mieli-ala,0.791,sopusointu,0.792
2,mieliala,0.782,sopu,0.777
3,harrastus,0.772,eripuraisuus,0.762
4,menestys,0.763,yhteistyö,0.757
5,into,0.761,yksimielisyyttä,0.747
6,katsantotapa,0.76,erimielisyys,0.741
7,yhtäläisyys,0.76,ystämyys,0.726
8,erimielisyys,0.754,suwaitsewaisuus,0.722
9,edistys,0.751,yhdysside,0.711
10,eripuraisuus,0.749,tomeruus,0.705
11,edistyminen,0.747,sopusointuisuus,0.7
12,luottamus,0.739,luottamus,0.697
13,sisällinen,0.739,hajaantuminen,0.693
14,kansallinen,0.731,hajaannus,0.692
15,puolustus,0.724,yhdistyminen,0.692
16,pyrintö,0.723,wakaumus,0.69
17,yhteiskunnallinen,0.721,eheys,0.687
18,huolettomuus,0.719,weljellisyys,0.686
19,menettely,0.718,isänmaallisuus,0.684
20,hallitusmuoto,0.716,makaumus,0.68
21,tyytymättömyys,0.716,mastustus,0.68
22,järjestys,0.711,harrastus,0.679
23,toimeliaisuus,0.71,edistys,0.678
24,kiihko,0.71,tarkoitusperä,0.675
25,erilaisuus,0.709,toimeliaisuus,0.675
26,asemamme,0.708,yhteenliittyminen,0.675
27,yhteishenki,0.7,yhteistoiminta,0.675
28,keskuus,0.7,aate,0.673
29,tulewaisuus,0.7,raisuus,0.673
30,mapaus,0.693,mielisyys,0.672
31,suosio,0.692,innostus,0.67
32,inhimillinen,0.692,yhtyminen,0.669
33,täytös,0.692,puoluekuri,0.667
34,keskinäinen,0.691,yhteys,0.667
35,silvistys,0.689,vapaamielisyys,0.665
36,waatimus,0.687,maltillisuus,0.665
37,malttamaton,0.686,tasapuolisuus,0.665
38,raittius,0.685,vastustus,0.664
39,päämaali,0.685,asianharrastus,0.661
40,wälttämätön,0.684,yksimielisyyden,0.66
41,yhteys,0.684,uhraamaisuus,0.659
42,maltiollinen,0.682,ystäwyys,0.658
43,epäjärjestys,0.682,sominto,0.657
44,aineellinen,0.68,mapaamielisyys,0.656
45,järjestelmä,0.68,pyrintö,0.655
46,luonne,0.68,ristiriitaisuus,0.655
47,wälttämätöin,0.678,wastustus,0.651
48,lvoima,0.676,menestys,0.651
49,ehto,0.675,muoromaikutus,0.649
50,mielisyys,0.674,laimeus,0.648
51,riento,0.672,itsenäisyys,0.648
52,wapaus,0.671,mielipiteissä,0.648
53,raakuus,0.671,vakaumus,0.648
54,välttämätön,0.669,rauha,0.647
55,uutteruus,0.669,katsantokanta,0.647
56,määryys,0.668,walaumus,0.644
57,toimeentulo,0.667,kansallinen,0.642
58,rajoitus,0.666,ranha,0.642
59,sominto,0.666,into,0.641
60,olemus,0.666,marmuus,0.641
61,elinkeino,0.664,yhdenmertaisuus,0.641
62,wallitsewa,0.663,periaate,0.641
63,huolenpito,0.662,yhteistunne,0.641
64,rehellisyys,0.662,yhdysmaikutus,0.64
65,suhde,0.662,raittiusharrastus,0.64
66,ulkonainen,0.661,riitaisuus,0.637
67,luonnollinen,0.659,oileudentunto,0.637
68,menetys,0.657,yhdenwertaisuus,0.636
69,ystämyys,0.657,tyytymättömyys,0.634
70,pelko,0.656,rauhallisuus,0.633
71,waltiollinen,0.654,sumaitsemaisuus,0.63
72,tulemaisuus,0.654,oikeudentunto,0.63
73,turmelus,0.654,wuorowaikutus,0.629
74,sotalaitos,0.654,yhteiselämä,0.629
75,periaate,0.653,tyytywäisyys,0.629
76,europalle,0.653,yhdystyö,0.629
77,aate,0.652,makamuus,0.627
78,käytös,0.65,mireys,0.626
79,kansallisuus,0.649,tasa-arwoisuus,0.626
80,wääryys,0.649,päämäärä,0.626
81,warowaisuus,0.649,sowinto,0.625
82,uskonnollinen,0.648,järjestys,0.625
83,malistus,0.648,agitatsiooni,0.625
84,itsenäinen,0.648,wireys,0.625
85,maatimus,0.647,isänmaanrallaus,0.624
86,valtiollinen,0.646,tasapaino,0.622
87,mielipide,0.646,tasa-armo,0.621
88,mälttämätöin,0.645,meljeys,0.621
89,toiminta,0.645,taantuminen,0.621
90,ranha,0.644,isänmaanrakkaus,0.621
91,itsenäisyys,0.643,johdonmukaisuus,0.621
92,siwistys,0.643,toimintakyky,0.62
93,simistys,0.643,mielipide,0.62
94,totuus,0.641,puoluejako,0.62
95,merkitys,0.64,wastarinta,0.62
96,tietämättömyys,0.64,tietoisuus,0.62
97,maikutus,0.639,itsehallinto,0.62
98,täydellisin,0.639,weljeys,0.619
99,rauha,0.638,taistelumme,0.619
