,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,samverkan,0.766,kameral,0.695,judicielt,0.596,judiciell,0.623,judiciell,0.61
1,ideell,0.757,bevakande,0.664,administratif,0.579,judiciela,0.611,judiciela,0.595
2,rättstillstånd,0.755,rättsförhållande,0.629,öfverdomstol,0.563,styrelseverk,0.572,judiciel,0.595
3,begränsning,0.748,embetsverk,0.625,avtonomi,0.561,lagskipning,0.571,administratif,0.587
4,öfverhet,0.747,lagskipning,0.625,statsförvaltning,0.561,statsförvaltning,0.57,styrelseverk,0.583
5,föredöme,0.745,kommerciella,0.623,bevakande,0.556,administratif,0.57,lagskipning,0.571
6,sympati,0.743,disciplinär,0.608,statsborgerlig,0.556,judiciel,0.565,statsförvaltning,0.567
7,demokratisk,0.742,centralisera,0.605,maktmissbruk,0.552,militär,0.559,utvisningsrätt,0.56
8,financiella,0.74,upphäfves,0.596,löneförhållande,0.552,legislativ,0.556,straffprocess,0.557
9,historik,0.739,rättegångsmål,0.596,embetsmannavälde,0.546,exsekutiva,0.553,kommandomål,0.556
10,laglighet,0.738,kommerciel,0.591,kommerciel,0.544,kameral,0.552,benådningsrätt,0.554
11,oförvillad,0.737,merkantil,0.588,kollegial,0.543,administra,0.548,legislativ,0.553
12,oförenlig,0.737,municipal,0.588,judiciel,0.541,embetswerkens,0.547,åtgårder,0.553
13,kommittent,0.735,styrelseverk,0.584,statsrättslig,0.541,kommandomål,0.546,disciplinär,0.552
14,bevekelsegrund,0.734,öfverdomstol,0.583,kommerciella,0.539,straffprocess,0.543,lagtillämpning,0.549
15,lagskipning,0.733,affärsväg,0.58,kameral,0.538,departemental,0.543,tigtiga,0.549
16,jemnlikhet,0.732,bankoverk,0.579,handelsrätt,0.537,judicielt,0.542,departemental,0.549
17,hänvisning,0.731,internationell,0.578,ecclesiastika,0.536,domaremakt,0.537,strafflagstiftning,0.546
18,social,0.731,serskilde,0.576,ämbetsverk,0.535,rättsväsen,0.537,domaremakt,0.545
19,verldslig,0.731,polismakt,0.576,embets,0.535,disciplinär,0.536,befordringslagarna,0.543
20,förenkling,0.731,kommunal,0.576,styrelseverk,0.534,rättsfråga,0.533,statsstyrelse,0.543
21,sympathier,0.731,inkassering,0.575,unionelt,0.533,lagstiftningsmakt,0.532,militär,0.543
22,ansågos,0.73,helsovård,0.574,municipal,0.53,centralisera,0.531,oafsättlighet,0.54
23,grundlagen,0.73,penningelåns,0.574,tullväsen,0.529,ecclesiastika,0.53,lagstiftningsmakt,0.539
24,förhållanderne,0.729,nattbevakning,0.574,embetswerkens,0.528,oafwisligen,0.53,rättssäkerhet,0.538
25,öfverträda,0.728,bankväsen,0.573,riksland,0.527,utvisningsrätt,0.529,lagstiftningsväg,0.538
26,ovillkorlig,0.728,civilrätt,0.572,lagreform,0.527,benådningsrätt,0.528,organcr,0.538
27,jemvigt,0.728,juridisk,0.571,sjelfstyrelse,0.527,rättsskipning,0.527,samhällsmoral,0.537
28,upphäfwas,0.728,ledamöternes,0.57,nteslntande,0.527,befordringslagarna,0.527,miskt,0.537
29,tidehvarfvets,0.728,reglementarisk,0.57,förwaltande,0.525,myndighe,0.527,oafwisligen,0.536
30,monopolier,0.727,representativ,0.568,kommunal,0.525,statsstyrelse,0.526,äktenskapsfråga,0.536
31,embetsmyndighet,0.727,statsekonomi,0.568,disciplinär,0.524,embet,0.524,orubblighet,0.536
32,inveckla,0.726,åtgårder,0.566,utsökningsmål,0.523,åtgårder,0.524,rättsfråga,0.534
33,stabilitet,0.726,vigliga,0.566,mairernas,0.521,kollegial,0.523,embetsmannaklassen,0.533
34,distinktion,0.724,centralisation,0.565,kommersiel,0.52,ofverdomstolar,0.523,centralisera,0.533
35,jemnvigt,0.723,statsekonomisk,0.563,legislativ,0.52,äktenskapsfråga,0.522,exsekutiva,0.533
36,äsigtcr,0.723,domaremakt,0.563,lagstiftningsrätt,0.52,lagstiftningsväg,0.522,lekmannaelement,0.532
37,förfogande,0.723,lörande,0.563,embetsoch,0.518,avtonomi,0.522,rättsskipning,0.532
38,municipal,0.723,ecklesiastik,0.561,ecklesiastik,0.517,statsvetenskaplig,0.521,ecclesiastika,0.532
39,reformvän,0.722,rättsfråga,0.561,juridisk,0.516,tigtiga,0.521,administra,0.531
40,bränvinets,0.722,valfrihet,0.56,kullkastande,0.516,embetsbefattning,0.52,rättsväsen,0.531
41,despotisk,0.722,kriminalrätt,0.558,kommersielt,0.516,lekmannaelement,0.519,avtonomi,0.531
42,rättsenlig,0.722,kommersiell,0.557,lagskipning,0.515,kommnnala,0.518,facklig,0.531
43,landels,0.721,männa,0.557,rättskipning,0.514,juridisk,0.517,sjukkasseväsendet,0.531
