,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,dagordning,0.753,sammankallande,0.655,götehorg,0.48,tnllsatser,0.498,tnllsatser,0.516
1,indragningsmakt,0.75,särflilta,0.632,hvarjs,0.467,alternativer,0.487,alternativer,0.495
2,återremittera,0.746,alternativer,0.627,göteborgsbanan,0.464,götehorg,0.474,götehorg,0.476
3,löneanslag,0.74,landsthinget,0.625,inmans,0.464,afginge,0.451,göteborgsbanan,0.476
4,riksdagsbeslut,0.738,valsätt,0.623,alternativer,0.457,passagerarebefordran,0.449,reglementsändring,0.476
5,nationalrepresentation,0.735,punktvis,0.621,dossor,0.453,lönereglerings,0.44,gatuprofil,0.468
6,öfvertagande,0.732,röstskala,0.62,asgjordes,0.446,mosor,0.439,lönereglerings,0.461
7,häktning,0.731,riksnämnd,0.619,läraresyssla,0.439,göteborgsbanan,0.439,mosor,0.458
8,bolagsreglor,0.73,handelsdomstol,0.615,nattstation,0.436,gatuprofil,0.439,hemstäldes,0.456
9,antogo,0.729,kontraproposition,0.614,tontal,0.436,jurylagen,0.435,passagerarebefordran,0.452
10,biifver,0.728,folkting,0.612,ilull,0.434,göteborg1,0.434,komitérades,0.451
11,pärs,0.725,pärs,0.612,postfartyg,0.433,prisbelopp,0.432,garnisonspastor,0.451
12,klassifikation,0.725,forslag,0.611,punktvis,0.433,fördragsmakterna,0.429,utgiftsafdelningens,0.451
13,försvinnande,0.724,åsämjas,0.611,förmedlingsförslag,0.433,inlängan,0.427,prisbelopp,0.451
14,öfverlemnadt,0.723,svepskäl,0.609,otterbäcken,0.433,reglementsändring,0.426,jurylagen,0.449
15,cederschöld,0.722,inkomstskatt,0.607,häritrån,0.433,komitérades,0.426,angifua,0.444
16,mendizabals,0.72,förmedling,0.606,tullbewillningen,0.432,kamrame,0.426,afginge,0.443
17,bysättning,0.719,lönerne,0.604,utsändning,0.43,angifua,0.425,namda,0.442
18,grundlagsenlig,0.719,regeringsrätt,0.604,iörsta,0.43,hemstäldes,0.424,inlängan,0.442
19,moss,0.716,census,0.603,ångbå,0.429,garnisonspastor,0.423,skatteregleringskomitén,0.441
20,lagutskott,0.716,folkthinget,0.603,frilager,0.428,ompröfva,0.42,kammareu,0.441
21,återvälja,0.716,ständct,0.602,riksdagsmannaarvode,0.427,kammareu,0.42,utgifts,0.439
22,förfogande,0.714,ogilladt,0.6,utgiftsafdelningens,0.427,ångarue,0.419,göteborg1,0.439
23,riksstånd,0.714,valkrets,0.599,förelågo,0.427,afgå,0.418,arméutskott,0.439
24,framställdt,0.714,kompromiss,0.599,lördagstur,0.426,hösttur,0.418,hamninkomsterna,0.437
25,justitiekansler,0.714,fördubbling,0.599,rollo,0.426,afgängstid,0.417,kostnadsförstaget,0.436
26,vetskap,0.714,hufvudgrunder,0.598,koningklyke,0.426,namda,0.417,utgiftsafdelning,0.436
27,storting,0.713,afgifiva,0.597,hufwudtitcln,0.424,holmi,0.416,iörslag,0.435
28,sammanvaro,0.713,presteständct,0.597,karpalund,0.424,arméutskott,0.415,margarinlag,0.435
29,retrograd,0.713,tscherning,0.597,plat,0.424,göteberg,0.415,direktionerne,0.435
30,fueros,0.713,röstetal,0.596,drägtigheten,0.423,oöteborg,0.415,algil,0.434
31,frånträda,0.713,aflöningssätt,0.595,timantal,0.423,postångbåtsförbindelse,0.415,ompröfva,0.434
32,skul,0.712,utstottets,0.594,inkomstberäkning,0.421,utgifts,0.415,fördragsmakterna,0.434
33,yrkadt,0.712,borgareoch,0.594,afslogos,0.421,algil,0.414,lotstaxa,0.433
34,operationsplan,0.711,lagförklaring,0.594,landon,0.42,motförslag,0.413,afstående,0.432
35,andragande,0.711,komministrarnes,0.594,sommartur,0.42,förutgå,0.413,resolntion,0.432
36,ständernes,0.711,förestagna,0.592,wallons,0.42,hamninkomsterna,0.413,jernvägstid,0.432
37,darwid,0.71,afväpning,0.592,föreläge,0.42,afviker,0.412,bygnadsnämdens,0.432
38,ifrågakomma,0.71,återremitteradt,0.591,riksgäldsafdelningen,0.42,direktionerne,0.412,ångarue,0.432
39,tullsystem,0.71,fueros,0.59,bordlägga,0.42,hamntaxa,0.412,förmiddagsplenum,0.431
40,inhibera,0.71,kansas,0.59,abbott,0.42,utgiftsafdelningens,0.411,hamntaxa,0.431
41,fastställelse,0.709,hufvudtitlar,0.59,kannetalet,0.419,abgeordnetenhaus,0.41,japroposition,0.43
42,sanktionera,0.709,kommite,0.589,varuartikel,0.419,bvarje,0.41,riksbanksbyggnad,0.43
43,vedersakare,0.709,dagordning,0.589,komitterades,0.418,inmans,0.41,kamrame,0.43
44,hänskjuta,0.708,skyddsafgift,0.589,nederlandsche,0.418,utskottsförslag,0.41,uted,0.43
45,congressen,0.708,oftanämnde,0.588,hvilando,0.418,skatteregleringskomitén,0.409,hufwudtitcln,0.43
46,hero,0.708,fastställande,0.588,retournera,0.417,margarinlag,0.409,unionsförfattning,0.429
