,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,hög,0.488,annorlunda,0.596,annar,0.573,annar,0.492,annai,0.58,annaa,0.593,aunat,0.631,aunat,0.651,aunat,0.567
1,ofta,0.487,annorstädes,0.581,annorledes,0.561,annorledes,0.484,boide,0.501,annai,0.559,aunan,0.574,aunan,0.571,aunan,0.527
2,sitta,0.474,willa,0.58,swärare,0.513,annai,0.463,annaa,0.5,aunat,0.547,positift,0.564,auuat,0.553,annaa,0.511
3,förnuftig,0.461,någonsin,0.572,motsäga,0.511,förewändning,0.422,tillämplighet,0.5,enskildhet,0.543,anuat,0.555,amian,0.547,annau,0.507
4,wilja,0.459,dertil,0.571,medförer,0.509,salle,0.422,annot,0.499,damål,0.543,annai,0.553,annaa,0.537,annanstans,0.499
5,länga,0.457,behöfwer,0.571,ännn,0.508,thy,0.42,försåt,0.496,arnat,0.541,annal,0.539,annai,0.534,fyllerist,0.497
6,nägot,0.455,kränka,0.57,warg,0.507,mrn,0.418,behandladt,0.495,uågon,0.535,annau,0.531,annot,0.529,vrakspillra,0.496
7,ja,0.435,ning,0.565,förebära,0.505,annorlunda,0.412,hemtadt,0.495,anuat,0.532,ogynsammare,0.53,anuat,0.527,vetterligen,0.496
8,äga,0.425,wanligt,0.562,wars,0.504,hwav,0.409,förnär,0.493,samhällighet,0.532,vanstäldt,0.527,annnat,0.523,annai,0.491
9,lycka,0.422,betjäna,0.552,handtwerk,0.504,imitation,0.407,pekuniär,0.492,speord,0.531,vederbort,0.527,alman,0.519,lappverk,0.491
10,ty,0.42,stada,0.549,niä,0.504,giftig,0.407,haffa,0.492,maktmissbruk,0.528,tanko,0.523,arnat,0.506,yarit,0.491
11,mer,0.414,inlösen,0.548,recensent,0.502,ider,0.406,brådska,0.491,argumentera,0.527,vardande,0.522,annal,0.502,fioge,0.49
12,mä,0.409,förkasta,0.548,lcfwa,0.502,fredstid,0.406,åklagaremakten,0.488,realitet,0.526,smygväg,0.522,annau,0.501,vettvilling,0.49
13,böra,0.404,orätt,0.546,ikulle,0.501,dst,0.405,positiv,0.487,ändlig,0.524,brottmålshistoria,0.521,anuan,0.498,anuat,0.49
14,tala,0.4,iner,0.544,förmärka,0.501,nägonfin,0.403,rättsenlig,0.486,oupplyst,0.524,förnuftsskäl,0.52,vrakspillra,0.487,värksammare,0.49
15,föra,0.398,medföra,0.544,imitation,0.499,sknlle,0.403,deita,0.486,afprutning,0.523,rikskunnig,0.519,myntstycke,0.486,tolbiao,0.489
16,förra,0.394,utrymme,0.544,ofreda,0.496,upptända,0.403,appell,0.485,ntwäg,0.522,novellistisk,0.518,inlärdt,0.482,läogre,0.487
17,as,0.392,medelmåttig,0.543,wiss,0.495,hwab,0.402,nigon,0.485,åtmin,0.52,obytt,0.518,pestsmittad,0.479,inlärdt,0.486
18,wet,0.389,ätminstone,0.542,förutse,0.494,blikwa,0.4,vallag,0.485,räsonnemang,0.52,annanstädes,0.517,annanstans,0.478,förutsedt,0.484
19,skola,0.385,annar,0.54,försummelse,0.494,wägra,0.4,bevisadt,0.485,kittslighet,0.519,ytra,0.516,jordifl,0.477,arstaviken,0.483
20,kunna,0.385,taxa,0.538,poesi,0.493,ingrepp,0.399,likvisst,0.484,synglas,0.518,gillig,0.516,gummifabrik,0.477,behöfdo,0.481
21,tro,0.385,hardt,0.538,mästerstycke,0.492,nåder,0.398,vilia,0.484,bedömdt,0.517,nppfattning,0.515,vetterligen,0.477,riksdagsort,0.481
22,få,0.381,landtbruk,0.537,sräga,0.489,öflig,0.398,ömkan,0.484,kungsord,0.517,nämnvärdt,0.515,vaxdocka,0.476,sättot,0.481
23,länge,0.379,duga,0.535,oriktig,0.489,wärn,0.397,månde,0.482,nepotism,0.516,statssamfund,0.515,uågou,0.473,kvarnhus,0.481
24,eller,0.379,siags,0.534,answara,0.489,ännn,0.397,paradox,0.482,mordvapen,0.516,takn,0.515,annnan,0.472,hiu,0.48
25,ibland,0.378,oriktig,0.533,derutinnan,0.488,syssla,0.397,dagbladets,0.482,påhitta,0.515,bessarabiska,0.514,ordningsmagten,0.469,ovetenskaplig,0.479
26,som,0.377,härröra,0.532,annorlunda,0.488,villkor,0.397,frigifvande,0.482,jcke,0.515,annaa,0.513,vettvilling,0.468,bortkastadt,0.479
27,mi,0.374,betjena,0.53,törst,0.488,dömmas,0.397,ohjelplig,0.482,lifsfarlig,0.513,allraringaste,0.513,auuan,0.468,ostbit,0.479
28,ställe,0.373,ranta,0.53,planet,0.487,widrigt,0.396,partisk,0.481,afsågo,0.513,dsnna,0.513,guidos,0.467,annnan,0.478
29,andra,0.372,uträtta,0.529,wiga,0.487,ösrigt,0.396,förmycket,0.481,rättsprincip,0.512,innebår,0.512,rikskunnig,0.465,opk,0.478
30,när,0.371,wända,0.529,ehwad,0.485,stava,0.396,smått,0.481,tvisteämne,0.512,försvarsvapen,0.512,bäggedera,0.464,virring,0.478
31,innan,0.369,dck,0.527,falsk,0.485,uppgifne,0.394,arnat,0.481,tilllämpning,0.512,lappverk,0.512,grnndligt,0.464,någoo,0.478
32,föga,0.367,tvet,0.527,angä,0.485,twiswel,0.394,lusi,0.479,civiliseradt,0.511,skrymta,0.511,moppe,0.463,hetyder,0.475
