,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,äterstalla,0.876,ulgifvande,0.69,arkiver,0.608,arkiver,0.582,arkiver,0.576
1,motiverne,0.876,elementarundervisning,0.67,krigshistorisk,0.566,fornsakssamling,0.549,fornsakssamling,0.552
2,barberare,0.875,harmonilära,0.667,lifrustkammaren,0.526,bibliotek,0.526,statsarkiv,0.524
3,sterna,0.871,boheman,0.666,arkiverna,0.524,statsarkiv,0.523,bibliotek,0.517
4,innewaraude,0.869,schlegel,0.665,växtsamling,0.516,riksarkiv,0.504,riksarkiv,0.516
5,beige,0.867,ntgifven,0.662,regeringsbyggnad,0.515,archiv,0.503,stadsarkiv,0.513
6,byggnadsordning,0.867,samhällslära,0.66,konstsamling,0.515,stadsarkiv,0.503,archiv,0.511
7,veckoskrift,0.866,professo,0.66,registratur,0.509,brefsamling,0.502,brefsamling,0.504
8,4e,0.866,mythologi,0.66,bvgnader,0.507,artillerimuseum,0.486,artillerimuseum,0.487
9,tirad,0.865,författ,0.654,församlingshus,0.502,lifrustkammarens,0.476,arkivalier,0.487
10,ställdt,0.863,menzel,0.654,riksarkiv,0.497,topografisk,0.47,lifrustkammarens,0.484
11,gosiar,0.862,ulgifne,0.654,anbefalldt,0.497,herdaminne,0.468,statssekretariat,0.483
12,francesco,0.862,folklifvet,0.652,handskrift,0.496,arkivalier,0.468,handskrift,0.477
13,härförutan,0.861,hygiea,0.65,embetslokaler,0.495,naturhistorisk,0.468,riksmusei,0.474
14,stockholmsblad,0.861,nationalekonomi,0.65,exequatur,0.493,nationalbibliotek,0.467,topografisk,0.472
15,lördagsbladet,0.861,förfallaren,0.65,fornsamling,0.486,biblioteker,0.466,registratur,0.471
16,bcfallningshafwande,0.861,fornminne,0.65,numismatisk,0.483,mineralogisk,0.465,naturhistorisk,0.47
17,ynes,0.861,cronstrands,0.65,konstskatt,0.481,statssekretariat,0.464,specialverk,0.469
18,flrifwelse,0.86,genealogisk,0.647,inrikesministéren,0.48,riksmusei,0.464,herdaminne,0.468
19,pretext,0.86,topografi,0.647,töreningens,0.479,specialverk,0.464,protokollsbok,0.468
20,minnesfest,0.86,arbor,0.647,sacra,0.478,handskrift,0.461,nationalbibliotek,0.463
21,ölrigt,0.86,landshöfd,0.647,archiv,0.476,registratur,0.46,klädkammare,0.462
22,lekman,0.859,handskrift,0.646,dokument,0.476,klädkammare,0.46,biblioteker,0.462
23,ingarne,0.858,grundämne,0.644,ämbetsverk,0.474,embetslokal,0.455,embetslokal,0.459
24,sidenfabrik,0.858,homiletisk,0.644,pompeij,0.472,romanliteratur,0.454,aeademieum,0.459
25,talämne,0.857,allei,0.644,embetslokal,0.47,filologi,0.454,naturhistorifla,0.458
26,naturlära,0.857,archiv,0.643,utgifvando,0.468,outgifna,0.452,romanliteratur,0.457
27,valsverk,0.857,enemark,0.643,nedgräfdt,0.467,universitetsbibliotek,0.45,mineralogisk,0.455
28,härester,0.856,erdman,0.642,biblioteksbyggnad,0.466,konstskatt,0.449,nationalmuseibyggnaden,0.454
29,skänssa,0.856,pedagogik,0.642,musikkonservatorium,0.464,vapenbok,0.447,afritning,0.454
30,kammarn,0.856,brefställare,0.642,förenamde,0.462,konsthistorisk,0.447,kyrkoarkiv,0.451
31,australien,0.855,chirurgi,0.642,publikation,0.462,protokollsbok,0.447,outgifna,0.451
32,tillfullo,0.854,gymnast,0.642,historieoch,0.461,aeademieum,0.446,häradshäkte,0.451
33,rättrogen,0.854,otvifvelakligt,0.64,bibliotheker,0.461,naturhistorifla,0.444,konstskatt,0.448
34,wanligr,0.854,lefnadsteckning,0.639,fornsak,0.46,bygn,0.443,universitetsbibliotek,0.448
35,ordställning,0.854,architekt,0.639,genealogi,0.46,lifrustkammaren,0.443,bygn,0.448
36,herald,0.854,teknolog,0.639,fornfaker,0.459,kyrkoarkiv,0.442,sjöärenderna,0.448
37,lidningarne,0.854,lacroix,0.638,brefsamling,0.458,entomologisk,0.439,lifrustkammaren,0.447
38,besvärsskrift,0.854,hegelska,0.638,sommarpalats,0.458,farmakognosi,0.438,protocoller,0.446
39,mångahanda,0.854,naturhistorisk,0.638,etnografisk,0.457,stiftsbibliotek,0.438,wetenskapsakademiens,0.443
40,otvetydig,0.854,välskrifning,0.638,ofvanbemälda,0.457,wetenskapsakademiens,0.436,fornminne,0.443
41,pepin,0.853,vert,0.636,algebraisk,0.457,dossier,0.436,filologi,0.443
42,regem,0.853,wingqwist,0.636,veckorevy,0.456,fornminne,0.436,konsi,0.442
43,liufvudstaden,0.853,litteraturhistoria,0.636,byggnadsnämd,0.456,krigshistorisk,0.435,dossier,0.442
44,enskilla,0.852,sjelfundervisning,0.635,jeddo,0.455,antiqvitetsakademiens,0.434,stiftsbibliotek,0.442
45,träsnitt,0.852,monumental,0.635,tilfället,0.455,lagsamling,0.433,förorduade,0.442
46,strifwcs,0.852,konsthistoria,0.635,uppbrännande,0.455,arkiverna,0.433,provinskontor,0.441
47,arkiver,0.852,wetterbergh,0.634,följetongsafdelning,0.454,nationalmuseibyggnaden,0.433,arkiverna,0.441
48,motparti,0.852,d5,0.634,ntgifvaren,0.453,riksbibliotek,0.432,entomologisk,0.441
49,ssrifwelse,0.852,hagdahl,0.633,rättegångshandling,0.453,smithsonian,0.432,karlin,0.44
50,quarter,0.852,chemie,0.633,chassepot,0.452,etnografisk,0.432,antiqvitetsakademiens,0.439
51,kattegatt,0.852,uppsattser,0.633,öfverrätt,0.452,musenm,0.431,farmakognosi,0.439
52,artikelförfattare,0.852,kriminalrätt,0.633,krigsförvaltning,0.452,antiqvarisk,0.431,konsthistorisk,0.438
