,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,hafwcr,0.921,införande,0.717,nyhet,0.68,uppsats,0.594,uppsats,0.607,damtoiletten,0.543,uppsats,0.545,nybeter,0.537
1,wälsignelse,0.92,magnetism,0.702,tidningspapper,0.629,revue,0.586,beriktigande,0.538,lättsåld,0.54,tiklar,0.533,nineteenth,0.533
2,innehall,0.919,recension,0.701,monitör,0.625,reproducera,0.582,rubrik,0.537,pragfreden,0.537,ouppräknelig,0.528,dametoiletten,0.53
3,ljuflig,0.917,grundsats,0.699,journal,0.609,strof,0.564,jönköpingsbladet,0.518,mansbeklädnad,0.513,artik,0.526,economiste,0.53
4,ssola,0.916,innehäll,0.699,innchäller,0.604,journal,0.557,öresundsposten,0.517,bewillningsstadgan,0.512,damtoiletten,0.524,tiklar,0.529
5,iver,0.914,grundlag,0.695,innehäll,0.598,hemtad,0.556,polemik,0.515,dametoiletten,0.509,dametoiletten,0.524,fredagsnummer,0.526
6,upmuntran,0.913,förordning,0.693,hoftidning,0.594,chronicle,0.555,citat,0.514,uppsats,0.506,byggnadsbeslag,0.519,jnlpresenter,0.526
7,dyrhet,0.913,magter,0.692,recension,0.592,karakteristisk,0.553,recension,0.514,arliklarne,0.501,artickel,0.517,damtoiletten,0.525
8,arf,0.912,relation,0.691,traktat,0.587,débats,0.552,brochyr,0.513,saisongen,0.5,madridtidning,0.513,tisdagsnummer,0.525
9,hjertan,0.911,resultat,0.69,decret,0.586,recension,0.552,insand,0.511,hufvudartiklar,0.498,unionskris,0.504,ouppräknelig,0.523
10,winning,0.911,granskning,0.69,förbundsdag,0.585,extenso,0.547,ingress,0.511,läswärda,0.498,fredagsnummer,0.502,madridtidning,0.52
11,männistor,0.91,förflag,0.687,förordning,0.583,redaktör,0.545,korrespondensartikel,0.51,väfnadshandeln,0.497,tisdagsnummer,0.499,morgeubladet,0.516
12,lukt,0.91,resolution,0.685,wigtiga,0.575,wederläggning,0.543,gårdagsbladet,0.509,marknadsförhållande,0.494,nineteenth,0.497,uppsats,0.512
13,rikta,0.91,cöln,0.684,omförmäla,0.572,dagbladets,0.541,bankväsen,0.507,articklar,0.492,morgeubladet,0.494,verldsbladet,0.511
14,hwilar,0.91,erkänd,0.683,officiell,0.572,morning,0.54,öfverskrift,0.502,måndagsnummer,0.488,schmalkaldiska,0.49,artickel,0.51
15,funno,0.91,märkwärdiga,0.682,eröfring,0.572,redactionen,0.539,strof,0.5,trögsåld,0.486,jnlpresenter,0.488,gazettes,0.51
16,förordnande,0.909,proclamation,0.681,meddelt,0.571,recensera,0.538,constitutionnel,0.499,höstsäsong,0.484,pragfreden,0.486,contemporary,0.506
17,innefatta,0.908,friwilliga,0.678,märkwärdiga,0.568,morgenbladet,0.532,exempelvis,0.499,jönköpingsposten,0.484,chefredaktör,0.485,köpenhamnstidningen,0.504
18,tidsfördrif,0.908,klagomäl,0.675,moniteuren,0.567,times,0.531,referater,0.498,öfwerstrift,0.48,hamburgischer,0.481,artik,0.503
19,förlustig,0.907,punct,0.673,1772,0.565,153,0.531,aftonblad,0.498,beriktigande,0.479,economiste,0.481,byggnadsbeslag,0.503
20,syfta,0.907,stadgar,0.673,publicera,0.564,moniteur,0.529,ströskrift,0.497,artickel,0.478,varuartiklar,0.48,februarihäftet,0.502
21,wälmening,0.907,administration,0.672,medbringa,0.562,ingress,0.529,westmakterne,0.494,förbrukningsartikel,0.476,monthly,0.479,monthly,0.5
22,känning,0.907,krigförande,0.672,visitera,0.561,tidningsblad,0.529,exposé,0.493,prisnotering,0.476,reichsbote,0.479,soleil,0.498
23,förmä,0.907,historisk,0.671,ledamöterne,0.56,tidningspapper,0.528,dagbladets,0.493,julpresent,0.475,öfwerstrift,0.477,budstikken,0.497
24,oförmodad,0.906,akademi,0.67,landtdag,0.559,statslära,0.525,replik,0.493,tackjärn,0.475,nordd,0.477,zeitungs,0.497
25,ansedt,0.906,utfärda,0.669,auctors,0.558,öfverskrift,0.523,broschyr,0.492,julgåfvor,0.474,onsdagsnummer,0.477,hufvudstadsbladet,0.496
26,försigtighet,0.905,afhandla,0.667,avisa,0.556,courrier,0.522,mondes,0.492,tullbestämmelse,0.474,constitutionnel,0.476,hamburgischer,0.495
27,framsteg,0.905,depecher,0.667,strödd,0.556,tribune,0.521,telegrammer,0.491,drawback,0.473,mansbeklädnad,0.475,örebladet,0.495
28,ämbets,0.904,sammandrag,0.667,anfördt,0.556,tryckfel,0.521,skilliga,0.49,importvara,0.472,uttalan,0.475,artikelserie,0.494
29,ewiga,0.904,decret,0.666,innehåll,0.555,ministeriel,0.521,tänkvärd,0.49,artik,0.472,constitutionel,0.475,fortnightly,0.494
30,gora,0.904,blifwil,0.665,utgifwit,0.555,medarbetare,0.52,preussische,0.489,maskeradkostym,0.47,köpenhamnstidningen,0.474,aprilhäftet,0.493
31,sem,0.904,ledamöterne,0.664,notifikation,0.555,utgifning,0.519,débats,0.489,assortera,0.47,zeitungs,0.473,urklipp,0.493
