,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,suveränetet,0.745,maktområde,0.733,fueros,0.728
1,förtryckande,0.744,fueros,0.728,maktområde,0.719
2,fueros,0.741,förtryckande,0.709,förtryckande,0.709
3,occupation,0.738,pressfrihet,0.708,herzegowinas,0.708
4,ockupering,0.73,herzegowinas,0.708,suveränetet,0.707
5,landsdelarnes,0.728,suveränetet,0.707,försvarande,0.701
6,öfverhöghet,0.724,försvarande,0.701,autonom,0.7
7,herzegowinas,0.722,autonom,0.7,lauenburgs,0.699
8,pressfrihet,0.722,lauenburgs,0.699,pressfrihet,0.699
9,rumeniens,0.72,landsdelarnes,0.695,landsdelarnes,0.695
10,entente,0.719,furstedömet,0.693,furstedömet,0.693
11,lauenburgs,0.717,negrernes,0.692,negrernes,0.692
12,schleswigs,0.716,asylrätt,0.692,asylrätt,0.692
13,galiziens,0.71,fördragsenlig,0.691,fördragsenlig,0.691
14,sjelfstyrelse,0.709,kronland,0.688,kronland,0.688
15,återupprättelse,0.709,utvisningsrätt,0.687,utvisningsrätt,0.687
16,kronland,0.709,förbundsförfattning,0.685,förbundsförfattning,0.685
17,kullkastande,0.708,avtonomi,0.685,avtonomi,0.685
18,legislativ,0.707,paristraktaten,0.685,paristraktaten,0.685
19,okränkt,0.707,okränkt,0.684,okränkt,0.684
20,paristraktaten,0.706,statsenhet,0.684,statsenhet,0.684
21,statsenhet,0.706,ockupering,0.683,ockupering,0.683
22,negrernes,0.704,nationalitetsprincip,0.682,likaberättigande,0.683
23,hegemoni,0.703,herligdömena,0.681,nationalitetsprincip,0.682
24,undantagsställning,0.703,occupation,0.679,herligdömena,0.681
25,öfwerhöghet,0.702,utjemningen,0.679,occupation,0.679
26,nationalitetsprincip,0.701,rumeniens,0.678,utjemningen,0.679
27,eganderättens,0.7,galiziens,0.678,rumeniens,0.678
28,sachsens,0.699,embetsmannavälde,0.677,galiziens,0.678
29,återupprättande,0.699,federativ,0.675,embetsmannavälde,0.677
30,öfverherrskap,0.699,trosfrihet,0.675,federativ,0.675
31,landafträdelse,0.697,lydstat,0.674,trosfrihet,0.675
32,skyddsherre,0.697,legislativ,0.674,lydstat,0.674
33,kompensation,0.696,sjelfstyrelse,0.674,legislativ,0.674
34,förbundsförfattning,0.696,likaberättigande,0.673,sjelfstyrelse,0.671
35,fördragsenlig,0.695,schleswigs,0.671,schleswigs,0.671
36,autonom,0.695,territoriel,0.67,territoriel,0.67
37,avtonomi,0.695,oafhängighet,0.67,sjelfbestämmelserätt,0.669
38,sydslav,0.694,sjelfbestämmelserätt,0.669,nndersåter,0.668
39,defensivallians,0.694,nndersåter,0.668,undervisningsfrihet,0.667
40,furstedömet,0.694,undervisningsfrihet,0.667,oafhängighet,0.666
41,krigsorsak,0.694,mairernas,0.665,mairernas,0.665
42,nndersåter,0.693,sydslav,0.664,sydslav,0.664
43,folkrättslig,0.693,krigsorsak,0.663,krigsorsak,0.663
44,införlifning,0.692,landafträdelse,0.663,balkanstat,0.663
45,vasallstat,0.692,likställande,0.662,landafträdelse,0.663
46,decentralisation,0.691,styrelsesystem,0.662,vasallstat,0.662
47,stormagternas,0.689,vasallstat,0.661,styrelsesystem,0.662
48,arfföljd,0.688,hegemoni,0.66,likställande,0.661
49,landsdelarne,0.687,defensivallians,0.658,hegemoni,0.66
50,höghetsrätt,0.686,integritet,0.657,integritet,0.66
51,peiska,0.685,höghetsrätt,0.657,defensivallians,0.658
52,pacifikation,0.684,statsordning,0.656,höghetsrätt,0.657
53,landsregering,0.684,supremati,0.656,statsordning,0.656
54,verdsliga,0.684,constitutionella,0.656,supremati,0.656
55,skyddsmakt,0.684,balkanstat,0.655,constitutionella,0.656
56,storherre,0.683,ministeransvarighet,0.654,ministeransvarighet,0.654
57,statsborgerlig,0.683,fortbestånd,0.654,fortbestånd,0.654
58,territoriela,0.682,statsborgerlig,0.654,statsborgerlig,0.654
59,kejsarstat,0.682,landsregering,0.654,landsregering,0.654
60,ottomansk,0.682,verldsfreden,0.654,verldsfreden,0.654
61,federativ,0.682,domstolsväsende,0.654,domstolsväsende,0.654
62,flafweriets,0.681,anslutande,0.653,oafsättlighet,0.653
63,öfverherre,0.681,magtställning,0.652,anslutande,0.653
64,återinsättande,0.68,skyddsherre,0.652,magtställning,0.652
65,respekterande,0.68,kullkastande,0.651,skyddsherre,0.652
66,lothringens,0.679,konfession,0.651,kullkastande,0.651
