,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,elier,0.842,commod,0.719,tienlig,0.665,täck,0.581,återköpa,0.51,pyssla,0.476,ombyta,0.516,ombyta,0.513
1,vek,0.84,arbetshäst,0.716,ostundas,0.653,tillbyta,0.571,lucy,0.506,skafta,0.467,utbyta,0.506,utbyta,0.509
2,wii,0.822,jör,0.709,commod,0.64,falja,0.569,tånkte,0.505,öfivertyga,0.463,frågte,0.45,stekos,0.451
3,twätt,0.821,paja,0.709,salo,0.639,köva,0.567,tjenarinna,0.502,skjutsgosse,0.462,kifvas,0.441,pony,0.45
4,hot,0.818,öfwertäckt,0.7,lega,0.637,bredchaise,0.565,knäpp,0.494,giok,0.461,sqvallrade,0.434,mindretalsregering,0.448
5,halsa,0.818,ganjka,0.698,bredchaise,0.634,commod,0.557,tvert,0.493,erker,0.458,pony,0.429,lurifax,0.444
6,kart,0.815,promt,0.697,arbetshäst,0.628,berlinare,0.556,vändo,0.493,hege,0.456,bortglömma,0.427,krösus,0.444
7,tappa,0.813,beqwäm,0.696,utbjudcs,0.626,reswagn,0.549,tröstegrund,0.492,qwarlemnande,0.455,milaguine,0.425,milaguine,0.442
8,ad,0.813,tienlig,0.695,kipa,0.625,stockkolms,0.547,snäsig,0.491,nättema,0.452,räsonnera,0.423,konvenerade,0.441
9,förordnande,0.812,köva,0.694,kiöps,0.62,sufflet,0.545,bigta,0.488,glunka,0.451,slåss,0.423,frågte,0.44
10,haga,0.811,mcubler,0.686,köva,0.619,gigg,0.542,parisar,0.488,misste,0.451,skrodera,0.422,stockholmsarbete,0.44
11,worc,0.81,behållen,0.686,dräglig,0.619,schäs,0.542,lyss,0.488,leonore,0.45,tänkle,0.42,ömsa,0.439
12,jamt,0.809,julklapp,0.684,återfående,0.617,baktill,0.541,evinnerlig,0.487,smul,0.449,mindretalsregering,0.419,snedgången,0.439
13,motta,0.809,enior,0.684,lse,0.615,läderdyna,0.541,gjört,0.487,uppbjudning,0.448,utvakad,0.418,tyoka,0.438
14,ätwarnas,0.809,halftäckt,0.681,iill,0.612,resvagn,0.541,påhitta,0.486,qvittra,0.447,konvenerade,0.418,vedlass,0.438
15,krydda,0.809,behällen,0.681,halftäckt,0.611,liswet,0.538,öfverge,0.486,bekymrad,0.446,skritva,0.417,börth,0.437
16,afwcn,0.808,hell,0.679,pasande,0.611,kappsläde,0.537,alen,0.484,glud,0.446,öfivertyga,0.416,kifvas,0.437
17,kundskap,0.808,sälta,0.679,ganjka,0.611,atur,0.537,sophus,0.483,gränna,0.444,uppropadt,0.416,hoptigga,0.436
18,bank,0.807,uägon,0.678,uägon,0.61,fyrsittsig,0.535,dingla,0.483,tillhviska,0.443,missklä,0.416,ungmor,0.436
19,skjuts,0.807,ljuskrona,0.677,hxra,0.609,myckct,0.535,fullvuxen,0.483,packer,0.443,handflas,0.416,öfivertyga,0.436
20,päminna,0.806,åtfölja,0.677,bastant,0.607,warsamt,0.535,visionär,0.481,bviskade,0.443,pyssla,0.415,bunds,0.435
21,dec,0.804,förmänliga,0.676,jutwagn,0.607,ensittsig,0.534,snarka,0.48,bjelpte,0.443,konvenerar,0.415,möla,0.435
22,qwarn,0.803,twäsitsig,0.676,pepparrot,0.605,kuskbock,0.533,jänta,0.48,tala,0.442,tyoka,0.415,uppropadt,0.434
23,satan,0.803,kipa,0.676,zittra,0.604,koper,0.533,räson,0.48,afhuggen,0.442,krösus,0.415,dollie,0.434
24,laka,0.803,fullgod,0.675,täck,0.602,täckwagn,0.533,dopfunt,0.48,kurtisör,0.442,klema,0.415,ashört,0.433
25,contant,0.803,rese,0.674,sstnndas,0.602,pels,0.532,läderdyna,0.479,svepa,0.44,ändra,0.415,bortglömma,0.433
26,swarar,0.801,fjädra,0.674,reskärra,0.601,oklädd,0.532,mylady,0.478,wihle,0.44,eleka,0.414,principessan,0.433
27,lysning,0.801,jutwagn,0.672,boro,0.6,boro,0.532,thérése,0.476,talado,0.44,pladdra,0.414,räsonnera,0.433
28,förmäner,0.801,skjuts,0.671,twennc,0.599,owanllgt,0.531,afskedsbetyg,0.476,bernardine,0.438,sqwallra,0.414,portförbud,0.432
29,parlament,0.8,ganssa,0.67,utarrendera,0.598,stutt,0.531,tuktan,0.476,kifvas,0.438,dollie,0.414,springa,0.431
30,sv,0.8,täck,0.667,prls,0.598,madrass,0.53,fäja,0.476,godlynthet,0.438,ntbyta,0.414,sqwallra,0.431
31,ängel,0.8,medta,0.665,behållen,0.598,trilla,0.526,lilvet,0.475,ytrat,0.437,möla,0.413,storhetsperiod,0.43
32,olli,0.799,vela,0.662,kägelbana,0.598,bastant,0.525,jollra,0.475,oäfvet,0.437,sablinville,0.413,löfverum,0.43
33,derrättelse,0.799,bat,0.662,bredschäs,0.598,aut,0.524,fölter,0.474,hiu,0.437,svänn,0.412,lefnadsstig,0.43
34,angifwa,0.799,rack,0.662,behällen,0.597,stängel,0.524,dör,0.473,kappas,0.437,lurifax,0.411,utvakad,0.43
35,begrepp,0.798,ul,0.662,höwind,0.597,öfwertäckt,0.524,flogs,0.473,biifva,0.437,ölvertygad,0.411,förespänd,0.429
36,stt,0.798,pack,0.661,arbets,0.596,tau,0.524,bannor,0.473,förtörnas,0.437,ömsa,0.411,slicka,0.429
37,endera,0.798,phaeton,0.661,hura,0.596,twäsitsig,0.523,bina,0.473,månhet,0.437,dåsa,0.41,lätttrogen,0.429
38,blifiva,0.797,stznd,0.661,flnnes,0.596,refa,0.521,tillbaks,0.473,grafver,0.436,laja,0.41,grannstuga,0.429
39,höna,0.796,astäta,0.66,aecord,0.596,ensitsig,0.521,locke,0.473,glömma,0.435,sulto,0.409,fastman,0.429
40,kundssap,0.796,kiöps,0.66,vela,0.595,ivel,0.521,ästundag,0.473,ömsa,0.435,pinder,0.409,sqvallrade,0.429
41,mö,0.796,kur,0.659,chais,0.595,halftäckt,0.52,snäf,0.472,oaskar,0.435,hviskat,0.409,östgötabygden,0.429
42,bot,0.796,ridhäst,0.659,mtd,0.594,chäskärra,0.52,swarte,0.472,styfvern,0.435,fastman,0.409,keane,0.428
43,förbuden,0.795,wäderqwarn,0.658,cc,0.594,storbät,0.52,skjutsgosse,0.472,skänkel,0.434,bosio,0.408,saccone,0.428
44,ke,0.795,ensitsig,0.657,öfwertäckt,0.594,manér,0.52,näwäl,0.471,stackarn,0.434,afskytt,0.408,basuna,0.428
45,gynna,0.795,fyllning,0.657,myckct,0.594,schäskärra,0.52,dumhufvud,0.471,ölvertygad,0.433,sparlakanslexa,0.408,mersac,0.427
46,twista,0.795,lim,0.657,pagande,0.593,bredchäs,0.519,pulsslag,0.471,iåg,0.433,gnmman,0.408,käresta,0.427
47,boja,0.795,salo,0.656,fortepiano,0.593,reskärra,0.519,behöfdc,0.47,siäppa,0.432,reier,0.408,stralt,0.427
48,flä,0.794,ffa,0.656,waning,0.593,brik,0.518,schackra,0.469,snugga,0.432,mersac,0.407,gnmman,0.427
49,nedlägga,0.794,je,0.655,sandsten,0.592,dugtig,0.517,nåh,0.469,vexlare,0.432,modar,0.407,öfvertygelseu,0.427
50,höflighet,0.794,gvd,0.655,astäta,0.592,baksäte,0.517,intrigera,0.468,zigenerska,0.432,tastän,0.407,svältföda,0.426
51,munk,0.793,dare,0.655,mata,0.592,dg,0.517,syflicka,0.468,åsäga,0.432,galgfågel,0.407,bästen,0.426
52,tina,0.793,vh,0.655,skrinda,0.592,pell,0.517,nei,0.468,uppsnygga,0.432,trasvarg,0.407,extrapost,0.425
53,hafira,0.793,moderera,0.654,bofast,0.592,kiva,0.517,galoppera,0.468,helgdagskläder,0.432,flösa,0.407,mälarstaden,0.425
54,anhälles,0.793,tandwärk,0.654,godr,0.591,kibitka,0.517,kyste,0.468,wessinger,0.431,bjälpa,0.407,klostersyster,0.424
55,wakten,0.792,äkedon,0.653,fjädra,0.591,ganjka,0.516,annau,0.467,följeslage,0.431,110g,0.406,logedörr,0.424
56,afbida,0.792,aflåta,0.652,sörut,0.591,dräglig,0.515,hårlock,0.467,förtycka,0.431,basuna,0.406,penningeby,0.424
57,nod,0.791,utläna,0.651,klaver,0.59,skurk,0.515,inställsam,0.467,pojkår,0.431,swepa,0.406,helgdagskläder,0.424
58,vck,0.791,kn,0.651,wilkvr,0.59,sömnig,0.515,trankil,0.466,schackra,0.429,kvarstadna,0.406,kvarstadna,0.424
59,reid,0.791,krogsedel,0.65,f5,0.59,caleche,0.515,hulvudet,0.466,wälling,0.429,heone,0.405,livarenda,0.424
60,kunssap,0.79,fyrsitsig,0.65,norrtelje,0.59,fotter,0.515,kohort,0.466,barkbröd,0.429,bästen,0.405,bellegarde,0.424
61,mt,0.79,öswerenskommelse,0.649,schäs,0.59,salsstänk,0.514,talle,0.466,kriticera,0.428,logedörr,0.405,silfverknappar,0.424
62,siz,0.79,f5r,0.649,äsiundas,0.59,westa,0.514,sofva,0.466,kringklappa,0.428,samspräka,0.405,fjäska,0.424
63,nas,0.79,tilwärkning,0.649,bwarom,0.589,molnfri,0.514,dernere,0.466,karbas,0.428,lefnadsstig,0.405,sparlakanslexa,0.423
64,hwilkens,0.789,hukhäll,0.648,alna,0.589,fären,0.513,wänd,0.465,superkarg,0.428,laputa,0.404,framtidsbana,0.423
65,sluta,0.788,arbets,0.648,hornskroken,0.589,stampa,0.513,underskatta,0.465,svärdotter,0.427,stockholmsarbete,0.404,hasard,0.423
66,tjuswen,0.788,förmånlig,0.647,mncket,0.589,sola,0.513,häle,0.465,nästipp,0.427,mesalliance,0.404,trug,0.423
67,darföre,0.788,willor,0.647,treflig,0.589,jutwagn,0.512,knäppa,0.465,styffar,0.427,öfvertygelseu,0.404,tastän,0.423
68,ringare,0.788,kärra,0.647,gsd,0.588,perlemo,0.512,edva,0.465,tumla,0.427,bortbyta,0.404,snälltågsfart,0.423
69,ast,0.788,sina,0.647,willor,0.588,piska,0.512,dödskalle,0.465,montbarry,0.427,glunka,0.404,harten,0.423
70,benägit,0.787,kappsäck,0.646,däras,0.588,aodt,0.511,habit,0.465,j3g,0.426,skvallra,0.404,eleka,0.423
71,ssul,0.787,lunna,0.646,fyrsitsig,0.588,linnar,0.511,klinka,0.465,koramo,0.426,snedgången,0.404,gyllenorm,0.422
72,ödmjukhet,0.787,calesch,0.646,beffed,0.588,mälad,0.511,nagvn,0.465,drefve,0.426,extrapost,0.404,smörj,0.422
73,titt,0.787,stälig,0.645,pajande,0.587,bredsläda,0.511,bildskön,0.464,truga,0.426,beelzebub,0.403,svänn,0.422
74,oni,0.786,björnhud,0.645,twäsitsig,0.587,twärt,0.511,adéle,0.464,vredo,0.426,helgdagskläder,0.403,tillstodo,0.422
75,borgen,0.786,arfwode,0.645,flnnas,0.587,chais,0.51,sidendamast,0.464,stuud,0.426,tråka,0.403,värnpligtssystem,0.422
76,haswer,0.786,bog,0.644,lutt,0.586,omgängar,0.51,lartyg,0.464,beliöfs,0.426,misttagit,0.403,speckland,0.422
77,hogad,0.785,klädtwätt,0.644,zstnndas,0.586,fjädra,0.51,bjertat,0.464,flåsa,0.426,speckland,0.403,örsäljning,0.422
78,härkomst,0.785,tobaksland,0.643,wiener,0.586,näkna,0.51,ellinor,0.464,bäfvat,0.426,aftala,0.403,inneböllo,0.422
79,sällstap,0.785,ästunsas,0.643,urbjudes,0.585,hägen,0.51,längr,0.464,anken,0.426,ashört,0.403,laputa,0.422
80,get,0.785,järnband,0.643,elk,0.585,framtill,0.51,alltemellanåt,0.464,skålla,0.426,auktionera,0.402,midnattsstund,0.422
81,däromkring,0.784,utfodring,0.643,wälbelägen,0.585,wänd,0.509,hängaf,0.463,soulagera,0.425,hoptigga,0.402,fritimme,0.422
82,sro,0.784,hylla,0.643,avd,0.584,hvilat,0.508,görn,0.463,liviska,0.425,saccone,0.402,pyssla,0.422
83,försörja,0.784,behöswer,0.643,rall,0.584,kän,0.508,haden,0.463,skafla,0.425,gnata,0.402,vänsterregering,0.421
84,räka,0.784,wallack,0.642,kärra,0.584,tienlig,0.508,wånder,0.463,natl,0.424,hasard,0.402,auktionera,0.421
85,lemnäs,0.783,förmonliga,0.642,sufflet,0.584,wattentunna,0.507,gränna,0.463,thassilo,0.424,liviska,0.402,kylslagen,0.421
86,vika,0.783,iskällare,0.642,aflata,0.583,wllkor,0.507,åldras,0.463,cerade,0.424,börth,0.401,qvållen,0.421
87,we,0.783,wälbelägen,0.642,bebygd,0.583,wienerwagn,0.507,kratta,0.463,walstein,0.423,principessan,0.401,pälsverk,0.421
88,anmodan,0.783,erhällas,0.641,swarfstol,0.582,krampaktig,0.507,tingest,0.463,vändo,0.423,kirsty,0.401,lyfto,0.421
89,dam,0.782,wärme,0.641,sslu,0.582,brnkbara,0.507,fördubbladt,0.463,påtränga,0.423,förwisfo,0.401,laja,0.421
90,stillhet,0.782,adr,0.64,mcubler,0.581,dagswerkstorp,0.507,gnägga,0.462,carriére,0.423,mälarstaden,0.401,handflas,0.421
91,skänka,0.782,bälst,0.639,landtställe,0.581,päls,0.506,följeslagarinna,0.462,hemkommit,0.423,hege,0.401,pinder,0.42
