,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,buru,0.824,fängelsebyggnad,0.694,godsstation,0.482,hörnegendom,0.609,hörnegendom,0.564
1,krigsgärd,0.822,embetsmån,0.677,beböfligt,0.48,beliiget,0.596,beliiget,0.529
2,hufvudbok,0.819,byggnadsfond,0.676,salubutik,0.463,nordstaden,0.58,nordstaden,0.525
3,afkorta,0.814,vägbyggnad,0.673,genheter,0.461,spegelfönster,0.576,tralt,0.522
4,minsk,0.813,kontribution,0.669,föreni,0.459,trafikeradt,0.576,beläsen,0.517
5,taleman,0.809,försörjningsanstalt,0.667,comité,0.458,bolägen,0.572,npparbetadt,0.517
6,basilio,0.809,arrondissement,0.662,privatvåning,0.457,beläsen,0.57,välbelägen,0.516
7,ziirich,0.807,kommite,0.662,hufvudgator,0.457,upparbetadt,0.57,trafikeradt,0.515
8,budgett,0.802,sammanslagning,0.661,kommunalförvaltning,0.456,ladugårdsland,0.565,möbleradfc,0.514
9,afslutadt,0.801,ordningsstadga,0.66,trädgärdstomt,0.456,npparbetadt,0.564,spegelfönster,0.513
10,förhöjdt,0.799,utrecht,0.66,departementerne,0.455,välbygdt,0.563,bolägen,0.51
11,diskontering,0.799,förlikningsdomstol,0.659,eningen,0.454,rnöbleradt,0.562,upparbetadt,0.509
12,skela,0.799,upplåsa,0.658,ladugårdslandsviken,0.453,möbleradfc,0.561,horngård,0.504
13,beriden,0.797,ansiag,0.657,drl,0.45,hufvudgata,0.558,nutidenb,0.502
14,macdonald,0.796,länsvis,0.657,centralkomitén,0.45,möbieradt,0.556,räntabel,0.499
15,sluten,0.796,regeringsrätt,0.655,h6tel,0.45,sommarrum,0.555,hörngård,0.497
16,inbyggarne,0.795,utgiftsstat,0.655,garan,0.45,möblerado,0.552,välbygdt,0.496
17,krökning,0.795,styrelseverk,0.654,handtwerks,0.449,affärsläge,0.552,sommarrum,0.495
18,tvångslån,0.794,kommittee,0.654,myndighe,0.449,omöbieradt,0.552,ladugårdsland,0.494
19,öfversändt,0.794,tillflott,0.654,hufvndstadens,0.449,belägon,0.551,affärsläge,0.491
20,armce,0.794,universiteternas,0.652,mairerna,0.449,hörnlokal,0.545,församlingskyrka,0.491
21,achmet,0.794,folkskolelärare,0.652,rädhusets,0.447,tretligt,0.544,villabyggnad,0.491
22,försvarsverk,0.794,landtförsvaret,0.649,huswudkontor,0.447,möblerndt,0.542,cervinska,0.49
23,retrograd,0.793,fångvård,0.649,välmöbleradt,0.447,vasastaden,0.541,omöbieradt,0.49
24,valsätt,0.793,armten,0.648,travpa,0.446,vacket,0.541,stenhusegendom,0.489
25,hviiket,0.793,tulltjenstemännen,0.648,expositionsbyggnaden,0.445,välbelägen,0.541,gårdsutrymme,0.488
26,rotehållare,0.792,stångån,0.647,omöbleradt,0.445,möbloradt,0.541,hufvudgata,0.487
27,införseltull,0.792,genomdrifwande,0.646,skolmöte,0.444,vettande,0.54,rnöbleradt,0.486
28,173,0.792,kanslersembetet,0.646,bildado,0.444,blerade,0.54,möblerndt,0.486
29,neapolitan,0.792,statens,0.645,kontorsrum,0.443,välmöbleradt,0.536,natnrskönt,0.485
30,fientlighet,0.791,fänta,0.645,jockeyklubben,0.443,tralt,0.536,belägon,0.484
31,underskrifva,0.791,fortskaffande,0.645,hypotheksbank,0.443,benign,0.535,vacket,0.482
32,tyrol,0.791,elementarlärowerken,0.644,filialafdelningar,0.443,klaratrakten,0.535,hörntomt,0.481
33,galata,0.79,kommitlerade,0.644,djupwiken,0.443,uteigt,0.533,litén,0.481
34,cavallerie,0.79,corpsens,0.644,expositions,0.442,beliigen,0.533,nthyrdt,0.48
35,skuile,0.79,beväringsmanskap,0.643,gransor,0.442,nyrepareradt,0.533,beliigen,0.48
36,stabilitet,0.789,öfverstyrelse,0.642,kringbäras,0.441,nutidenb,0.532,möbieradt,0.479
37,militärstyrka,0.789,räntekammare,0.642,församlingshus,0.441,näiheten,0.531,sofiaparken,0.479
38,metrer,0.789,committé,0.641,sörberedes,0.44,norreller,0.53,norreller,0.479
39,nauplia,0.789,riksståthållare,0.641,afflntat,0.44,räntabel,0.529,hörnlokal,0.478
40,calabrien,0.789,ljuspenningar,0.641,jernvägssta,0.44,enm,0.529,skogrik,0.477
41,vakant,0.789,ämbets,0.641,okal,0.44,ungkarlsvåning,0.528,finhandel,0.475
42,betydlighet,0.788,omorganisation,0.64,bethelkapellet,0.44,hörntomt,0.527,renommeradt,0.475
43,minnespenning,0.788,aflöningssätt,0.64,sördelaktigt,0.44,skolpark,0.527,lagervåning,0.474
44,upptogo,0.788,begynta,0.639,hufvudorten,0.44,uyreparerade,0.527,liige,0.474
45,betalbar,0.788,trädande,0.639,museibyggnad,0.439,vaning,0.526,folkrik,0.474
46,apologi,0.787,undersökningskostnad,0.638,kiik,0.439,horngård,0.526,klaratrakten,0.473
47,rld,0.787,bcwiljade,0.638,finhandel,0.439,iugång,0.525,disponentbostad,0.473
48,konsti,0.787,tabellkommission,0.637,kassahvalf,0.439,liige,0.525,trevånings,0.471
49,stockholmsblad,0.786,tilfaller,0.637,välmöblerade,0.438,dublott,0.525,rådhusesplanaden,0.471
50,gisslan,0.786,båtsmanshåll,0.636,saltsjöbaden,0.438,hyva,0.525,skolpark,0.471
51,dtr,0.786,strömrensning,0.635,öfwerstyrelsen,0.438,vasagata,0.525,vasastaden,0.47
