,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,skärskådande,0.786,sammankallande,0.635,dryfta,0.629,dryfta,0.706,dryfta,0.687
1,upphäfven,0.778,petitionera,0.629,debattera,0.629,debattera,0.649,debattera,0.629
2,dellaga,0.777,punktvis,0.623,afhandla,0.618,afhandla,0.592,diflutera,0.575
3,deputeradekammare,0.771,nationalrepresentation,0.605,diskuterande,0.616,dryftning,0.586,dryftning,0.571
4,uppläsning,0.768,arbetsordning,0.602,öfverläggningsämnen,0.594,öfverlägga,0.582,bcflnta,0.564
5,fiåga,0.768,lagförändring,0.602,afhandlad,0.59,diskuterande,0.58,försvarsoch,0.558
6,reformvän,0.767,ständct,0.599,förhandla,0.588,öfverläggningsämnen,0.577,fiågan,0.555
7,pärs,0.765,debattera,0.598,fiågan,0.586,diflutera,0.574,öfverläggningsämnen,0.554
8,uppstodo,0.758,bondcständet,0.597,slutbehandla,0.58,diskussionsmöte,0.57,diskussionsmöte,0.554
9,civillag,0.755,grundlagsändring,0.596,bordlagdt,0.576,diskuteradt,0.564,afhandla,0.554
10,afgifven,0.755,regeringsrätt,0.596,diskus,0.573,bcflnta,0.561,diskussionsämne,0.551
11,affattadt,0.754,hwilandc,0.596,kyrkobillen,0.571,öswerlägga,0.558,distuteras,0.535
12,bådskap,0.752,riksnämnd,0.592,arbetarefråga,0.571,diskussionsämne,0.553,rågan,0.534
13,omnämt,0.75,lagberedning,0.591,afhandlade,0.568,kretsmöte,0.553,diskussion,0.529
14,kommitterad,0.748,borgarestånden,0.59,värnepligtslagen,0.568,rädflä,0.547,diskuterande,0.525
15,återvälja,0.748,discussion,0.589,landsthinget,0.566,konstituering,0.544,rädflä,0.525
16,förslager,0.748,hufvudgrunderna,0.588,paragrafvis,0.565,diskussions,0.544,aktuell,0.525
17,ständernes,0.747,ftägan,0.587,punktvis,0.565,samråda,0.542,kretsmöte,0.523
18,throntalet,0.746,lagutkast,0.585,armélag,0.565,försvarsoch,0.542,diskuteradt,0.522
19,tryckfrihetsförordning,0.745,bränwinsfrägan,0.584,voterad,0.563,öfverläggningsämnena,0.539,afhandlad,0.522
20,tvistefråga,0.745,valsätt,0.583,ajournering,0.561,öfverläggning,0.538,ashandlas,0.521
21,universiteterna,0.744,wäckla,0.581,skolfråga,0.56,rådslå,0.537,öfverläggningsämnet,0.52
22,representationsrätt,0.744,gilladt,0.58,diskussion,0.559,distuteras,0.536,jernvägsfråga,0.515
23,förkastande,0.744,utstottets,0.58,grundlagsfråga,0.558,rådpläga,0.535,diskussions,0.515
24,thinget,0.744,afgifiva,0.579,thingets,0.557,ashandlas,0.529,konstituering,0.514
25,presidentskap,0.743,diflussion,0.578,lagutkast,0.557,fiågan,0.528,fredsfråga,0.512
26,triumfbåge,0.742,forslag,0.578,diflutera,0.557,föräldramöte,0.528,juryfrågan,0.512
27,pärskap,0.741,myntsystem,0.577,fiåga,0.556,rågan,0.527,öfverläggningsämnena,0.51
28,passionerad,0.741,ordningsstadga,0.577,förbandlingarne,0.556,möto,0.527,arbetarelagstiftningen,0.51
29,räfst,0.741,belänkande,0.576,myntfrågan,0.555,slutbehandla,0.526,föräldramöte,0.509
30,tullsystem,0.741,grundlagsförslag,0.573,utskottsval,0.554,reglementsförändring,0.526,öfverlägga,0.507
31,skuile,0.741,indragningsmakt,0.572,distuteras,0.553,värnpligtsfrågan,0.526,öfverläggningsämne,0.507
32,hänskjuta,0.74,öswerläggningar,0.572,odelsting,0.553,arbetaresamfundens,0.525,hufvudfrågor,0.506
33,preliminär,0.74,bordlägga,0.571,bcflnta,0.553,fredsfråga,0.524,hufvudfråga,0.505
34,nationalrepresentation,0.74,framstälda,0.571,öfverläggning,0.552,behandla,0.524,reglementsförändring,0.505
