,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,kalender,0.787,tidskifte,0.71,verldshistorien,0.682,tidskifte,0.642,verldshistoriens,0.629,verldshistoriens,0.618
1,farsot,0.782,grunddrag,0.702,skamfläck,0.649,epokgörande,0.625,statssystem,0.601,statssystem,0.601
2,civilisera,0.781,filantropisk,0.693,pånyttfödelse,0.648,tidsskede,0.615,vikingatid,0.587,vikingatid,0.587
3,sammanstämma,0.777,episod,0.692,statshvälfning,0.64,krigshistoria,0.614,phas,0.587,phas,0.587
4,befolkning,0.777,pånyttfödelse,0.682,hvälfning,0.639,diktning,0.612,tidskifte,0.584,tidskifte,0.584
5,verksamhet,0.774,olikartad,0.68,tiderymd,0.637,blomstringstid,0.603,wändpunkt,0.582,förhistorisk,0.583
6,moralitet,0.772,företeelse,0.678,verldsdel,0.63,vändpunkt,0.602,utvecklingshistoria,0.582,utvecklingshistoria,0.583
7,fälttäg,0.772,praxis,0.677,tidskifte,0.629,verldshistorien,0.594,förhistorisk,0.581,wändpunkt,0.582
8,räa,0.771,fenomen,0.675,bildningsgrad,0.628,litteraturhistoria,0.593,kalmarunion,0.58,kalmarunion,0.58
9,lagom,0.771,kommerciella,0.673,tidehvarfvet,0.623,kulturhistoria,0.593,världshistoria,0.577,världshistoria,0.577
10,enstämmig,0.77,misshällighet,0.673,tidehvarfvets,0.621,utvecklingsskede,0.591,verldshistorien,0.576,verldshistorien,0.576
11,olyckelige,0.769,auspicier,0.673,tidehvarf,0.616,förhistorisk,0.59,banérförare,0.574,banérförare,0.574
12,söremäl,0.768,ohygglighet,0.671,hedendom,0.614,målarkonst,0.589,utvecklingsskede,0.572,utvecklingsskede,0.572
13,undersäter,0.767,theori,0.67,krisis,0.613,tidehvarfvet,0.589,storhetstid,0.57,nomadfolk,0.569
