,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,barthe,0.867,statssekreterare,0.72,justitie,0.657,åkerbruksminister,0.62,åkerbruksminister,0.625
1,perez,0.835,understatssekreterare,0.712,romero,0.617,tulldepartementet,0.595,tulldepartementet,0.61
2,rigny,0.835,ärenderne,0.698,ärenderne,0.617,cazot,0.593,tulldepartement,0.605
3,hofkansler,0.83,rigny,0.691,haffner,0.608,sonnino,0.592,sonnino,0.595
4,stjerneld,0.822,riksmarskalk,0.691,daru,0.603,tulldepartement,0.586,cazot,0.593
5,lopez,0.821,generaltulldirektör,0.687,understatssekreterare,0.594,justitie,0.584,justitie,0.588
6,sauzet,0.821,passy,0.684,belcredi,0.584,daru,0.581,kulturminister,0.586
7,diiben,0.815,lopez,0.684,thulstrup,0.583,kulturminister,0.576,handelsdepartement,0.584
8,arrhenius,0.813,barthe,0.673,finansdepartement,0.583,ärenderne,0.556,daru,0.574
9,odillon,0.813,expeditionschef,0.673,genouilly,0.579,handelsdepartement,0.554,partement,0.567
10,perrier,0.812,thestrup,0.672,herrera,0.578,partement,0.552,genouilly,0.562
11,soults,0.81,fåhreeus,0.67,justitiedepartement,0.57,genouilly,0.551,ärenderne,0.562
12,melville,0.81,ministerpresident,0.67,statsråd,0.566,herrera,0.549,herrera,0.562
13,poppius,0.81,sauzet,0.667,pidal,0.565,devés,0.548,undervisningsråd,0.559
14,nordenankar,0.807,landtförsvarsdepartementet,0.665,delyannis,0.562,statsräden,0.547,manassein,0.553
15,bergemann,0.802,justitie,0.664,ärenderna,0.561,departement,0.545,loizillon,0.552
16,herbert,0.802,ingeniörkorpsen,0.663,leboeuf,0.56,chevreau,0.544,devés,0.55
17,engclste,0.802,lancaster,0.662,ecklesiastikdepartement,0.56,manassein,0.541,indredepartementet,0.549
18,revisionssekreterare,0.801,föredragande,0.66,lagerstråle,0.558,loizillon,0.539,undervisningsdepartement,0.549
19,sivarade,0.801,calatrava,0.659,wallon,0.557,cambon,0.536,chevreau,0.549
20,statsrädet,0.801,schmerling,0.657,expeditionschef,0.557,romero,0.535,adjoint,0.548
21,schulzenheim,0.801,brunnow,0.657,utrikesärende,0.555,miljutin,0.534,statsräden,0.548
22,whitworth,0.8,gough,0.656,sjöförsvarsdepartementet,0.553,undervisningsdepartement,0.533,belcredi,0.545
