,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,reparera,0.748,sinne,0.695,sinne,0.634,ffnnes,0.553,fräken,0.623,qvislor,0.548,lefverfläck,0.523,afrifven,0.494
1,rya,0.736,ertra,0.683,finn,0.615,finnes,0.55,hudåkomma,0.599,qvissla,0.537,fräken,0.516,offiserare,0.476
2,ost,0.733,senap,0.678,prls,0.604,stnnes,0.538,bepröfwadt,0.577,vagel,0.536,solbränna,0.514,lefverfläck,0.462
3,koni,0.732,finncs,0.676,finna,0.598,finncs,0.526,bepröfvadt,0.572,fräken,0.526,pormask,0.494,solbränna,0.462
4,äfwentyr,0.729,caviar,0.675,finncs,0.593,fiunes,0.525,förstönande,0.558,lefverfläck,0.488,afrifven,0.493,fräken,0.459
5,enighet,0.729,renett,0.666,sinnes,0.593,finnos,0.523,hudäkommor,0.557,solbränna,0.474,hudrodnad,0.489,ekzem,0.455
6,besparing,0.728,sinnes,0.665,ffnnes,0.592,finna,0.512,konservering,0.555,finncs,0.462,qvislor,0.487,mjäll,0.454
7,swenssa,0.726,insyltad,0.664,honung,0.574,mjöd,0.506,conservering,0.524,borttåg,0.451,mjäll,0.485,vissla,0.449
8,förhoppning,0.726,apelsin,0.659,julklapp,0.573,flnnes,0.505,försköning,0.518,hudäkommor,0.441,qvissla,0.472,svensktalande,0.449
9,tegel,0.725,risgryn,0.658,sjerdingar,0.569,prls,0.503,flyddande,0.517,ömkyla,0.437,vagel,0.472,pormask,0.448
10,bränning,0.725,ffnnes,0.655,grädda,0.567,finnas,0.492,frostskada,0.486,vårta,0.433,näsrodnad,0.47,lapp,0.437
11,tii,0.725,frista,0.653,sis,0.562,fianes,0.489,ömkyla,0.478,hudorenhet,0.431,skafsår,0.465,nationalitetskänsla,0.432
12,äfiven,0.724,solbränna,0.652,skumma,0.561,murkla,0.483,styddande,0.467,hudklåda,0.431,insektsstyng,0.465,sjöterritorium,0.43
13,stig,0.721,tobaksblad,0.65,stnnas,0.561,flnnas,0.48,giktvärk,0.463,bepröfvadt,0.423,insektstyng,0.463,qvislor,0.43
14,rolig,0.72,blanksmörja,0.65,kaviar,0.56,stnnas,0.479,linnar,0.461,förstönande,0.418,vissla,0.448,santaler,0.43
15,formera,0.719,skinka,0.649,gryn,0.556,ssnnes,0.478,solö,0.45,väggohyra,0.416,eczem,0.444,ryss,0.427
16,lagga,0.719,pomada,0.647,kummin,0.553,modererad,0.478,chroniska,0.434,bepröfwadt,0.414,ömkyla,0.431,afvogheten,0.426
17,steka,0.719,äple,0.644,chais,0.552,finneg,0.474,bepröfvadl,0.431,finna,0.411,fnassel,0.431,greenback,0.424
18,amne,0.718,veritabel,0.644,zittra,0.551,caviar,0.474,inverkning,0.431,fördrifwer,0.41,hudmask,0.427,skridskoåkarne,0.424
19,tillaga,0.718,päron,0.643,saiu,0.55,inlcmnadt,0.474,försköna,0.43,hudåkomma,0.41,linnar,0.426,stamförvandter,0.424
20,nymodig,0.718,carolina,0.64,kommitzion,0.549,sjerdingar,0.473,hudhetsighet,0.428,fimies,0.407,afrifva,0.425,sångarförbund,0.423
21,myckel,0.717,potatoes,0.64,utwald,0.547,stöpljus,0.472,väggohyra,0.427,trisk,0.406,klåda,0.425,invåuarne,0.422
22,orolig,0.717,ingefära,0.638,flnnes,0.545,faeilt,0.469,hårvext,0.42,flnnes,0.403,kylskada,0.425,hudorenhet,0.421
23,upmuntran,0.717,preparera,0.638,sulu,0.545,gåsbröst,0.469,giktkrämpor,0.413,finues,0.403,födelsemärke,0.424,näsrodnad,0.419
24,lätta,0.716,holländst,0.637,ordinär,0.545,saltgurka,0.468,fördrifver,0.411,hembakad,0.402,hudhårdnad,0.423,mamelucker,0.417
25,innefatta,0.716,las,0.637,sturen,0.544,persika,0.467,vårta,0.411,skabb,0.399,hudorenligheter,0.422,elisabethgrad,0.415
26,somlige,0.715,arrack,0.637,mörkgrön,0.544,tinne,0.466,solbränna,0.41,haral,0.398,hudäkommor,0.42,aagaard,0.415
27,idkare,0.713,sextondel,0.637,klaver,0.544,finues,0.466,fladliga,0.41,linnar,0.397,myggbett,0.418,systerland,0.414
28,ätffillige,0.713,linfrö,0.633,helgryn,0.543,kaviar,0.466,fördrifvande,0.408,tinne,0.396,hudorenhet,0.416,afrifva,0.414
29,käng,0.713,frissa,0.633,tfn,0.543,sinnes,0.464,tinne,0.402,stnnes,0.394,hudklåda,0.413,fortlefvat,0.414
