,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,lilt,0.809,bömiska,0.588,undervisningsspråk,0.575,undervisningsspråk,0.581
1,accorder,0.794,undervisningsspråk,0.584,arabiska,0.543,arabiska,0.557
2,ocä,0.789,läsöfningar,0.581,språk,0.535,språk,0.545
3,alio,0.788,jernvägstjensteman,0.567,buddhistisk,0.52,buddhistisk,0.541
4,brogatan,0.786,samtals,0.567,talspråk,0.512,hexameter,0.535
5,willas,0.785,samtalsöfningar,0.566,heraldik,0.509,talspråk,0.534
6,kryddkrambandel,0.784,språkstudie,0.561,nationalkyrka,0.509,heraldik,0.528
7,dean,0.784,ranska,0.559,harnisch,0.507,nationalkyrka,0.522
8,studerkammare,0.783,parlör,0.559,correct,0.503,talando,0.52
9,sibirien,0.781,handelskorrespondens,0.558,varukunskap,0.502,kngelska,0.52
10,ivenne,0.781,rättstafning,0.556,kngelska,0.502,gaelisk,0.519
11,ottober,0.781,semitisk,0.555,hexameter,0.502,bpråket,0.514
12,jäder,0.78,sanskrit,0.552,talando,0.501,nygrekisk,0.513
13,pika,0.778,stilöfning,0.551,semitisk,0.498,correct,0.511
14,sålja,0.778,lieblein,0.55,bpråket,0.496,sagohäfder,0.511
15,flaffa,0.778,kontorsklass,0.549,gaelisk,0.496,harnisch,0.51
16,låge,0.778,skolorne,0.548,grundspråk,0.494,varukunskap,0.51
17,omflytta,0.778,ångbåtskapten,0.548,sagohäfder,0.494,folkpoesi,0.509
18,efi,0.777,arabiska,0.547,nygrekisk,0.494,grundspråk,0.509
19,nedgä,0.777,duplett,0.547,volapuk,0.49,universalspråk,0.509
20,vattenkommunikation,0.776,andande,0.545,uttalslära,0.49,semitisk,0.507
21,langlet,0.776,lapsk,0.544,ericus,0.489,volapuk,0.505
22,onffar,0.776,srenska,0.544,mitau,0.489,operatext,0.505
23,vinberg,0.775,metrik,0.543,stilöfning,0.487,uttalslära,0.501
24,derligt,0.775,skönskrift,0.542,qväkare,0.486,svensha,0.501
25,483,0.775,språ,0.542,statsvetenskap,0.486,lani,0.501
26,fabien,0.775,språkegenhet,0.541,folkpoesi,0.486,volapiik,0.5
27,uleäborg,0.775,planchen,0.541,skolorne,0.485,skolorne,0.5
28,wäniug,0.774,lånevilkor,0.541,volapiik,0.484,metrik,0.5
29,berf,0.774,elementarundervisning,0.54,sveaska,0.484,klassiker,0.499
30,enfamt,0.774,svedboms,0.54,svensha,0.484,mitau,0.499
31,beflrifwa,0.774,satslära,0.54,metrik,0.483,authentika,0.498
32,allahabad,0.774,empirisk,0.539,universalspråk,0.482,sveaska,0.498
33,nedsölad,0.774,nordpolsfärd,0.539,authentika,0.481,statsvetenskap,0.498
34,balong,0.774,hufvudämnen,0.538,operatext,0.481,kompendium,0.498
35,skjutsombyte,0.774,förnåmsta,0.537,forchhammer,0.481,forchhammer,0.497
36,görtz,0.774,mellanradig,0.537,lani,0.48,ericus,0.494
37,genasl,0.774,ntgifvaren,0.537,kompendium,0.48,evangeliibok,0.492
38,dyl,0.773,skolkurs,0.536,singularis,0.479,skatteförenklingsfrågan,0.492
39,gabriella,0.773,agentskap,0.535,geographien,0.478,lutersk,0.492
40,hwillet,0.773,praktväxt,0.534,iinskar,0.477,genmälaren,0.491
41,allni,0.772,respond,0.534,klassiker,0.477,singularis,0.49
42,negrinna,0.772,språkkunskap,0.532,evangeliibok,0.477,geographien,0.49
43,finneö,0.772,authentika,0.532,skatteförenklingsfrågan,0.476,befästningsväsende,0.49
44,misttanka,0.772,jernvägslinier,0.532,påfvisk,0.475,sitt,0.489
45,ästundss,0.772,adjektiv,0.532,koranen,0.474,bondefolk,0.489
46,stomakare,0.772,liof,0.532,högkyrkan,0.474,svedenborgare,0.488
47,syneman,0.772,grammatisk,0.532,lutersk,0.473,högkyrkan,0.488
48,brännö,0.772,naturalhistorisk,0.532,läsöfningar,0.473,koranen,0.488
49,rae,0.771,folkpoesi,0.532,genmälaren,0.473,histori,0.488
50,omrädc,0.771,ulgifvande,0.531,landsmål,0.473,semit,0.486
51,flörden,0.771,lénström,0.531,estnisk,0.473,universitetsundervisning,0.486
52,rågfält,0.771,läkarevetenskap,0.531,tyska,0.472,ponsard,0.486
53,flpttning,0.77,formulärbok,0.53,tungomål,0.472,konkordieformeln,0.485
54,göihgatan,0.77,syska,0.53,språ,0.472,sjöterritorium,0.485
55,hwareft,0.77,npplagan,0.53,evangeliskluthersk,0.472,fonetik,0.485
56,nall,0.769,kyrkohistorisk,0.53,befästningsväsende,0.472,husförestånderska,0.484
57,logis,0.769,ponsard,0.53,katholsk,0.471,bibeltolkning,0.484
58,skogig,0.769,lörekommande,0.53,histori,0.471,påfvisk,0.484
59,nim,0.769,karakters,0.529,konkordieformeln,0.471,prosaiker,0.484
60,ekshärads,0.768,varukunskap,0.529,hufvudämnen,0.47,evangeliskluthersk,0.484
61,482,0.768,handtverksarbetare,0.529,sjöterritorium,0.47,språ,0.484
62,flaua,0.768,samhällslära,0.529,sitt,0.47,theologien,0.484
63,elars,0.768,heidst,0.528,landtdagsman,0.469,romarspråket,0.484
64,corsika,0.768,folkdikt,0.528,föreläsnings,0.469,iärt,0.484
65,tan,0.768,commentar,0.527,geographie,0.469,stilöfning,0.483
66,snöboll,0.767,prosaiker,0.527,prosaiker,0.469,interpunktion,0.483
67,hwinande,0.767,vetgirig,0.527,universitetsundervisning,0.469,landsmål,0.483
68,sturehof,0.767,jernförädlingsverk,0.527,yska,0.467,föreläsnings,0.482
69,gökes,0.767,förvaltningsrätt,0.527,bibeltolkning,0.466,geographie,0.482
70,haswets,0.767,föreviste,0.527,lektorsbeställningen,0.466,läsöfningar,0.482
71,kavalleriregemente,0.767,härledning,0.527,ästetik,0.466,krigsarkivarie,0.481
72,förfäljcs,0.767,valfri,0.526,fonetik,0.466,bondehem,0.481
73,asie,0.767,samtalsspråk,0.526,bondefolk,0.466,estnisk,0.481
