,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,de,0.477,solk,0.664,solk,0.538,solk,0.517,tolerans,0.492,folkel,0.658,solk,0.612,solk,0.659,nationalitetskänsla,0.527
1,last,0.467,ätminstone,0.598,patriotism,0.496,konungahus,0.453,medelklass,0.489,nation,0.611,folkel,0.607,tolket,0.578,nationallynne,0.5
2,förnuft,0.445,werk,0.57,bliiwa,0.487,disciplin,0.443,solk,0.485,folkvilja,0.593,nationallynne,0.585,befolkning,0.57,människosläkte,0.5
3,nöje,0.445,snille,0.569,nunna,0.487,plister,0.442,folkel,0.48,nationalkänsla,0.579,nationalkarakter,0.585,folkel,0.57,bondeklass,0.496
4,igenom,0.445,gäst,0.568,sjelfständig,0.486,solf,0.439,konungamakt,0.48,interess,0.572,rättsmedvetande,0.58,lolket,0.552,tolket,0.495
5,människa,0.427,lättja,0.56,fruentimmer,0.483,försakelse,0.437,fördömelse,0.478,skamfläck,0.571,sedlighetskänsla,0.579,broderfolk,0.552,lifsintresse,0.494
6,sielf,0.426,satt,0.555,anlete,0.482,krigare,0.435,nedstämma,0.474,folkombud,0.571,italienarnes,0.578,blottstält,0.547,blottstält,0.493
7,böra,0.424,farlig,0.551,ägna,0.48,undersätares,0.435,represe,0.472,oförvillad,0.57,bourbonerna,0.576,nationallynne,0.547,slödder,0.493
8,ibland,0.422,oren,0.545,solf,0.478,bjerta,0.434,herrskade,0.471,lolket,0.568,fritänkeri,0.571,landtbrukande,0.547,förrådskammare,0.492
9,hop,0.417,kostbar,0.544,elda,0.476,carakter,0.433,vidskeplig,0.471,regeringssätt,0.563,jemlikhetens,0.571,lätttrogen,0.544,trosfrände,0.49
10,alt,0.416,wista,0.543,sällssap,0.476,lagstiftare,0.432,förrädisk,0.47,oafvislig,0.562,sjelfbeskattningsrätt,0.569,nationalitetskänsla,0.543,spåkvinna,0.49
11,egen,0.412,tjänstehjon,0.542,säsvm,0.475,fotter,0.432,rangordning,0.47,loyala,0.561,samhällig,0.564,vulgus,0.542,menniskoma,0.489
12,bo,0.411,warma,0.54,wälgörande,0.475,ästädare,0.432,hilla,0.47,samverka,0.56,patriotism,0.563,naboland,0.541,menniskovärde,0.488
13,säga,0.408,lärling,0.537,yrke,0.475,blygsamhet,0.431,eftersträfva,0.469,föreningsband,0.559,folkfrihet,0.562,lolk,0.54,npplysta,0.488
