,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,utbre,0.853,metall,0.733,pitschaft,0.611,urna,0.454,förmer,0.538,sorm,0.59,sorm,0.626,ljudvåg,0.521
1,smätta,0.834,mälningar,0.72,fyrkantig,0.598,grundlagen,0.445,nyans,0.53,förmer,0.533,lorm,0.54,lorm,0.515
2,fördubbla,0.831,skina,0.715,upphöjning,0.581,exaltation,0.443,mångfald,0.495,rätvinklig,0.511,förmer,0.528,fonn,0.506
3,likhet,0.825,gull,0.713,smink,0.575,halfcirkel,0.441,materie,0.486,hopsatt,0.502,fori,0.516,sorm,0.499
4,sprida,0.824,uniform,0.713,pärla,0.574,fenomener,0.435,fenomener,0.481,konstgravyr,0.501,fonn,0.516,kornig,0.494
5,kännare,0.823,hivilket,0.705,urnyckel,0.57,ötver,0.434,obunden,0.481,delarnes,0.498,färgläggning,0.504,solinger,0.492
6,oräknelig,0.821,soppa,0.7,bröstnål,0.566,vårdslösa,0.434,heterogen,0.479,konstfull,0.495,tänjbar,0.502,afrundning,0.489
7,upmuntran,0.821,upsatte,0.696,ked,0.564,labyrint,0.433,efterbilda,0.477,färgton,0.492,jemnmått,0.498,sammangjuta,0.488
8,lapp,0.821,temperament,0.694,sammanbinda,0.564,broche,0.431,kantig,0.476,fori,0.492,renaissancen,0.486,beståndsdelarne,0.487
9,älskare,0.819,trähus,0.694,rörkäpp,0.561,ametist,0.429,skaplynne,0.476,sedelag,0.49,afrundning,0.482,renaissancen,0.486
10,allestädes,0.819,cattuns,0.69,perla,0.553,prägel,0.428,negativ,0.475,sferisk,0.488,skiftning,0.48,tillgänglighet,0.486
11,blandning,0.818,allestädes,0.688,omfatta,0.551,beståndsdel,0.427,maxim,0.474,staffage,0.486,tankedjup,0.479,natursinne,0.485
12,innefatta,0.815,obrukbar,0.687,schal,0.551,prick,0.425,beståndsdel,0.474,obestämbar,0.485,kornig,0.479,storslagenhet,0.485
13,stats,0.814,positiv,0.687,fason,0.551,bokstaf,0.425,representativ,0.473,afslöjande,0.485,utmejsla,0.477,äktenskapslagstiftning,0.483
14,orolig,0.814,deromkring,0.687,gredelin,0.55,ång,0.423,expression,0.469,gitver,0.484,ningssätt,0.477,skärhet,0.483
15,flik,0.812,klack,0.686,brokig,0.548,definition,0.423,sammanknyta,0.468,cylindrisk,0.484,smäbitar,0.475,koloristisk,0.483
16,myckna,0.812,granlaga,0.686,flint,0.548,medaljong,0.42,smidig,0.467,olikfärgad,0.481,forma,0.475,fuskverk,0.483
17,winning,0.811,sidorne,0.686,transparent,0.547,stationär,0.42,kolorit,0.466,karaktärsteckning,0.481,politur,0.474,metallbit,0.483
18,original,0.811,barometer,0.685,underbar,0.547,ursprunglig,0.418,täthet,0.465,jemnmått,0.48,skärhet,0.474,ningssätt,0.479
19,förtret,0.808,krokig,0.684,örhänge,0.547,substans,0.417,löslighet,0.464,partikel,0.476,metallbit,0.474,bygnadssättet,0.479
20,tanke,0.808,bläck,0.684,flöja,0.545,inskription,0.417,jemnföra,0.463,timbre,0.476,fuskverk,0.473,totalverkan,0.477
21,wälmening,0.808,ylle,0.682,tunnband,0.542,mångfald,0.416,plastisk,0.463,konkret,0.475,staffage,0.471,förmer,0.477
22,stränghet,0.806,handske,0.681,mälning,0.542,skefva,0.415,sammansättning,0.463,aluminium,0.474,totalbild,0.471,omvandla,0.476
23,hwarsöre,0.806,bly,0.68,sammansatt,0.542,beliofvet,0.415,chaos,0.463,grammatisk,0.474,farsartad,0.471,intvinga,0.475
24,lita,0.805,sjöfolk,0.679,kjortel,0.542,atmosfer,0.414,förblandning,0.463,frasmakeri,0.474,nedskrifven,0.47,geometrista,0.474
25,utgå,0.805,broderi,0.679,mätning,0.54,slipad,0.414,bjert,0.459,grundtanke,0.472,desza,0.47,vattenkälla,0.473
26,mas,0.805,nf,0.678,komposition,0.54,tidsanda,0.413,hvithet,0.459,pregeln,0.472,affattning,0.469,klädedräkt,0.473
27,blygd,0.804,fenster,0.676,sammet,0.54,litti,0.413,medborgareklasser,0.458,reglorna,0.472,storslagenhet,0.469,ämuen,0.473
28,otrolig,0.804,slängkappa,0.676,obrukad,0.54,kåda,0.412,styrelseform,0.458,gasart,0.472,grundåskådning,0.469,egendomsgemenskap,0.473
29,bränning,0.803,plysa,0.675,karniolsten,0.54,farwattnet,0.412,attribut,0.458,gammalnordisk,0.47,konkret,0.469,konkret,0.473
30,mennistor,0.803,bewäpnade,0.675,boett,0.54,mälning,0.411,böjlighet,0.457,prisma,0.469,blyhaltig,0.468,åverka,0.472
31,stinn,0.802,duktyg,0.675,metall,0.539,oupplöslig,0.411,organism,0.457,ingrediens,0.468,sammangjuta,0.467,cellväfnad,0.472
32,bemöta,0.802,nordlig,0.672,mälningar,0.539,siffra,0.411,ofvannämda,0.457,lergods,0.468,konstgravyr,0.467,färgsammanställning,0.471
33,förhoppning,0.802,widhängande,0.672,olikhet,0.538,negativ,0.41,andemening,0.456,nyans,0.467,allmänfattlig,0.467,växtform,0.471
34,upmärksamhet,0.801,kyla,0.672,krusig,0.537,aflång,0.41,nätthet,0.456,färgrik,0.467,intvinga,0.467,bordvin,0.471
35,indra,0.801,spruta,0.672,tast,0.536,förpligtelse,0.409,politur,0.456,oxidera,0.466,samhällsideal,0.466,nedskrifven,0.471
36,oren,0.801,golfmatta,0.671,snöre,0.536,öfwerträdelse,0.408,framställningssätt,0.455,ornering,0.465,geometrista,0.466,grundstämning,0.47
37,spel,0.801,flan,0.671,sing,0.536,tillskapa,0.408,tillskapa,0.455,struktur,0.463,kvinlighet,0.466,grundåskådning,0.47
38,iver,0.8,skärpa,0.67,philosophi,0.536,casus,0.407,prägel,0.453,poetistt,0.462,uttryck,0.465,lifsfunktion,0.47
