,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,begripa,0.814,vil,0.708,öfwertygad,0.646,indragningsmakt,0.621,fiågan,0.654,fiågan,0.653,spörsmål,0.712,spörsmål,0.649
1,uträkning,0.805,hvilket,0.704,korthet,0.633,någongång,0.581,fiåga,0.645,iråga,0.647,fiågan,0.685,fiågan,0.637
2,frägar,0.804,frägar,0.704,frägar,0.631,vederlagd,0.573,principfråga,0.628,fiåga,0.644,trågan,0.638,trågan,0.63
3,ursäkta,0.795,blifvit,0.702,vil,0.624,fiåga,0.572,rågan,0.622,grundskattefrågan,0.632,irågan,0.636,frågau,0.624
4,angär,0.794,fåken,0.681,fräga,0.616,återremittera,0.56,åtei,0.613,fräga,0.631,frägan,0.631,spörjsmål,0.608
5,bestrida,0.792,egenteligen,0.68,resultat,0.602,congressen,0.555,ekonomiutskottets,0.611,irågor,0.629,frågau,0.63,irågor,0.605
6,wäntar,0.791,obegriplig,0.68,lyckelig,0.599,tvifvelsmål,0.554,punktvis,0.61,organisationsfråga,0.625,spörjsmål,0.617,jernvägsfråga,0.604
7,omtala,0.788,tanka,0.679,högeligen,0.599,statsekonomisk,0.552,grundlagsförslag,0.607,frågau,0.619,försvarsoch,0.608,irågan,0.597
8,öfwertygad,0.785,vinna,0.673,ordspråk,0.597,öfverväga,0.551,detaljfråga,0.606,hufvudfrågan,0.616,irågor,0.602,trågor,0.595
9,fräga,0.784,strifwit,0.67,larda,0.596,oviss,0.55,ifråga,0.604,irågan,0.614,jernvägsfråga,0.597,konsulatsfrågan,0.592
10,klandra,0.783,ordspråk,0.668,catholsta,0.596,rådpläga,0.55,folkskoleväsende,0.599,frägan,0.606,trågor,0.59,härordningsfrågan,0.592
11,frägan,0.782,anfördt,0.667,fåken,0.595,tillfråga,0.548,indragningsmakt,0.598,härordningsfrågan,0.604,fiäga,0.588,iråga,0.587
12,blygas,0.78,klandra,0.667,ursäkta,0.594,engång,0.547,iråga,0.596,frager,0.599,nykterhetsfråga,0.586,fiåga,0.58
13,wärkeligen,0.779,öfwertygad,0.666,tillstyrka,0.594,åtei,0.547,tvistefråga,0.596,rågan,0.595,landförsvar,0.586,landförsvar,0.578
14,högeligen,0.779,utröna,0.663,ense,0.592,beriktiga,0.546,åsigtcr,0.592,trågan,0.595,frager,0.584,organisationsfråga,0.576
15,tara,0.778,undersökning,0.663,stadfästelse,0.592,nedsättande,0.544,skatteförenkling,0.587,skattefråga,0.591,frågaa,0.581,försvarsoch,0.568
16,tankan,0.778,lått,0.659,magnetism,0.588,invändning,0.544,petitionera,0.583,spörjsmål,0.589,konsulatsfrågan,0.581,lönefråga,0.567
17,stackars,0.777,korthet,0.658,ändå,0.588,kombination,0.544,specialitet,0.582,rättsfråga,0.588,iråga,0.578,byggnadsfråga,0.566
18,frägas,0.777,chur,0.657,likgiltig,0.587,opinionsyttring,0.544,fragan,0.582,revisionsfråga,0.588,organisationsfråga,0.574,lagstiftningsfråga,0.565
19,nyfiken,0.776,fräga,0.655,tvet,0.587,besvarande,0.543,undanskjuta,0.58,ståthållarefrågan,0.586,religionsfrihetsfråga,0.572,strejkfrågan,0.565
20,rå,0.776,saga,0.655,necker,0.586,hänskjuta,0.543,gyckelspel,0.578,skjutsfrågan,0.586,lönefråga,0.57,jernvägsfrågorna,0.564
21,förordnande,0.775,twifla,0.654,twifwelsmäl,0.585,afgörande,0.543,omnämt,0.578,luxemburgsk,0.586,helgeandsholmsfrågan,0.569,hnrnvida,0.563
22,ack,0.774,angar,0.653,philosoph,0.585,dagordning,0.543,myntsystem,0.577,principfråga,0.584,arbetarefråga,0.568,helgeandsholmsfrågan,0.563
23,anmärka,0.771,lå,0.652,fwarade,0.583,prestmöte,0.542,lagförändring,0.577,finansfråga,0.58,fiåga,0.567,frågaa,0.561
24,tvet,0.771,fwarade,0.652,likväl,0.582,önskelig,0.542,voteringarne,0.576,spörsmål,0.579,jernvägsfrågorna,0.567,juryfrågan,0.56
25,föresats,0.77,ense,0.65,weten,0.582,tvistighet,0.541,abolitionist,0.575,försvarsfråga,0.577,juryfrågan,0.566,traktatsfrågan,0.56
26,enfaldig,0.768,återkalla,0.649,alman,0.582,fragan,0.54,ovisshet,0.574,grundlagsfråga,0.576,fiågor,0.563,unionskonflikten,0.558
27,trodt,0.767,högeligen,0.648,anfördt,0.582,intervenera,0.539,representationsfråga,0.573,myntfrågan,0.575,lagstiftningsfråga,0.561,hufvudfråga,0.557
28,mening,0.765,laser,0.648,tiltror,0.581,ifråga,0.538,samhällsfråga,0.573,familjeangelägenhet,0.574,kulturfråga,0.56,hufvudfrågan,0.556
29,utmärkt,0.765,hvars,0.647,twifla,0.58,skarpsinnighet,0.537,frågorne,0.573,gäldo,0.573,härordningsfrågan,0.559,bemstälde,0.554
30,författare,0.764,äska,0.647,ffäl,0.58,omnämt,0.537,hänskjuta,0.57,organisationsförslag,0.572,teaterfråga,0.558,bankfråga,0.553
31,tanka,0.763,bedyra,0.645,sräga,0.579,förklarlig,0.537,nattbevakning,0.569,tvistepunkt,0.57,skolfråga,0.558,läroverksfrågan,0.553
