,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,hafwct,0.894,bulgarien,0.772,siebenburgen,0.723,moldau,0.635,vasallstat,0.627,moldau,0.622
1,prägtig,0.889,moldau,0.767,serbien,0.721,kronland,0.627,donaufurstendömena,0.625,donaufurstendömena,0.622
2,austerlitz,0.885,wallachiet,0.767,moldau,0.707,donaufurstendömena,0.622,bessarabien,0.615,vasallstat,0.616
3,dona,0.883,bastista,0.766,donaufurstendömena,0.704,siebenburgen,0.615,lydstat,0.61,bessarabien,0.614
4,reggio,0.881,bosnien,0.759,armékorps,0.703,rumeniens,0.612,moldau,0.609,novibazar,0.613
5,inlasta,0.881,armeer,0.759,adrianopel,0.701,vasallstat,0.611,novibazar,0.608,lydstat,0.603
6,mähren,0.88,kandia,0.758,preusien,0.7,sydtyskland,0.605,rumänien,0.601,nikita,0.601
7,afmäta,0.878,carlistista,0.756,kroatien,0.699,territoriela,0.603,wallachiet,0.599,wallachiet,0.599
8,bilbao,0.875,modlin,0.753,lithauen,0.692,slavonien,0.603,storhertigdöme,0.598,östrumilien,0.598
9,kumlinge,0.875,antägande,0.752,florida,0.69,undantagsställning,0.602,nikita,0.594,storhertigdöme,0.594
10,förswunnit,0.874,twungit,0.748,marocco,0.688,makterne,0.601,östrumilien,0.594,walachiet,0.594
11,garnizon,0.874,schumla,0.747,truppernes,0.686,hegemoni,0.598,savoyens,0.592,rumenien,0.592
12,magafiner,0.873,befälhafware,0.746,bessarabien,0.685,demarkationslinie,0.598,montenegro,0.592,montenegro,0.589
13,guadeloupe,0.873,thessalien,0.746,maynz,0.684,wallachiet,0.597,kronland,0.591,rumänien,0.588
14,territorium,0.872,puerto,0.743,engeland,0.684,kejsarstat,0.596,rumenien,0.59,savoyens,0.588
15,armce,0.872,äterwändt,0.742,protektorat,0.684,rikshälft,0.596,turkestans,0.59,bulgarien,0.587
16,oder,0.872,armven,0.741,kyrkostat,0.683,walachiet,0.595,walachiet,0.586,slavonien,0.587
17,texel,0.872,pälsta,0.739,herat,0.682,lydland,0.594,slavonien,0.586,epirus,0.586
18,upphäfwa,0.872,defensiv,0.738,debreczin,0.682,moldaus,0.593,annam,0.585,mexicos,0.584
19,liniesteppet,0.87,florida,0.738,ockupation,0.681,bessarabien,0.592,bulgarien,0.585,turkestans,0.582
20,fredsslut,0.87,venezuela,0.737,lauenburg,0.681,rhenprovinserna,0.591,khanat,0.583,annam,0.582
21,psi,0.869,dalmatien,0.736,besättande,0.678,småstat,0.59,rumeniens,0.583,venelien,0.581
22,siendtliga,0.869,medelhafwet,0.734,spanste,0.676,kroatien,0.588,venelien,0.582,serbien,0.579
23,enge,0.869,kyrkostat,0.732,batavista,0.674,skyddsherre,0.588,ockuperadt,0.579,hohenlohe,0.579
24,misslyckas,0.869,bretagne,0.732,venezuela,0.674,bulgarien,0.587,epirus,0.579,kronland,0.576
25,fördrifwer,0.869,bistä,0.731,hospodar,0.673,fästningsfyrkanten,0.586,breussen,0.578,khanat,0.576
26,gransor,0.868,afmarsch,0.729,bosnien,0.672,siebenbiirgen,0.586,serbien,0.578,ockuperadt,0.575
27,wälö,0.868,europeista,0.729,ferrara,0.672,territorium,0.585,inkorporering,0.578,servien,0.573
28,2co,0.868,massena,0.728,piemont,0.671,afträdelse,0.584,hohenlohe,0.578,bosnien,0.572
29,utrecht,0.868,hospodar,0.728,nicaragua,0.669,dalmatien,0.584,mexicos,0.578,inkorporering,0.571
30,haubitz,0.868,plock,0.728,armeerne,0.668,herzegowinas,0.583,furstedömet,0.576,grekland,0.571
31,toulouse,0.868,adrianopel,0.727,mustapha,0.667,furstedömet,0.582,gammalserbien,0.576,bukowina,0.57
32,escadern,0.867,grekiffa,0.727,serbisk,0.666,landsdelarne,0.581,karaweloff,0.575,lombardiet,0.569
33,engländare,0.867,genomtåga,0.727,ancona,0.665,införlifning,0.58,janina,0.573,nordafrika,0.569
34,kyrkostat,0.867,nedsabla,0.726,pälen,0.665,thessaliens,0.58,herzegowinas,0.572,herzegowinas,0.569
35,wanmagt,0.867,pohlsta,0.726,krigsskådeplats,0.665,regentfamilj,0.579,österrike,0.572,kärnthen,0.569
36,götting,0.866,salonichi,0.726,siebenbiirgen,0.665,daimios,0.579,maktsfer,0.572,breussen,0.568
37,granit,0.866,tenedos,0.725,donaufurstendömenas,0.665,venetien,0.579,moldaus,0.571,luxemburg,0.568
