,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ersätta,0.783,watnet,0.691,iand,0.599,glugg,0.563,äkande,0.498,sörbi,0.566,passera,0.604,lörbi,0.544
1,medan,0.77,howe,0.685,wäntade,0.599,äkande,0.537,vilse,0.495,passera,0.562,lörbi,0.564,paddla,0.539
2,geck,0.765,segelfärdig,0.677,colonnen,0.598,promenera,0.534,passera,0.492,lörbi,0.526,sörbi,0.538,grönskärs,0.536
3,ledsna,0.758,drabbning,0.663,geck,0.593,brumma,0.524,iram,0.489,solbeglänsta,0.505,skogsväg,0.529,skogsväg,0.526
4,wagnen,0.757,kryssa,0.661,omkull,0.591,bortom,0.523,styrbordssida,0.484,zigzag,0.505,trädgårdsgång,0.523,vimpelprydd,0.513
5,fästning,0.751,redd,0.66,forcera,0.59,halka,0.521,utefter,0.483,uppföre,0.501,paddla,0.519,nedåt,0.51
6,amerika,0.747,derifrån,0.659,wände,0.587,themsen,0.517,bortom,0.48,långs,0.5,grönskärs,0.517,orsasjön,0.507
7,möte,0.746,geck,0.658,drabbning,0.581,hoptals,0.516,hemåt,0.479,uppspringande,0.499,uppföre,0.509,ilrån,0.505
8,gädt,0.745,mantua,0.656,passera,0.577,tillhaka,0.515,piazza,0.476,uppför,0.499,torntrappa,0.506,gunild,0.5
9,bröllop,0.742,lyckligen,0.652,utanför,0.576,inbryta,0.514,komnio,0.475,skogsdunge,0.49,framåt,0.504,genomstryka,0.498
10,togo,0.742,återigen,0.649,nedkomma,0.574,foro,0.508,långs,0.474,gruståg,0.488,barnaröst,0.501,stäfvade,0.497
11,stepp,0.741,ryka,0.649,miste,0.573,tillfrusen,0.507,framät,0.471,framåt,0.488,väjen,0.496,gillinge,0.496
12,aila,0.741,wallachiet,0.648,räkade,0.572,tåga,0.507,kurö,0.47,halfvägs,0.485,utförsbacke,0.495,skafva,0.495
13,gingo,0.741,basel,0.646,defilera,0.572,jas,0.507,slutta,0.469,wärings,0.484,upphann,0.495,kölvatten,0.494
14,hwarigenom,0.74,portsmouth,0.645,wädret,0.572,ofarbar,0.506,plaska,0.467,törnig,0.483,stormsteg,0.493,framglidande,0.493
15,åter,0.735,kosa,0.643,förloradt,0.569,geck,0.505,åkande,0.467,bortre,0.481,bekika,0.493,skogsstig,0.493
16,fölgde,0.735,gätt,0.641,postering,0.569,afsides,0.504,framåt,0.467,rullande,0.48,tvärs,0.491,säfven,0.493
17,apa,0.734,donau,0.64,biel,0.568,vester,0.501,spårlös,0.466,hufvudgatan,0.479,obewäpnad,0.49,bergssträcka,0.492
18,tili,0.733,marche,0.64,salutera,0.565,vilse,0.501,krökning,0.464,pfund,0.478,hemåt,0.49,grönskär,0.491
19,finger,0.732,wändt,0.639,warse,0.562,svalka,0.501,skogsbryn,0.463,skogsstig,0.478,trafvande,0.49,vallpojke,0.491
20,föregående,0.732,brest,0.638,wärst,0.562,långfredag,0.5,sjöli,0.462,nalkas,0.476,flaggsmyckade,0.488,neråt,0.491
21,tilbaka,0.732,semlin,0.638,avancera,0.562,månsken,0.5,stationshus,0.462,torrskodd,0.474,vallpojke,0.484,sörbi,0.491
22,km,0.73,genua,0.637,bemästra,0.561,gångstig,0.499,brandställe,0.461,ektorp,0.474,störtvåg,0.484,gångstig,0.489
23,högst,0.73,steppet,0.637,watnet,0.561,uppåt,0.499,ousby,0.461,lunk,0.473,skogsstig,0.483,träffado,0.489
