,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,declaration,0.808,neutralitet,0.739,traktat,0.702,traktat,0.733,traktat,0.725,traktat,0.724
1,wigliga,0.808,declaration,0.733,konvention,0.685,parisfördraget,0.695,konvention,0.711,konvention,0.714
2,tractaten,0.799,stadeständ,0.726,ratifikation,0.638,konvention,0.674,handelsfördrag,0.637,handelsfördrag,0.64
3,defensiv,0.795,makterne,0.724,handelstraktat,0.637,wienertraktaten,0.658,fredsfördrag,0.629,fredsfördrag,0.63
4,päfwens,0.795,tractat,0.722,handelsfördrag,0.636,fredstraktat,0.656,parisfördraget,0.616,parisfördraget,0.625
5,palen,0.791,biläggande,0.715,fredsfördrag,0.632,stipulation,0.639,berlinfördraget,0.61,parisertraktaten,0.615
6,bäjern,0.79,texas,0.714,fredstraktat,0.617,handelsfördrag,0.638,parisertraktaten,0.608,fredstraktat,0.614
7,formligen,0.79,medlare,0.709,anslutning,0.614,handelstraktat,0.636,fredstraktat,0.605,berlinfördraget,0.613
8,mediation,0.787,tractaten,0.708,tractat,0.613,fredsfördrag,0.629,handelskonvention,0.604,handelskonvention,0.612
9,krigsförklaring,0.787,handelstraktat,0.706,wienertraktaten,0.607,londonertraktaten,0.614,londonertraktaten,0.604,londonertraktaten,0.611
10,dödsdom,0.786,bemedling,0.705,tractaten,0.606,konkordat,0.613,wienertraktaten,0.602,novembertraktaten,0.609
11,upkommit,0.784,magterne,0.705,krigsförklaring,0.604,pragerfreden,0.612,novembertraktaten,0.601,allianstraktat,0.608
12,uppmaning,0.784,traktat,0.703,ratificera,0.603,deklaration,0.612,sjöfartstraktat,0.599,wienertraktaten,0.607
13,polsta,0.782,alliance,0.703,convention,0.598,afslutna,0.612,allianstraktat,0.596,militärkonvention,0.601
14,catholsta,0.781,fueros,0.698,postkonvention,0.593,parisertraktaten,0.612,stipulation,0.593,stipulation,0.6
15,jämwal,0.781,rysiland,0.698,fredsvilkor,0.592,londonerfördraget,0.607,militärkonvention,0.591,sjöfartstraktat,0.599
16,wiensta,0.781,stridighet,0.69,marocko,0.586,wienerfördraget,0.599,afslutna,0.591,afslutna,0.594
17,anstälde,0.781,mediation,0.69,undertecknande,0.583,postkonvention,0.594,ratificera,0.584,signatärmakt,0.589
18,storhertig,0.78,konvention,0.69,adrianopel,0.583,londonerprotokollet,0.594,fredspreliminärer,0.581,fredspreliminärer,0.589
19,uttryckligen,0.779,magter,0.689,eventuel,0.582,paristraktaten,0.59,myntkonvention,0.579,ratificera,0.588
20,armöe,0.779,nystland,0.689,allians,0.581,kongressförslag,0.59,fredsslut,0.579,myntkonvention,0.585
21,voro,0.778,fredstraktat,0.688,vestmakternas,0.58,stormagterna,0.589,berlintraktaten,0.578,tractaten,0.585
22,magterna,0.776,fredsslut,0.687,defensiv,0.58,preliminärer,0.585,signatärmakt,0.574,berlintraktaten,0.583
23,wapenhwilan,0.776,ratifikation,0.685,vapenstillestånd,0.579,septemberkonventionen,0.584,handelstraktat,0.574,telegrafkonvention,0.582
24,ängland,0.776,uppgörelse,0.685,intervenera,0.575,telegrafkonvention,0.583,deklaration,0.572,postfördrag,0.582
25,statsrädet,0.776,krigförande,0.684,fredsslut,0.574,allianstraktat,0.581,tractaten,0.572,fredsslut,0.58
26,projekt,0.775,florida,0.684,stormakt,0.573,berlinfördraget,0.579,modus,0.572,gränsförhållande,0.579
27,undersäter,0.774,handelsfördrag,0.683,status,0.572,folkrätt,0.577,postfördrag,0.57,handelstraktat,0.579
28,kurfurste,0.774,krigsförklaring,0.681,afväpning,0.57,pariserfreden,0.577,pragerfreden,0.57,tulltraktat,0.578
29,laudon,0.773,undertecknande,0.679,biläggning,0.57,fredspreliminärer,0.576,tulltraktat,0.57,modus,0.576
30,strifwelse,0.773,magier,0.677,garanterat,0.568,neutralitetsförklaring,0.575,londonerfördraget,0.57,wienerfördraget,0.576
31,ratifikation,0.773,medla,0.671,declaration,0.568,riksförfattning,0.57,konkordat,0.569,pragerfreden,0.575
