,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,förtryck,0.791,romersta,0.643,sysselsätta,0.52,rekrytera,0.453,sörena,0.461,klockaresyssla,0.54,förenado,0.607,förenado,0.594
1,sielfwe,0.789,rikta,0.63,esprit,0.517,umgås,0.451,klockaresyssla,0.461,orgelnisttjensterna,0.513,sörenade,0.533,folkskolläraretjänst,0.532
2,botemedel,0.788,utrustning,0.629,makterne,0.514,framhärda,0.447,umgänges,0.453,klockarebefattning,0.511,klockaretjenst,0.514,klockaresyssla,0.518
3,fastän,0.786,armeer,0.627,mäktig,0.51,oafbrutna,0.446,införlifva,0.444,klockaresysslan,0.51,klockarebefattning,0.511,klockaresysslan,0.513
4,skatt,0.783,rusta,0.627,förwärfwat,0.505,temlig,0.446,oförtröttad,0.444,organisttjensten,0.507,förenadt,0.502,organistbefattning,0.509
5,doch,0.78,portugal,0.626,wårt,0.503,afskedstagande,0.443,ryhlands,0.442,utgilter,0.5,förenäs,0.492,orgelnisttjensterna,0.507
6,fullborda,0.777,mägtiga,0.621,mägtiga,0.501,rädighet,0.439,enhällighet,0.441,orgelnisttjensten,0.498,klockaresyssla,0.485,klockarebefattning,0.506
7,instämma,0.777,sysselsätta,0.613,exponera,0.499,berömwärda,0.437,oppositionsparti,0.437,förenado,0.496,organistoch,0.484,orgelnistbefattningen,0.503
8,förändra,0.777,mediation,0.612,alliance,0.497,fortsatt,0.436,ottomanniska,0.436,lorena,0.489,orgelnistbefattningen,0.479,organistoch,0.5
9,blygd,0.776,undersätare,0.612,pälsta,0.495,flicklighet,0.435,oldenburgska,0.436,orgelnistbefattningen,0.489,defensif,0.475,klockaretjenst,0.5
10,ersätta,0.776,marschera,0.609,interesie,0.49,texas,0.434,förbrödra,0.436,klockaretjenst,0.479,folkskolläraretjänst,0.472,sörenad,0.5
11,rang,0.774,giorde,0.609,konun,0.489,närwara,0.433,tct,0.434,orgelnistsysslan,0.477,klockaresysslan,0.471,organisttjänst,0.487
12,läte,0.774,underhandling,0.609,fäges,0.489,redeliga,0.433,betryggadt,0.431,klockaretjensterna,0.476,lorena,0.463,folkskollärarebefattning,0.482
13,utmärka,0.773,wänstap,0.609,armeer,0.488,göthiska,0.43,anfluta,0.431,organistbefattning,0.471,sörenad,0.459,orgelnistsysslan,0.477
14,föröka,0.773,twang,0.609,afwända,0.487,waksamhet,0.429,interesserade,0.43,förenäs,0.471,orgelnisttjensterna,0.458,folkskolläraretjensten,0.475
15,befinna,0.772,alliance,0.608,tyrolen,0.487,gemenstap,0.428,sammanknyta,0.429,klockaretjensten,0.469,konsulater,0.455,orgelnisttjensten,0.472
16,gerning,0.77,tapperhet,0.608,slägte,0.487,sörena,0.428,fullmägtig,0.428,förenadt,0.465,organisttjänst,0.454,klockaretjensten,0.458
17,färdighet,0.768,oenighet,0.608,kommunikation,0.487,redbarhet,0.427,inbegrepp,0.427,sörenade,0.464,orgelnistsysslan,0.452,folkskollärarebefattningen,0.457
18,ändteligen,0.768,armce,0.608,wänstap,0.486,medlare,0.427,federativ,0.427,sörena,0.455,nyskapa,0.451,klockaretjensterna,0.455
19,likasom,0.767,wanda,0.607,dämpa,0.485,ästadkommit,0.425,fostbrödralag,0.427,organisttjensterna,0.454,klockareoch,0.449,folkskolelärarebefattning,0.454
20,myndighet,0.765,alliera,0.605,rädande,0.484,armce,0.425,klockaretjensten,0.426,folkskolläraretjensten,0.451,orgelnisttjensten,0.448,klockareoch,0.453
21,angripa,0.765,beskydd,0.605,ädagalagt,0.483,synagoga,0.425,återeröfra,0.425,folkskollärarebefattning,0.449,organistbefattning,0.447,förenadt,0.451
22,fägring,0.764,fortfarande,0.605,armce,0.482,bedrifvas,0.424,maktegande,0.424,sammanflutning,0.446,förbinda,0.445,förenäs,0.449
23,förnöja,0.763,befästa,0.605,undanröja,0.482,rigtade,0.424,analog,0.424,folkskolelärarebefattning,0.441,klockaretjensterna,0.444,pastorsgöromålen,0.446
24,foster,0.762,pälsta,0.604,sachsisk,0.481,ständaktighet,0.422,okränkt,0.424,konfession,0.437,sammanknyta,0.444,skolläraretjensterna,0.443
25,förswar,0.762,eftertryck,0.604,allians,0.481,alliance,0.422,fried,0.424,ostattbara,0.434,folkskolelärarebefattning,0.443,lorena,0.438
26,undersätare,0.762,underhandla,0.603,förblifwer,0.481,öppenhet,0.422,medicinsta,0.424,sammanslå,0.434,stadsradikalerna,0.443,klockarebefattningen,0.438
27,hwarannan,0.762,offensiv,0.602,feder,0.481,innebyggare,0.422,öfwerensstämmer,0.424,sammanknyta,0.433,sörena,0.443,oslättfors,0.437
28,wanner,0.761,biständ,0.601,defensiv,0.481,välmenande,0.422,tilhörer,0.424,skollärarebefattningen,0.433,klockarebefattningen,0.437,folkskolläraretjenst,0.435
29,gif,0.761,gäfwo,0.6,förenta,0.481,dageliga,0.421,likta,0.423,förbinda,0.433,oupplösligen,0.437,oupplösligen,0.434
30,wälfärd,0.76,garantera,0.599,wänliga,0.48,tahir,0.421,aftågat,0.422,klockarebeställningen,0.432,rivalisera,0.436,skolläraretjensten,0.434
31,förfölja,0.759,twungne,0.599,produkt,0.48,genomdrifwa,0.421,tillkämpa,0.422,lörenade,0.428,lokalnät,0.436,orgelnist,0.434
32,mätt,0.759,bemedling,0.599,mediation,0.48,iordningställa,0.42,skandinawista,0.421,folkskollärarebefattningen,0.427,arbetaresamfunden,0.436,organisttjensterna,0.432
33,trodt,0.759,bedrift,0.599,georgien,0.479,mediation,0.42,grundande,0.421,upprifvande,0.426,sammanslående,0.433,tidsutdräkt,0.429
