,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,neutralitetsförklaring,0.739,debattera,0.663,vänsterförening,0.593,vänsterförening,0.618
1,lagutkast,0.738,diskuterande,0.661,cisleithanska,0.58,militärutskott,0.604
2,rågan,0.737,postfördraget,0.654,underhandla,0.575,cisleithanska,0.598
3,undanskjuta,0.729,interpellera,0.637,tvångsbillen,0.573,tvångsbillen,0.595
4,politiffa,0.726,cisleithanska,0.631,interpellera,0.57,maktförlängning,0.594
5,orientalista,0.726,gifrit,0.629,koalitionsministér,0.569,hauglands,0.593
6,bränwinsfrägan,0.725,fredsförslag,0.627,maktförlängning,0.568,sockenråd,0.592
7,westmakterne,0.724,domingos,0.616,kongressförslag,0.568,miuistéren,0.588
8,wäckts,0.724,donaufurstendömenas,0.612,miuistéren,0.567,konsulatbudgeten,0.584
9,finaneiella,0.723,omrösta,0.61,militärutskott,0.563,förtroenderåd,0.583
10,diflussion,0.721,rådslå,0.607,stéren,0.562,koalitionsministér,0.581
11,abolitionist,0.72,allianstraktat,0.606,millerand,0.557,riksdagsutskott,0.58
12,fiågan,0.72,pragfredens,0.606,nationalistisk,0.555,kristianiavalet,0.578
13,preussifla,0.719,kabinetterna,0.606,sockenråd,0.555,dagordningsförslag,0.576
14,kongrest,0.718,nordslesvigska,0.604,konferera,0.552,kongressförslag,0.576
15,prcussista,0.717,ajournering,0.602,venstergrupperna,0.552,unions,0.575
16,tillintetgörelse,0.716,författningslag,0.601,postfördraget,0.55,börsskatt,0.575
17,sammanträdande,0.715,stormagterna,0.601,mäkling,0.549,londonerkonferensen,0.575
18,angelägenheterne,0.715,skyddsmakt,0.6,hauglands,0.549,millerand,0.575
19,afgifiva,0.714,londonerkonferensen,0.599,partidag,0.548,konsulatsfrågan,0.574
20,detaljfråga,0.713,valreform,0.596,pourparlers,0.547,tullutskottet,0.573
21,grundlagsändring,0.713,handelspolitisk,0.596,militärkonvention,0.547,vensterförening,0.573
22,stvensta,0.713,amnestilag,0.596,partimöte,0.545,hänskjutande,0.573
23,afväpning,0.713,wiirzburg,0.594,börsskatt,0.543,venstergrupperna,0.572
24,donaufurstendömenas,0.712,lagstiftande,0.593,donaufurstendömenas,0.543,finanslagförslaget,0.571
25,vänning,0.71,savoyens,0.593,separatfred,0.541,postfördraget,0.571
26,preliminärer,0.709,magterna,0.592,londonerkonferensen,0.541,värnpligtsfrågan,0.57
27,upphäswande,0.709,mellanstaterna,0.592,alliansfördrag,0.541,riksrädets,0.569
28,wadliga,0.708,maktförlängning,0.59,programsak,0.539,senatsutskott,0.568
29,biläggning,0.707,pariserkongressen,0.59,vensterministér,0.539,pourparlers,0.568
30,hufwudgrunder,0.707,konstituering,0.59,författningslag,0.539,myntkonferens,0.567
31,folkting,0.705,autonom,0.589,samarbeta,0.538,massmotion,0.567
32,widhälla,0.704,kongressförslag,0.589,fredsförslag,0.538,partidag,0.567
33,afwäpning,0.704,sammankallande,0.589,vensterregering,0.538,sammankallande,0.566
34,grundrättighet,0.704,diskutera,0.588,vensterpartiet,0.537,folkethingets,0.565
35,oldenburgska,0.703,rhengränsen,0.588,landldagen,0.537,vensterpartiet,0.564
36,skeppshandel,0.702,normalbudget,0.586,myntkonferens,0.537,engelharts,0.564
37,fåvitsk,0.702,författningsfråga,0.586,riksrädets,0.537,interpellera,0.564
38,lagstift,0.702,afslutna,0.586,arbetarparti,0.536,prejudicera,0.563
39,memorandum,0.701,fiågan,0.586,förtroenderåd,0.536,författningsfråga,0.562
40,prorogation,0.701,donaufurstendömena,0.586,thing,0.535,militärkonvention,0.562
41,representanthus,0.7,förkonferens,0.586,riksdagsutskott,0.535,författningslag,0.562
42,syneö,0.7,dansktysk,0.586,dagordningsförslag,0.535,riksadvokat,0.562
43,märkwärdigare,0.7,öfwerga,0.585,tonkinfrågan,0.534,mäkling,0.562
44,utskottsbetänkande,0.7,intervenera,0.585,höiesteretsassessor,0.534,alliansfördrag,0.561
45,badiska,0.699,baierns,0.585,strarne,0.533,skiljedomstraktat,0.561
46,hivila,0.699,konfidentiel,0.584,asstäende,0.532,programsak,0.561
47,isoleradt,0.699,annexion,0.584,kristianiavalet,0.532,utskottssammanträde,0.561
48,afflaget,0.698,handelsfördrag,0.583,baccarini,0.532,thing,0.561
49,fail,0.698,lagutkast,0.582,centraleuropeisk,0.532,centraleuropeisk,0.56
50,hufvudgrunderna,0.697,heslutit,0.582,debattera,0.532,författningslagarne,0.56
51,sammankallande,0.697,konferera,0.582,representantkammare,0.532,notvexlingen,0.56
52,fueros,0.697,ministerskifte,0.581,sammankallande,0.532,vensterministér,0.56
53,äfigter,0.696,fueros,0.581,centralutskott,0.532,arbetarparti,0.559
54,algierien,0.696,atschin,0.58,värnpligtsfrågan,0.531,hänvändning,0.559
55,samhällelig,0.696,börsrykte,0.58,nordslesvigska,0.531,budgetsutskott,0.559
56,omtwistade,0.695,distuteras,0.58,unions,0.531,vensterföreningen,0.559
57,pariserkongressen,0.695,kurhessiska,0.58,senatsutskott,0.531,landldagen,0.559
58,mobilisering,0.695,mairerna,0.579,fackförbund,0.531,höiesteretsassessor,0.559
59,gränsreglering,0.694,lingarne,0.579,högerministär,0.531,flaggfråga,0.558
60,forflag,0.694,telegrafkonvention,0.578,kommunduros,0.53,förkonferens,0.558
61,holsteinsta,0.694,rådpläga,0.578,tullutskott,0.53,tilläggsbestämmelse,0.558
62,flutliga,0.694,författningslagarne,0.578,giskra,0.529,centralutskott,0.558
63,grundlagsförslag,0.693,sailsbury,0.578,telegrafkonvention,0.529,tullutskott,0.558
64,söreflä,0.693,demarkationslinie,0.577,presidentkris,0.529,nationalistisk,0.557
65,inbördeskrig,0.693,kyrkobillen,0.577,vensterförening,0.528,donaufurstendömenas,0.557
66,montenegrinsk,0.693,samhällsvigtiga,0.577,ytterlighetsman,0.528,pléner,0.557
67,enstämmighet,0.693,armélag,0.577,mellaneuropeisk,0.527,kainrarne,0.556
68,arlikel,0.693,enår,0.577,notvexlingen,0.527,fredsförslag,0.555
69,aktift,0.693,riksrädets,0.577,konsulatsfrågan,0.527,kurhessiska,0.555
70,krigsförvaltning,0.692,fredskonferens,0.576,progressistiska,0.527,nordslesvigska,0.555
71,fredsförslag,0.692,tidningsstämpeln,0.576,allain,0.527,regeringsmedlem,0.554
72,föreligga,0.691,förbundsreform,0.575,venstermajoriteten,0.526,samarbeta,0.554
73,tulllagstiftning,0.691,prinsregent,0.575,tullutskottet,0.526,telegrafkonvention,0.554
74,peelska,0.691,straffmyndighet,0.575,utrikesmi,0.526,rösträttsförslag,0.554
75,trupprörelse,0.69,irågan,0.574,öfverlagt,0.526,koalitionsministär,0.554
76,hufwudfakliga,0.69,suveränerne,0.574,högerregering,0.526,annullering,0.554
77,fyrdelning,0.69,kooperativ,0.574,moret,0.526,anslagsvägran,0.554
78,rikstag,0.69,lauenburgs,0.573,pléner,0.526,tacksägelseadresser,0.554
79,torö,0.69,lagförstag,0.573,defensif,0.526,utrikesangelägenheter,0.554
80,vigtigasle,0.689,sachsens,0.573,arbetarekomitén,0.526,arbetarekomitén,0.553
81,flutligt,0.689,folkethingets,0.573,bismarok,0.525,generalstaternas,0.553
82,bemedlingsförslag,0.689,tullparlamentet,0.573,utskottssammanträde,0.525,unionssaken,0.553
83,eventuell,0.689,återinträde,0.572,stoilov,0.525,realiter,0.552
84,punktvis,0.688,parisertraktaten,0.572,lauenburgs,0.524,budgetsutskottets,0.552
85,grundwalen,0.688,afträdelse,0.572,tacksägelseadresser,0.524,partimöte,0.552
86,trupparnes,0.687,voterad,0.572,landsmöte,0.524,underhandla,0.552
87,aktstycke,0.686,nyhlands,0.572,landbillen,0.524,unionskomitén,0.552
88,sammanjemkning,0.686,vestmagterna,0.571,neutralisation,0.524,lövland,0.552
89,oktrojera,0.686,herligdömena,0.571,unionssaken,0.524,centerförening,0.551
90,flutlig,0.686,ministerråd,0.57,mairerna,0.523,normalbudget,0.551
91,ätgärders,0.686,rösträttsfråga,0.57,herrfurth,0.523,unionsprogram,0.551
92,ifrat,0.685,förhallandet,0.57,vensterpartiets,0.523,diplomatbudgeten,0.551
93,oroligheler,0.685,elbehertigdömena,0.57,förkonferens,0.523,tonkinfrågan,0.551
94,afdanka,0.684,alabamafrågan,0.57,radoslavov,0.523,jernvägsfråga,0.551
95,afgjort,0.684,mäkling,0.57,stortingsrepresentant,0.522,stortingsrepresentant,0.551
96,osterrike,0.684,öswerläggningar,0.57,prejudicera,0.522,försvarsoch,0.551
97,unionell,0.684,kamrarnc,0.57,folkethingets,0.522,radoslavov,0.551
98,kongretz,0.684,kainrarne,0.569,konsulatbeslutet,0.522,universitetsbudgeten,0.55
99,savojen,0.684,mellanfolklig,0.569,konsulatbudgeten,0.522,undersöknings,0.55
