,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mistning,0.838,fabel,0.671,underhandling,0.611,modifikation,0.595,ändring,0.622,ändring,0.682,ändring,0.732,ändring,0.63
1,fond,0.831,utmatta,0.667,ändring,0.595,tulltaxa,0.568,modifikation,0.592,modifikation,0.621,modifikation,0.605,modifikation,0.565
2,innefatta,0.83,märkelig,0.664,orolighet,0.573,jemkning,0.554,valordning,0.585,sörändring,0.603,genomgripande,0.591,förändra,0.548
3,ewiga,0.829,sold,0.663,olikhet,0.57,förestagna,0.541,myntsystem,0.583,förbättring,0.595,sörändring,0.589,ändridgar,0.542
4,olaglig,0.828,förflag,0.663,liknelse,0.566,ändring,0.536,lagbestämmelse,0.58,jemkning,0.582,förbättring,0.589,lörändring,0.53
5,borgerlig,0.826,swärighet,0.662,förflag,0.559,indragningsmakt,0.526,partiell,0.567,dring,0.575,jemkning,0.588,jämkning,0.526
6,gagn,0.825,olyckshändelse,0.658,förberedelse,0.555,riksdagsbeslut,0.523,lagförändring,0.561,förändra,0.573,sörändringar,0.572,rubbning,0.516
7,fördubbla,0.825,intagen,0.655,epok,0.554,handelsförhållande,0.523,oktrojera,0.559,omändring,0.573,förändra,0.558,posttid,0.511
8,wärkan,0.824,magnetism,0.654,öpnande,0.549,pärs,0.523,rubbning,0.557,omarbetning,0.565,rubbning,0.555,jemkning,0.506
9,gäfwor,0.823,folck,0.652,nödwändigheten,0.548,stadgande,0.517,lönereglering,0.551,rubbning,0.563,redaktionsförändringar,0.545,omkastning,0.505
10,utöfning,0.819,ösiver,0.65,fördrag,0.547,tillgjord,0.516,hufvudgrunder,0.55,skeppsmätning,0.559,posttid,0.544,försiktighetsåtgärd,0.504
11,rang,0.819,afta,0.648,märkelig,0.546,tvistighet,0.516,förenkling,0.548,genomgripande,0.556,lörändring,0.539,genomgripande,0.504
12,anständighet,0.818,förunderlig,0.646,swärigheter,0.542,återremittera,0.515,banksystem,0.546,sörändringar,0.552,ändridgar,0.533,föränd,0.501
13,olägenhet,0.818,boston,0.646,regeringsform,0.541,utflyttning,0.513,lagstadgande,0.546,tullbestämmelse,0.546,dring,0.531,ändra,0.5
14,förbättring,0.817,hungersnöd,0.645,ofördelaktig,0.539,financiella,0.512,jemkning,0.543,grundlagsändring,0.537,personalförändring,0.528,lagändring,0.5
15,ansedt,0.815,magter,0.644,reformation,0.538,försvinnande,0.512,riddarhusordning,0.542,förtydligande,0.537,lagändring,0.526,banklagstiftning,0.497
16,besittning,0.814,swärigheter,0.644,lagstiftning,0.538,iakttagelse,0.511,besutenhet,0.541,förenkling,0.531,jämkning,0.526,inteckningsförordning,0.496
17,sielfwa,0.814,observation,0.643,verksamhet,0.538,förkastande,0.511,förändradt,0.541,bränwinslagstiftningen,0.531,omkastning,0.521,lagbeslut,0.495
18,instämma,0.814,omröra,0.641,louisiana,0.537,permanent,0.51,prolongation,0.541,grufvestadgan,0.531,ändra,0.52,tillägg,0.494
19,ändring,0.814,fordna,0.641,rustning,0.535,upphäfvande,0.509,grundlagsändring,0.541,banklagstiftning,0.524,ofullständighet,0.518,redaktionsförändringar,0.494
20,förkasta,0.813,granlaga,0.64,ken,0.535,rubbning,0.509,komministrarnes,0.539,forändring,0.523,föränd,0.517,personförändring,0.493
21,nb,0.812,anspräk,0.639,tilläggning,0.534,utsträckning,0.508,tullbestämmelse,0.539,redaktionsförändring,0.523,höjning,0.515,ofullständighet,0.493
22,orolig,0.812,gädt,0.639,påminnelse,0.534,förenkling,0.507,örslag,0.536,ministérförändring,0.516,ombildning,0.514,dring,0.493
23,dera,0.811,tilfället,0.639,relation,0.534,realisation,0.506,genomgripande,0.536,lörändring,0.516,banklagstiftning,0.513,befordringsärende,0.492
