,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,statistik,0.853,språklära,0.747,etnisk,0.695,arkeologisk,0.56,antropologisk,0.637,antropologisk,0.629
1,omarbeta,0.843,kronologisk,0.736,ordregister,0.669,lidskrift,0.559,geografista,0.567,biologisk,0.562
2,schiller,0.842,palmblad,0.732,naturvetenskaplig,0.655,naturalhistorisk,0.551,naturvetenskaplig,0.551,naturvetenskaplig,0.56
3,ekonomisk,0.836,lexikon,0.725,infläta,0.649,naturvetenskaplig,0.548,arkeologisk,0.538,geografista,0.55
4,mann,0.824,sundler,0.724,homonym,0.637,utvecklingshistoria,0.542,biologisk,0.537,arkeologisk,0.548
5,uppdaga,0.823,lexicon,0.715,philosophi,0.613,petermanns,0.54,mineralogisk,0.535,mineralogisk,0.54
6,jes,0.821,compis,0.711,språklära,0.605,antropologisk,0.54,konsthistorisk,0.523,konsthistorisk,0.534
7,lok,0.819,statistik,0.707,lexicon,0.601,nordostpassage,0.536,vetenstapliga,0.521,utforskning,0.532
8,astronomi,0.817,skandinavisk,0.706,topografi,0.598,arkeologi,0.531,ethnografisk,0.514,vetenstapliga,0.531
9,kalender,0.817,läsebok,0.703,naturlära,0.594,forskningsresa,0.53,demografi,0.511,gradmätning,0.53
10,evangelisk,0.812,upl,0.702,sjelfundervisning,0.592,ethnografisk,0.527,grafisk,0.509,ethnografisk,0.527
11,fw,0.811,grammatika,0.702,naturhistoria,0.591,mineralogisk,0.527,syntetisk,0.509,vetenskaplig,0.522
12,camp,0.809,minnesbok,0.701,läsebok,0.59,utforskande,0.527,bibliografisk,0.508,polarforskning,0.519
13,mission,0.809,tillökta,0.7,vexternas,0.589,naturhistoria,0.524,vetenskaplig,0.508,bibliografisk,0.519
14,läljes,0.808,andaktsbok,0.699,synonym,0.589,fenicisk,0.523,gradmätning,0.508,syntetisk,0.518
15,grekista,0.807,biblisk,0.698,statistik,0.589,geograf,0.523,numismatisk,0.507,naturalhistorisk,0.513
16,anekdot,0.806,naturalhistoria,0.697,trigonometri,0.586,wetenskaper,0.519,utforskning,0.507,demografi,0.513
17,wisad,0.806,naturkunnighet,0.693,geologisk,0.585,astronomisk,0.517,ornitologisk,0.506,forskningsfärd,0.51
18,faljes,0.805,theologisk,0.69,astronomi,0.585,etnisk,0.516,antropologi,0.506,numismatisk,0.509
19,förbundsdag,0.803,romantisk,0.689,mythologi,0.584,språkvetenskap,0.515,polarforskning,0.501,ornitologisk,0.509
20,mistbruk,0.802,alfabetisk,0.688,grammatik,0.584,numismatisk,0.515,filologisk,0.499,luftsegling,0.503
21,stadsbo,0.802,lagfarenhet,0.687,werldshistorien,0.583,litteraturhistorisk,0.513,geodetisk,0.494,esthetiska,0.503
22,läsebok,0.802,skolungdom,0.685,statistisk,0.578,esthetiska,0.512,geologisk,0.493,biologi,0.502
23,utweckling,0.801,stålgravyr,0.682,kyrkoår,0.578,etnografisk,0.512,luftsegling,0.492,krigsvetenskaplig,0.502
24,civilisera,0.801,grunddrag,0.682,trädsnitt,0.577,caballero,0.511,biologi,0.49,genealogisk,0.5
25,tilltagande,0.8,planche,0.68,geograf,0.577,homonym,0.51,naturhistoria,0.489,arktisk,0.5
26,olaga,0.8,universum,0.679,hjeltesaga,0.576,geografista,0.51,petermanns,0.489,antropologi,0.5
27,protokoller,0.799,utters,0.679,ordförklaring,0.574,samhällslära,0.51,naturhistorisk,0.488,militärexpedition,0.499
28,uttag,0.799,aritmetik,0.678,fornminne,0.572,statistik,0.507,topografisk,0.488,filologisk,0.497
29,mekanik,0.799,geometri,0.677,naturalhistoria,0.57,entomologisk,0.505,esthetiska,0.487,psykisk,0.496
30,mp,0.798,häftadt,0.676,teknik,0.569,fornkunskap,0.504,naturalhistorisk,0.486,religionsvetenskap,0.496
31,öfwers,0.797,välskrifning,0.676,prosaiker,0.569,krigsvetenskap,0.503,hydrografisk,0.486,kulturskildring,0.496
32,befullmäktiga,0.797,pappband,0.676,etymologisk,0.569,handelsväg,0.503,arktisk,0.486,själslifvets,0.495
33,nionde,0.795,innehaller,0.675,skriföfning,0.568,reseminne,0.503,läkarekongress,0.485,läkarekongress,0.494
34,bfwcr,0.795,astronomi,0.674,intryckt,0.567,konsthistorisk,0.503,krigsvetenskaplig,0.481,inträssant,0.493
35,konselj,0.795,wb,0.673,plankarta,0.566,konstslöjd,0.502,arkeologi,0.481,fornforskning,0.493
36,ckt,0.795,likformig,0.673,fornnordisk,0.566,fornforskning,0.502,genealogisk,0.481,kulturell,0.491
37,krigsgärd,0.795,volym,0.673,dopnamn,0.564,epokgörande,0.5,fornforskning,0.481,grafisk,0.49
