,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,sinlig,0.866,gnistra,0.735,anletsdrag,0.66,bredaxlad,0.623,skepnad,0.659,kämpagestalt,0.683
1,ostuld,0.864,skakning,0.726,hägring,0.614,muskulös,0.619,ansiktsuttryck,0.655,ansiktsuttryck,0.66
2,prata,0.858,inbillningskraft,0.725,glädtighet,0.61,kämpagestalt,0.614,kämpagestalt,0.647,magerlagd,0.657
3,ryktbarhet,0.855,anletsdrag,0.724,stönhet,0.609,sigur,0.614,magerlagd,0.64,huswnd,0.655
4,änven,0.85,materie,0.721,regnbåge,0.602,anletsdrag,0.611,kvinnogestalt,0.622,uttryckslös,0.655
5,wördar,0.845,vördnadsbjudande,0.717,gratie,0.602,lekfull,0.611,örnnäsa,0.622,framblickade,0.654
6,undran,0.845,förfära,0.717,koketteri,0.594,mörklagd,0.607,framåtböjd,0.621,kvinnogestalt,0.65
7,wänners,0.845,skymning,0.717,eftertänksam,0.594,skepnad,0.604,framblickade,0.618,tårdränkt,0.647
8,lagra,0.845,ängest,0.712,purpra,0.59,stripig,0.602,uttryckslös,0.618,skepnad,0.646
9,innersta,0.844,obeskriflig,0.711,jungfrulig,0.59,välväxt,0.602,anletsdrag,0.618,svartlockig,0.645
10,upplyft,0.843,förtorka,0.71,skonhet,0.589,ansigtsdrag,0.6,axelbred,0.617,qvinnoskepnad,0.642
11,upfyld,0.843,dåna,0.708,strälande,0.588,rödlätt,0.599,brunhyad,0.613,vaxbild,0.641
12,ihärdig,0.842,frambryta,0.707,ansigtsdrag,0.587,senfull,0.596,huswnd,0.613,flickansigte,0.64
13,allting,0.842,morgonrodnad,0.703,majestätisk,0.587,finbildad,0.595,sigur,0.613,framåtböjd,0.638
14,högmodig,0.842,oförliknelig,0.701,joller,0.585,ansigle,0.594,mejsla,0.612,ansigle,0.633
15,broderlig,0.841,rär,0.7,färgspel,0.584,teint,0.593,junonisk,0.612,månstrålarne,0.633
16,rättfärdighet,0.841,älskling,0.7,etherisk,0.583,rosenknopp,0.592,långlagd,0.611,blyfärgad,0.632
17,därar,0.84,gränslös,0.699,skepnad,0.583,kolsvart,0.592,färgskala,0.61,ögonpar,0.632
18,bödel,0.84,fantasi,0.698,smålöje,0.581,själlös,0.589,mörkögd,0.609,vignola,0.631
19,ärfara,0.838,stönhet,0.698,anlete,0.58,högväxt,0.589,ansigtsdrag,0.609,vattenblå,0.63
20,odygd,0.838,hjälte,0.697,bjertare,0.58,gulblek,0.589,skuggbild,0.608,nedlutad,0.629
21,försal,0.837,milton,0.697,återspegla,0.579,knotig,0.586,bredaxlad,0.607,rödletta,0.629
22,bemärkelse,0.837,egenkärlek,0.697,pregel,0.579,diamantsmycke,0.586,rödletta,0.605,figur,0.629
23,stätten,0.836,betänksam,0.696,klädnad,0.578,ansigtsfärgen,0.585,mörklockig,0.604,halfslutna,0.628
24,hjeltemod,0.836,tomhet,0.696,purpurröd,0.577,glanslös,0.584,olivfärgad,0.604,strålglans,0.627
25,männistan,0.836,sinnesrörelse,0.695,flöja,0.576,ansigte,0.583,teint,0.603,örnblick,0.627
26,wunnen,0.836,framskymta,0.693,förförisk,0.576,ärrig,0.582,flickansigte,0.603,olivfärgad,0.627
27,dunkel,0.836,öfverväldiga,0.691,tomhet,0.576,skonhet,0.582,svartlockig,0.602,tankfullhet,0.626
28,fotter,0.835,retlig,0.691,kolorit,0.575,blekhet,0.581,flickaktig,0.601,örnnäsa,0.626
29,härdhet,0.835,stridsman,0.69,skimmer,0.575,halfdager,0.581,stålblå,0.601,ofrånvändt,0.626
30,förgäs,0.835,förnedring,0.69,ätergaf,0.575,bildskön,0.581,kastanjebrun,0.601,uppåtvända,0.625
31,gränslös,0.835,qvinlig,0.689,fjäril,0.574,formlös,0.581,ansigtsfärgen,0.599,kastado,0.625
32,nedkalla,0.835,skämta,0.689,behagfull,0.574,gråsprängd,0.58,lockig,0.598,trubbnäsa,0.625
33,förwänande,0.834,brusa,0.688,graciös,0.573,halfslutna,0.579,ansigte,0.598,kastanjebrun,0.624
34,upriktigt,0.834,flögo,0.688,inbillningskraft,0.573,färgskiftning,0.578,ansigle,0.598,skranglig,0.624
35,anlete,0.834,speja,0.688,solstråle,0.573,symmetrisk,0.578,örnblick,0.597,blickande,0.624
36,kärlig,0.834,instucken,0.687,innerlighet,0.572,rundning,0.578,välbildad,0.596,öfverfor,0.622
37,lägorna,0.833,magnetisk,0.686,blekhet,0.572,bronsfärgad,0.577,kortklipt,0.593,mörkögd,0.621
38,sinnrik,0.833,koloss,0.686,gulblek,0.572,blickande,0.577,rundning,0.592,bliokar,0.621
39,feder,0.832,pråla,0.686,warelse,0.572,orörlighet,0.576,stepnad,0.592,stålblå,0.62
40,föraktlig,0.832,klädnad,0.685,markera,0.571,färgton,0.576,vaxbild,0.592,fönsterfördjupning,0.62
41,boch,0.832,swäfwade,0.685,ungdomlig,0.571,hopsjunken,0.575,högrest,0.592,brunhyad,0.62
42,hjälte,0.831,förgätenhet,0.684,rembrandt,0.571,ljuslätt,0.575,hvithårig,0.592,gulblek,0.62
43,snabbhet,0.831,episk,0.684,böjlig,0.57,ögonhår,0.575,qvinnofigur,0.592,långlagd,0.62
44,stridsman,0.831,fantastisk,0.684,fägring,0.57,högrest,0.575,rödlätt,0.592,aftärdt,0.619
45,werkcligen,0.831,svalg,0.684,ljussken,0.57,halfdunkel,0.574,mörkhyad,0.59,ljusreflex,0.618
46,häpnad,0.831,sammansmälta,0.683,ögonlock,0.569,tårdränkt,0.574,rökmassa,0.589,rökmassa,0.618
47,ädraga,0.83,obefläckad,0.683,utspänna,0.569,skägglös,0.574,qvinnoskepnad,0.589,emerald,0.618
48,tilfredsställelse,0.83,härförare,0.683,ansigle,0.569,ansigtsuttryck,0.574,ögonpar,0.588,ausigte,0.617
49,mpcken,0.83,jubla,0.683,älskvärdhet,0.569,välbildad,0.573,ljusreflex,0.588,vaxgul,0.617
50,känsta,0.83,stråla,0.682,tankfullhet,0.568,spenslig,0.573,spöklik,0.588,tårfylld,0.616
51,ivel,0.83,nedslagenhet,0.682,imposant,0.568,axelbred,0.571,figur,0.587,feberglänsande,0.616
52,corpsens,0.829,slummer,0.682,äsynen,0.568,aftonrodnad,0.57,qvinnogestalt,0.586,halfdunklet,0.615
53,ätankan,0.829,ansikte,0.682,stråla,0.567,rosenfärg,0.57,satyr,0.586,qvinnofigur,0.615
54,stygd,0.829,achilles,0.681,löfverk,0.566,ansigtsfärg,0.57,fysiognomi,0.586,glasartad,0.615
55,försänka,0.829,kokett,0.681,skaplynne,0.566,drömbild,0.57,spökaktig,0.585,skäggstrå,0.615
56,dikt,0.828,solsken,0.68,ungmö,0.566,kastanjebrun,0.569,strålglans,0.585,skuggbild,0.615
57,inföding,0.828,vildhet,0.68,gnistra,0.566,mustacherna,0.569,robust,0.585,mörkrot,0.615
58,lighet,0.828,töcknig,0.68,uttrycksfull,0.566,idealisk,0.568,trubbnäsa,0.584,ranchero,0.615
59,wacklande,0.827,ångest,0.68,frappera,0.566,pelskappa,0.568,senfull,0.584,afmagrade,0.614
60,maner,0.827,hårdhet,0.679,blygsamhet,0.565,gratiösa,0.567,gulblek,0.584,mejsla,0.614
61,emi,0.826,anlete,0.679,återsken,0.565,örnnäsa,0.567,ansigtsbildning,0.583,fåradt,0.613
62,förträffeliga,0.826,kupol,0.679,färgton,0.565,smäkta,0.567,återuppstå,0.583,behandskad,0.612
63,laugt,0.826,ädelhet,0.679,tjusning,0.564,undersätsig,0.567,vaxgul,0.583,handskbeklädd,0.612
64,beströ,0.826,ögonlock,0.678,smidig,0.564,landtflicka,0.566,blyfärgad,0.583,ansigtsfärgen,0.612
65,medömkan,0.826,ljusna,0.678,aftonrodnad,0.564,marmorstaty,0.566,slätkammad,0.582,spökaktig,0.612
66,republikan,0.826,inspiration,0.678,ljödo,0.564,trädstammarne,0.566,skepelse,0.581,ansigtsdrag,0.612
67,mälar,0.826,hjessa,0.678,purpur,0.563,ansikte,0.566,uppstruket,0.581,flickaktig,0.612
68,kallsinnig,0.826,förundransvärd,0.678,fantastisk,0.563,kreolska,0.566,ansiktsdrag,0.58,aftärd,0.612
69,uttränga,0.825,förborga,0.678,höstafton,0.563,strålglans,0.565,aftärdt,0.579,kortklipt,0.611
70,ästädarne,0.825,tjusning,0.677,sorgsenhet,0.563,liffull,0.565,fåradt,0.579,ansiktsdrag,0.611
71,upfylt,0.825,underjordisk,0.677,englalik,0.562,atlasklädning,0.565,mjölkhvit,0.579,ausigten,0.611
72,fäfänga,0.824,himla,0.677,vildhet,0.562,lockig,0.565,urbild,0.579,bredaxlad,0.61
73,hug,0.824,mekanism,0.677,brunett,0.562,afundsamma,0.565,drömsyn,0.579,hopsjunken,0.61
74,förnöjd,0.824,öfverlägsen,0.677,sydländsk,0.562,anlete,0.564,öfverfor,0.579,högvext,0.61
75,lef,0.824,älskvärdhet,0.677,ängest,0.562,fysiognomi,0.564,tårdränkt,0.579,munkkåpa,0.61
76,wärsta,0.824,insvepa,0.677,ögonhår,0.562,aftärd,0.564,böljande,0.578,satyr,0.609
77,pilt,0.824,sväfva,0.677,frappant,0.562,purpra,0.564,ranchero,0.577,ögoned,0.609
78,carakter,0.823,ungdomlig,0.676,dysterhet,0.561,gråhårsman,0.564,klipphåla,0.577,ljusstrimma,0.609
79,behaglighet,0.823,flöja,0.675,hjessa,0.561,öfverfor,0.564,helgongloria,0.577,buskig,0.608
80,glädjerop,0.823,karakterisera,0.675,svårmod,0.56,väderbiten,0.563,silfverhvitt,0.577,stepnad,0.608
81,kuntze,0.822,blixtra,0.675,okufliga,0.56,omtöckna,0.563,näthinna,0.577,sigur,0.608
82,uppriktighet,0.822,demon,0.675,herrlighet,0.56,groflemmad,0.563,afmagrade,0.577,brunögd,0.607
83,lanka,0.822,behaglighet,0.675,kontrastera,0.559,hufvudkläde,0.563,ausigten,0.577,färgskala,0.607
84,förborga,0.822,fladdra,0.674,naturbarn,0.558,glindra,0.563,buskig,0.576,tårfylda,0.607
85,nansin,0.822,werkcligen,0.674,dialog,0.558,blixtra,0.563,gasskenet,0.576,förgrätna,0.606
86,böd,0.821,gudinna,0.674,spenslig,0.558,morgondrägt,0.562,kvinnofigur,0.575,ansigtsbildning,0.606
87,wälgerningar,0.821,tänkare,0.673,molnfri,0.557,sommarhimmel,0.562,tankfullhet,0.575,gasskenet,0.606
88,oförsigtig,0.821,skimra,0.673,hvalfbåge,0.557,krigarn,0.562,agur,0.575,öfverkropp,0.606
89,önssan,0.821,modest,0.673,skrynkla,0.557,sofgemak,0.561,skägglös,0.575,slankig,0.605
90,upmarksamhet,0.82,ljungeld,0.673,morgonsol,0.557,hakskägg,0.561,skärhet,0.574,anletsdrag,0.605
91,werksamt,0.82,otyglad,0.673,martialisk,0.557,flönare,0.561,mörkrot,0.574,böljande,0.605
92,mvcken,0.82,österländsk,0.672,plato,0.556,plaid,0.561,fysionomi,0.573,lockig,0.605
93,mkd,0.82,bragd,0.672,nedlåtande,0.555,fée,0.561,ögonhår,0.573,brunlockig,0.605
94,förfära,0.82,högsint,0.672,konstnärn,0.555,solbränd,0.56,siratlig,0.573,blodlös,0.605
95,willigt,0.82,spritta,0.672,skapadt,0.554,aftärdt,0.56,trollstaf,0.573,axelbred,0.605
96,förtjente,0.82,gudom,0.672,sväfva,0.554,firmament,0.559,vattenblå,0.573,agurén,0.605
97,flick,0.819,ömklig,0.672,uppspira,0.554,vemodsfull,0.559,blickande,0.573,mjölkhvit,0.604
98,secler,0.819,puls,0.671,hvirfveln,0.553,ögou,0.559,stripig,0.573,kvinnofigur,0.604
99,wälmening,0.819,hvilade,0.671,tagg,0.553,rosig,0.559,muskulös,0.573,mörklockig,0.604
