,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,flädeplats,0.749,westligare,0.686,westligare,0.686
1,generalkarta,0.743,omrädena,0.681,omrädena,0.681
2,sydgräns,0.738,bälwerk,0.673,bälwerk,0.673
3,werldenö,0.738,elfwens,0.672,elfwens,0.672
4,försigtighetsätgärder,0.736,utstakande,0.668,utstakande,0.668
5,turkiflt,0.734,beherrstas,0.666,beherrstas,0.666
6,westligare,0.734,billingsbanan,0.665,billingsbanan,0.665
7,sartygen,0.731,strandremsa,0.664,strandremsa,0.664
8,öswerenskommelser,0.73,terrainen,0.66,terrainen,0.66
9,sydtyrolen,0.73,längsträckta,0.658,längsträckta,0.658
10,tessalien,0.729,riklning,0.658,riklning,0.658
11,stutte,0.729,gatulinien,0.658,gatulinien,0.658
12,militärkonvention,0.729,dalgäng,0.657,dalgäng,0.657
13,rottnen,0.727,ödebygd,0.657,ödebygd,0.657
14,fraukrike,0.727,beherrflar,0.656,beherrflar,0.656
15,böhmista,0.726,nordivestra,0.656,nordivestra,0.656
16,upprita,0.726,karö,0.656,karö,0.656
17,gränspunkt,0.725,snipebro,0.655,snipebro,0.655
18,såwal,0.725,röststala,0.654,röststala,0.654
19,södrens,0.725,angermanelfwen,0.653,angermanelfwen,0.653
20,sydtystland,0.724,stutte,0.653,stutte,0.653
21,främinande,0.724,drina,0.652,drina,0.652
22,bessarabiska,0.723,ulmed,0.652,ulmed,0.652
23,wcrkställda,0.723,armöer,0.651,armöer,0.651
24,öswergängen,0.723,främinande,0.651,främinande,0.651
25,öfwerenskommelfen,0.719,dalsänka,0.649,gabun,0.648
26,äsunden,0.719,gabun,0.648,malmfjärden,0.648
27,rumenista,0.716,fästningsanläggning,0.647,fästningsanläggning,0.647
28,nordivestra,0.716,bwila,0.647,bwila,0.647
29,jernwägsförbindelfe,0.715,landremsa,0.646,landremsa,0.646
30,öfwerbesälhafware,0.715,gränspunkt,0.645,gränspunkt,0.645
31,pästätts,0.715,gränslinie,0.645,gränslinie,0.645
32,flafhandeln,0.714,längsät,0.644,längsät,0.644
33,omrädena,0.714,kalkgrund,0.643,kalkgrund,0.643
34,europeerne,0.713,spärwidden,0.643,spärwidden,0.643
35,arfsanspräk,0.713,sidospär,0.642,sidospär,0.642
36,schleswigs,0.711,enceinten,0.641,enceinten,0.641
37,specialkarta,0.711,westerhafwet,0.641,westerhafwet,0.641
38,jernwägsnätet,0.711,förstadsgata,0.641,förstadsgata,0.641
39,autonom,0.711,vändkrets,0.641,vändkrets,0.641
40,armekären,0.711,jemförelfen,0.641,jemförelfen,0.641
41,flavista,0.71,afghansta,0.641,afghansta,0.641
42,invuxen,0.71,turkiflt,0.641,turkiflt,0.641
43,cmcllan,0.71,jernwägsspäret,0.64,jernwägsspäret,0.64
44,tillkännagiswanden,0.71,winkelrätt,0.64,winkelrätt,0.64
45,nordflesvig,0.71,jordwall,0.64,jordwall,0.64
46,neutralisation,0.709,strategista,0.64,strategista,0.64
47,jernwägslinier,0.709,czarrikets,0.639,czarrikets,0.639
48,preussens,0.708,blekingsgränsen,0.639,blekingsgränsen,0.639
49,förställande,0.708,malmfjärden,0.639,dalsänka,0.639
50,afflntat,0.708,rimö,0.639,rimö,0.639
51,riklning,0.708,anmändas,0.638,anmändas,0.638
52,wapenhwilans,0.708,jantrafloden,0.637,jantrafloden,0.637
53,adriatista,0.707,öswergängen,0.637,öswergängen,0.637
54,walkretsarne,0.707,behoswct,0.636,behoswct,0.636
55,slättmark,0.707,swängbron,0.636,swängbron,0.636
56,algierien,0.707,jernvägsspåren,0.635,jernvägsspåren,0.635
57,gränsland,0.706,wapenhwilans,0.635,wapenhwilans,0.635
58,flendtliga,0.706,jernwägsspär,0.635,jernwägsspär,0.635
59,jcrnwägens,0.706,bangärdarne,0.635,bangärdarne,0.635
60,omtwistad,0.706,militärwäsendet,0.635,militärwäsendet,0.635
61,nämnba,0.706,tanganyikasjön,0.635,tanganyikasjön,0.635
62,dclarne,0.705,drottninggatans,0.634,drottninggatans,0.634
63,truppars,0.705,genombröto,0.633,genombröto,0.633
64,prenssens,0.705,förswarets,0.633,förswarets,0.633
65,landgräns,0.705,wattcndrag,0.633,wattcndrag,0.633
66,vetenstapliga,0.705,barnstaple,0.633,barnstaple,0.633
67,twistefräga,0.705,nilstranden,0.633,nilstranden,0.633
68,statsbildning,0.704,murghab,0.632,murghab,0.632
69,flarpflytteföreningar,0.704,flädeplats,0.632,flädeplats,0.632
70,forcering,0.704,adriatista,0.632,adriatista,0.632
71,sredswilkor,0.704,öfwerswämmad,0.631,öfwerswämmad,0.631
72,förweckling,0.704,nigern,0.631,nigern,0.631
73,siän,0.703,bonduppror,0.631,bonduppror,0.631
74,angermanelfwen,0.703,malä,0.631,malä,0.631
75,utestntande,0.703,hwalswet,0.631,hwalswet,0.631
76,rumänista,0.703,flaggrund,0.631,flaggrund,0.631
77,westmaktcrna,0.703,welter,0.631,welter,0.631
78,hnswudstadens,0.703,landswägens,0.631,landswägens,0.631
79,cajazzo,0.703,assecnde,0.63,assecnde,0.63
80,jordborrning,0.703,nyäker,0.63,nyäker,0.63
81,cavriana,0.703,swängbro,0.63,swängbro,0.63
82,stamställes,0.703,skutarisjön,0.63,skutarisjön,0.63
83,asdelningarne,0.703,halsön,0.63,halsön,0.63
84,gramada,0.703,lappmarksgränsen,0.63,lappmarksgränsen,0.63
85,difluteras,0.703,kolmärden,0.63,kolmärden,0.63
86,börstig,0.702,såwal,0.63,såwal,0.63
87,elsast,0.702,fluttningen,0.63,fluttningen,0.63
88,quettah,0.702,järnugn,0.63,järnugn,0.63
89,hufwudfaken,0.702,donaumynningarne,0.629,donaumynningarne,0.629
