,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,engeland,0.786,hertiginna,0.757,wellington,0.679,wellington,0.694,nemours,0.66,montpensier,0.716,aumale,0.713,hertigön,0.617
1,fortsättning,0.771,orleans,0.75,kent,0.665,nemours,0.607,montpensier,0.638,hertiginna,0.711,aosta,0.709,härtigen,0.616
2,kejserlig,0.77,toscana,0.722,prins,0.649,orleans,0.597,prinsessa,0.631,aumale,0.689,hertiginna,0.709,arcos,0.59
3,förargelse,0.758,parma,0.701,hertiginna,0.643,kent,0.578,wellington,0.623,aosta,0.684,härtigen,0.709,aumale,0.565
4,plåga,0.757,brunswik,0.695,orleans,0.638,leuchtenberg,0.575,aumale,0.622,leuchtenberg,0.669,prins,0.707,koburg,0.563
5,geck,0.756,grefwen,0.686,artois,0.633,palmella,0.571,hertiginna,0.619,prins,0.666,chartres,0.705,chartres,0.562
6,huld,0.753,potemkin,0.683,berry,0.628,markis,0.57,leuchtenberg,0.603,coburg,0.655,coburg,0.7,avondale,0.553
7,nädiga,0.752,sachsen,0.675,wales,0.626,cumberland,0.57,prins,0.594,prinsessa,0.653,arfstorhertigen,0.673,corvo,0.546
8,usta,0.751,regera,0.661,potemkin,0.624,gemål,0.568,storhertig,0.589,chartres,0.651,montpensier,0.671,tigen,0.542
9,nalkas,0.751,prins,0.659,sachsen,0.62,oranien,0.563,gemål,0.581,enkehertiginnan,0.65,leuchtenberg,0.662,hertiginna,0.541
10,pröfning,0.751,wallis,0.658,ärke,0.617,terceira,0.557,coburg,0.579,cumberland,0.641,hertigön,0.661,lordkansleren,0.538
11,allernädigste,0.749,gemål,0.656,gemål,0.617,clarence,0.555,augustenburg,0.579,kronprins,0.638,connaught,0.656,härtig,0.538
12,framsteg,0.749,coburg,0.649,clarence,0.615,berry,0.555,berry,0.574,nemours,0.625,nemours,0.654,aosta,0.531
13,dell,0.748,neapel,0.646,regera,0.613,maximilian,0.554,nassau,0.573,amadeus,0.62,prinsessa,0.648,coburg,0.529
14,myndig,0.747,ferdinand,0.639,oranien,0.611,braunschweig,0.554,maximilian,0.571,reichstadt,0.616,storhertig,0.643,argyll,0.528
15,tänkesätt,0.747,kejsare,0.635,westphalen,0.61,hertiginna,0.552,cambridge,0.568,coimbra,0.614,nassau,0.642,broglie,0.526
16,församla,0.747,furste,0.633,ludvic,0.609,ludvic,0.55,braganza,0.568,decazes,0.614,glucksburg,0.637,enghien,0.526
17,fordom,0.747,sardinien,0.629,ferdinand,0.607,prinsessa,0.549,jerome,0.566,hertigön,0.614,marlborough,0.637,prius,0.525
18,anbud,0.746,artois,0.628,nungen,0.604,coburg,0.537,clarence,0.565,angouleme,0.613,tigen,0.635,connaught,0.524
19,giswit,0.746,kejsarinna,0.627,metternich,0.604,jnfanten,0.537,toskana,0.565,joinville,0.612,prius,0.634,palmella,0.524
20,börda,0.745,provence,0.625,wellingtons,0.602,decazes,0.533,prius,0.564,wales,0.608,sparta,0.633,königsmark,0.524
21,gädt,0.743,bayern,0.624,ärkehertig,0.6,storhertig,0.533,joinville,0.561,uppwaktad,0.608,avondale,0.633,angouleme,0.522
22,blotta,0.743,leopold,0.623,coburg,0.599,marskalk,0.531,oranien,0.558,nassan,0.607,härtig,0.633,saldanha,0.522
23,änteligen,0.742,ärkehertig,0.621,brunswik,0.594,bayern,0.529,infantinna,0.557,herligen,0.606,luiz,0.631,leuchtenberg,0.521
24,nädig,0.741,erkehertig,0.621,wallis,0.594,broglie,0.529,storfurstinna,0.555,oranien,0.605,herligen,0.631,buckingham,0.521
25,huruledes,0.74,befäl,0.62,vii,0.592,metternich,0.525,kent,0.555,arffurste,0.595,wales,0.631,nemours,0.517
26,adelsman,0.74,moreau,0.618,kronprins,0.59,apanage,0.525,palmella,0.554,koburg,0.595,koburg,0.627,montpensier,0.516
27,gren,0.738,marocco,0.618,kejsarinna,0.588,wurtemberg,0.524,braunschweig,0.554,hohenzollern,0.595,veragua,0.626,wellington,0.516
28,tanke,0.737,egenhändig,0.618,florenz,0.588,ponte,0.523,angouleme,0.553,augustenburg,0.594,meiningen,0.625,cnmberland,0.514
29,broder,0.737,tippo,0.615,erkehertig,0.584,artois,0.522,cumberland,0.553,corvo,0.594,braganza,0.62,steinau,0.512
30,twist,0.737,inrycka,0.615,kejsare,0.583,potemkin,0.522,abrantes,0.552,gliicksborg,0.594,cnmberland,0.618,ormonde,0.512
31,lyckeliga,0.737,preussen,0.612,parma,0.582,sachsen,0.522,jnfanten,0.546,glucksburg,0.593,argyll,0.618,potemkin,0.512
32,saker,0.737,gesandt,0.609,lucien,0.581,erkehertig,0.519,glucksburg,0.543,canterbury,0.593,cumberland,0.617,arnulf,0.511
33,nägonsin,0.736,bretagne,0.608,monsieur,0.58,angouleme,0.519,bayern,0.542,asturien,0.589,amadeo,0.616,orleanske,0.511
34,bestyrka,0.736,deputation,0.607,audience,0.579,ärkehertig,0.514,terceira,0.54,wellington,0.588,fife,0.615,gliicksborg,0.511
35,stöt,0.736,afsatt,0.607,wurtemberg,0.577,infant,0.513,alexandra,0.54,bassano,0.586,lorné,0.615,markgrefve,0.511
36,oförrätt,0.736,ofwerste,0.605,bertrand,0.576,nassau,0.509,orleans,0.539,prius,0.585,enkehertiginnan,0.614,arfprins,0.51
37,dref,0.736,algier,0.604,prinsessa,0.576,kejsarinna,0.509,biläger,0.537,arfprins,0.585,leiningen,0.614,guise,0.509
38,wrede,0.735,belägring,0.604,sardinien,0.574,villareal,0.508,oldenburg,0.533,tronföljare,0.58,presumtiv,0.612,fästningskommendant,0.509
39,ädelmod,0.735,engelsman,0.603,toscana,0.574,montebello,0.507,bourbon,0.532,saldanha,0.578,arfprins,0.611,jnfanten,0.508
40,thronen,0.735,sändebud,0.603,höghet,0.573,cambridge,0.506,ludvic,0.532,anhalt,0.577,angouleme,0.611,luiz,0.507
41,oförmodad,0.733,undsätta,0.603,hess,0.572,ärke,0.505,wurtemberg,0.53,hh,0.573,kronprins,0.61,dauphin,0.507
