,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,osterrikista,0.828,schleswig,0.76,holsteins,0.716,lauenburg,0.703,lauenburg,0.67,lauenburg,0.67
1,preutzen,0.817,dalmatien,0.757,lauenburg,0.655,preussen,0.659,storhertigdöme,0.624,storhertigdöme,0.624
2,georgien,0.815,baskisk,0.748,marocco,0.654,herligdömena,0.648,luxemburg,0.616,luxemburg,0.611
3,armöe,0.814,storhertigdöme,0.739,anslutning,0.65,lauenburgs,0.642,kronland,0.59,kronland,0.59
4,carthagena,0.812,oran,0.736,edsförbund,0.648,sleswig,0.635,herligdömena,0.585,herligdömena,0.585
5,mustapha,0.807,palen,0.732,slesvigs,0.647,personalunion,0.633,sleswig,0.581,sleswig,0.581
6,dalmatien,0.807,pälsta,0.732,oafhängig,0.636,kronland,0.632,savoyens,0.579,savoyens,0.579
7,farwatten,0.805,aranjuez,0.725,preusien,0.633,savoyens,0.632,lauenburgs,0.571,lauenburgs,0.571
8,grenada,0.803,mascara,0.725,sleswigs,0.632,venetien,0.632,arfföljd,0.565,arfföljd,0.565
9,bosnien,0.797,guvernement,0.722,florida,0.632,slesvig,0.625,sleswigs,0.563,sleswigs,0.563
10,wapenhwilan,0.797,murcia,0.722,furstendöme,0.629,arfföljd,0.624,kurhessen,0.562,kurhessen,0.562
11,formligen,0.796,osterrikista,0.721,piemont,0.627,holstein,0.623,schleswig,0.562,schleswig,0.562
12,marstalken,0.794,militair,0.719,schleswigs,0.625,elbehertigdömena,0.62,augustenburgaren,0.559,holstein,0.561
13,nederländerna,0.792,calabrien,0.719,etrurien,0.625,luxemburg,0.62,lothringen,0.559,augustenburgaren,0.559
14,schwaben,0.79,brunswik,0.718,lombardiet,0.622,sleswigs,0.618,holstein,0.559,lothringen,0.559
15,nederländerne,0.788,bulgarien,0.718,proclamation,0.617,slesvigs,0.614,savoyen,0.558,savoyen,0.558
