,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,aritmetik,0.851,aritmetik,0.814,geographien,0.705,språkvetenskap,0.701,språkvetenskap,0.693
1,geographien,0.835,geographien,0.804,geographi,0.694,statsvetenskap,0.679,statsvetenskap,0.674
2,arithmetik,0.819,arithmetik,0.793,språkvetenskap,0.685,geographie,0.678,geographie,0.674
3,skrifvande,0.798,sprakén,0.781,statsvetenskap,0.685,geographi,0.665,storia,0.652
4,geografi,0.798,geografi,0.773,geographie,0.681,geographien,0.652,geographi,0.648
5,sprakén,0.796,välskrifning,0.772,arithmetik,0.678,numismatik,0.642,numismatik,0.646
6,stafning,0.779,rättskrifning,0.765,kyrkolagfarenhet,0.667,storia,0.642,konsthistoria,0.634
7,talande,0.779,stafning,0.758,naturlära,0.659,konsthistoria,0.637,geographien,0.633
8,fortepianospelning,0.777,teologi,0.745,rättstafning,0.659,religionsvetenskap,0.632,arkeologi,0.632
9,läsande,0.773,grammatikalisk,0.741,linearteckning,0.658,vitterhet,0.621,religionsvetenskap,0.624
10,spräkets,0.771,fortepianospelning,0.74,lettra,0.649,arithmetik,0.621,naturkunskap,0.617
11,grammatikalisk,0.768,talande,0.737,pedagogik,0.647,kyrkolagfarenhet,0.618,naturhistoria,0.617
12,räknekonst,0.76,grammatik,0.736,correct,0.642,chemie,0.618,bibliografi,0.617
13,ffrifwer,0.755,prononciation,0.734,8venska,0.641,naturkunskap,0.618,lexicon,0.616
14,klaverspelning,0.754,klaverspelning,0.733,naturkunnighet,0.64,arkeologi,0.617,antikvitetsakademien,0.614
15,välskrifning,0.752,juridik,0.733,exegetik,0.639,antikvitetsakademien,0.617,vitterhet,0.613
16,christendom,0.744,matematik,0.732,naturalhistoria,0.637,antiqvitetsakademiens,0.616,literatnr,0.612
17,franstan,0.743,correct,0.732,lagfarenhet,0.636,literatnr,0.612,lagfarenhet,0.61
18,kyrkohistoria,0.739,franstan,0.731,theologi,0.634,statskunskap,0.611,statskunskap,0.608
19,grammatik,0.739,pianospelning,0.729,antiqvitetsakademiens,0.634,lexicon,0.611,kyrkolagfarenhet,0.607
20,bokhälleriet,0.735,lagfarenhet,0.726,aritmetik,0.634,lingvistik,0.608,antiqvitetsakademiens,0.605
21,geometri,0.734,spräkets,0.726,kalligrafi,0.633,lagfarenhet,0.607,mythologi,0.605
22,uttal,0.732,sferisk,0.719,välskrifning,0.631,literaturhistoria,0.607,literaturhistoria,0.605
23,strifwande,0.729,ffrifwer,0.718,syntax,0.631,exegetik,0.606,ungdomslitteratur,0.604
24,flriswa,0.728,skrifvande,0.718,physik,0.63,lexica,0.606,lexica,0.6
25,spräken,0.727,ffriswa,0.717,kyrkohistoria,0.628,naturhistoria,0.606,lingvistik,0.599
26,grammatika,0.724,geometri,0.715,verldshistoria,0.627,theologi,0.605,hjeltesaga,0.598
27,skriswa,0.723,trigonometri,0.714,fältmätning,0.624,nyeuropeisk,0.604,theologi,0.595
28,kristendom,0.721,modersmål,0.713,storia,0.624,bibliografi,0.604,chemie,0.595
