,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,strödd,0.829,strödd,0.75,romantisk,0.658,naturvetenskaplig,0.604,kulturhistorisk,0.628,litteraturhistorisk,0.658,litteraturhistorisk,0.646
1,öfwersättning,0.798,annaler,0.742,klassisk,0.637,tidehvarf,0.591,historifla,0.603,medeltidsroman,0.642,medeltidsroman,0.611
2,utterö,0.798,biblisk,0.733,schiller,0.63,verldshistorien,0.563,litteraturhistorisk,0.594,skönliterära,0.612,verklighetsbild,0.605
3,sälje,0.793,recension,0.722,biblisk,0.627,krönika,0.555,tidsbild,0.591,storiska,0.605,storiska,0.601
4,säljcs,0.791,lärorik,0.718,öfwersatt,0.623,infläta,0.552,kulturhistoria,0.591,konsthistorisk,0.605,konsthistorisk,0.592
5,utmalda,0.79,compis,0.718,statistik,0.62,strauss,0.549,fornnordisk,0.59,numismatik,0.601,anekdotisk,0.591
6,arbor,0.788,magnetism,0.716,bulwer,0.62,biografisk,0.547,biografisk,0.58,essay,0.6,tidsbild,0.589
7,märkwärdiga,0.785,utkast,0.714,novell,0.616,estetisk,0.545,litteraturhistoria,0.576,sedolärande,0.593,essay,0.588
8,recension,0.782,företal,0.713,historista,0.615,theologisk,0.543,historista,0.575,histo,0.586,vikingatid,0.585
9,afhandla,0.78,utters,0.709,kalender,0.612,geograf,0.538,fornkunskap,0.573,skönlitterär,0.586,kulturbild,0.582
10,utters,0.775,anekdot,0.706,geografisk,0.61,grunddrag,0.534,historist,0.567,djuptänkt,0.584,numismatik,0.574
11,register,0.772,trncket,0.701,otryckt,0.608,karakteristik,0.533,konsthistorisk,0.567,starbäcks,0.581,smådrag,0.574
12,skaldestycke,0.771,öfwersättning,0.698,vitter,0.608,dogmatisk,0.532,utvecklingshistoria,0.563,historista,0.579,ästetiska,0.572
13,fc,0.771,lärobok,0.696,philosophi,0.606,hegelska,0.53,språkforskning,0.562,belletristisk,0.578,karaktersskildring,0.571
14,förläggare,0.77,statistik,0.695,lagfarenhet,0.606,statsekonomisk,0.527,naturvetenskaplig,0.56,numismatisk,0.578,utvecklingshistoria,0.571
15,hoftidning,0.769,skaldestycke,0.695,märkwärdigaste,0.604,novell,0.525,arkeologi,0.559,tidsbild,0.576,histo,0.571
16,utförlig,0.769,utgifwit,0.695,palmblad,0.604,hufvuddragen,0.525,upprada,0.556,naturalhistorisk,0.574,naturalhistorisk,0.571
17,begynnare,0.766,grekisk,0.695,tidehvarf,0.604,författ,0.524,historiemålning,0.554,verklighetsbild,0.574,starbäcks,0.569
18,bvkläda,0.764,litteratur,0.693,sällsamhet,0.602,schiller,0.524,mytologisk,0.553,anekdotisk,0.573,världshistoria,0.568
19,complett,0.762,ideal,0.691,karakteristik,0.6,skaldestycke,0.523,naturalhistorisk,0.55,folksägen,0.571,lifsbild,0.566
20,mann,0.762,trpcket,0.69,läsvärd,0.6,sues,0.521,lefnadsteckningar,0.55,historiemålning,0.57,karaktersteckningar,0.564
21,medicin,0.762,animal,0.688,öfversätta,0.596,urkund,0.521,skizzer,0.549,historifl,0.569,skönliterära,0.564
22,boklsda,0.76,botanik,0.687,odalman,0.594,tidsbild,0.52,gudalära,0.549,kronologisk,0.569,mytologisk,0.563
23,walda,0.758,camp,0.683,omarbeta,0.594,resebeskrifning,0.518,cykel,0.549,vikingatid,0.569,vegafärden,0.563
24,ullers,0.758,ordbok,0.681,litterär,0.593,romantisk,0.518,atdelningen,0.547,utvecklingshistoria,0.567,tondiktning,0.561
25,lettra,0.758,salies,0.681,botanik,0.592,biografi,0.518,reseskildring,0.547,kulturhistorisk,0.567,kronologisk,0.561
26,lexicon,0.758,apostel,0.68,kronologisk,0.591,topografi,0.518,resebeskrifning,0.543,esthetiska,0.566,keramik,0.56
27,ärgäng,0.758,utarbeta,0.677,österländsk,0.588,pendant,0.518,ethnografisk,0.541,mytologi,0.565,literaturhistoriska,0.559
28,moralist,0.758,märkwärdigaste,0.676,skolungdom,0.587,tidehvarfvets,0.516,språkvetenskap,0.54,keramik,0.565,skönlitterär,0.558
29,porträtt,0.757,afhandling,0.676,tidehvarfvet,0.584,strödd,0.515,konsthistoria,0.54,karaktersteckningar,0.565,skaldeverk,0.558
30,troll,0.757,dagbok,0.672,ordbok,0.584,märkwärdigaste,0.515,epokgörande,0.535,romancykel,0.564,literator,0.558
31,gälda,0.755,sälics,0.672,zoologi,0.582,lagfarenhet,0.514,filologi,0.533,ethnografisk,0.563,antecknare,0.556
32,spion,0.755,uller,0.672,panorama,0.58,astronomi,0.513,episk,0.532,resebeskrifning,0.563,kulturperiod,0.555
33,utkast,0.753,geografisk,0.671,öfversigt,0.579,skönlitteratur,0.512,bibelupplaga,0.532,skaldeverk,0.563,skaldskap,0.555
34,trvcket,0.752,jes,0.671,compis,0.579,geografisk,0.511,samhällslära,0.531,lemekes,0.562,diktalster,0.555
