,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,nndersåter,0.743,förbundsvän,0.72
1,förbundsvän,0.737,nndersåter,0.715
2,statsöfverhufvud,0.713,dömet,0.704
3,föresväfvar,0.711,föresväfvar,0.697
4,madridska,0.705,återförsätta,0.692
5,tsarrikets,0.703,aztek,0.688
6,författningsstrid,0.703,piemontesiska,0.687
7,käjsardömet,0.697,madridska,0.686
8,frihandlande,0.695,språkförbistring,0.683
9,dömet,0.695,författningsstrid,0.683
10,återförsätta,0.694,lydland,0.682
11,aztek,0.694,frihandlande,0.68
12,lydland,0.692,torlonia,0.68
13,fricorps,0.691,käjsare,0.68
14,stamfrände,0.688,eröfringslystna,0.679
15,minisleren,0.687,houssaye,0.678
16,språkförbistring,0.687,statsöfverhufvud,0.677
17,eenare,0.686,mägtigaste,0.675
18,houssaye,0.686,menniskoverk,0.675
19,krigsföretag,0.685,kolonisationsplan,0.675
20,lierskare,0.684,lierskare,0.674
21,kojsaren,0.684,käjsardömet,0.674
22,protes,0.684,ärekrönt,0.674
23,fredsförsäkringar,0.683,enhetsstat,0.674
24,borgarrätt,0.683,bonlangers,0.673
25,vestafrika,0.681,despoti,0.673
26,återuppståndelse,0.681,yfverborna,0.671
27,regeringstillträde,0.681,folkkarakteren,0.67
28,mägtigaste,0.68,beherskare,0.67
29,torlonia,0.68,idée,0.669
30,ministérförändringen,0.68,loyala,0.669
31,turkomanerne,0.68,stamfrände,0.668
32,ruriks,0.679,återuppståndelse,0.668
33,ärekrönt,0.679,inkarnera,0.667
34,vandringsår,0.678,ruriks,0.667
35,tygelse,0.678,fricorps,0.666
36,guldskrift,0.678,härmassorna,0.665
37,käjsare,0.677,naturfolk,0.665
38,öfverherrskap,0.677,stormaktstid,0.665
39,intressesferer,0.677,vicekung,0.665
40,lefnadshändelser,0.677,fredsförsäkringar,0.664
41,kärleksrus,0.677,tsarrikets,0.664
42,battenbergaren,0.676,regeringstillträde,0.664
43,usurpatör,0.676,lydstat,0.663
44,kolonisationsplan,0.675,svenskame,0.662
45,trehundraårig,0.675,myndighetsförklaring,0.662
46,segor,0.674,sammanslut,0.662
47,enhetsstat,0.674,verldsvälde,0.662
48,härmassorna,0.674,hohenzollernska,0.661
49,våckt,0.674,älsklingsbarn,0.661
50,yfverborna,0.673,kaldeiska,0.661
51,naturskådespel,0.673,opportunism,0.66
52,torierna,0.673,skiftevis,0.66
53,menniskoverk,0.673,nationalära,0.66
54,historieskrifning,0.673,protes,0.659
55,misére,0.672,dådkraftig,0.658
56,myndighetsförklaring,0.672,krigsföretag,0.658
57,elsasslothringen,0.672,afkomlingarne,0.657
58,riddarslag,0.672,guldskrift,0.657
59,pyrrhusseger,0.672,pyrrhusseger,0.657
60,maktinnehafvarne,0.671,kärleksrus,0.656
61,detn,0.671,veneration,0.656
62,skyddsherre,0.671,koburgska,0.656
63,frälsat,0.671,konungsk,0.655
64,nationalära,0.671,frälsat,0.655
65,kardinalkollegiet,0.671,jämnmod,0.655
66,ådagalaggt,0.671,förtryckande,0.654
67,hänsvunnen,0.671,kardinalkollegiet,0.654
68,idée,0.671,skrefve,0.654
69,kanaris,0.67,öfverherrskap,0.654
70,omkväde,0.67,oligarki,0.654
71,älsklingsbarn,0.67,arséne,0.653
72,påfveval,0.669,usurpatör,0.653
73,fortlefvat,0.669,ibsenska,0.653
74,vensterbladen,0.669,långmodighet,0.653
75,skenlif,0.669,polynesisk,0.653
76,bonlangers,0.669,vandringsår,0.653
77,aktuel,0.669,mene,0.652
78,panamaaffären,0.669,kojsaren,0.652
79,frihets,0.669,kröningsstad,0.652
80,lydstat,0.668,bourboner,0.652
81,camorra,0.668,kommunduros,0.652
82,dådkraftig,0.668,bourbonske,0.651
83,krisis,0.668,pax,0.651
84,koburgska,0.668,skyddsherre,0.651
85,folkkarakteren,0.668,hänsvunnen,0.651
86,abolitionist,0.667,århun,0.651
87,minno,0.667,rättssystem,0.651
88,entrevuen,0.667,beherrskare,0.65
89,äfventyrsälskande,0.667,moderloge,0.65
90,vanslägtade,0.667,statsenhet,0.65
91,missbilliga,0.667,utvecklingslag,0.65
92,weyler,0.666,vasantasena,0.649
93,utvecklingslag,0.666,jehova,0.649
94,piemontesiska,0.666,verldshistoriens,0.649
95,fredsstiftare,0.666,fredsstiftare,0.649
96,lend,0.666,skenlif,0.648
97,fruntimmerskarl,0.666,sjelfmedvetet,0.648
98,despoti,0.666,omkväde,0.648
99,skandalprocess,0.665,savoyska,0.648
