,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,bergsexamen,0.774,mesopotamisk,0.616,gudstjänstordning,0.608
1,utstänkningsställe,0.766,gudstjänstordning,0.608,esthetiska,0.603
2,sjösänkningsföretag,0.761,esthetiska,0.603,mesopotamisk,0.601
3,stadsbokhållarekontoret,0.761,skarpskytteföreningarnes,0.597,skarpskytteföreningarnes,0.597
4,wefteräs,0.761,grundbegrepp,0.589,grundbegrepp,0.589
5,bevillningsafgifter,0.758,täflingskamp,0.587,sammangjutning,0.587
6,hypo,0.756,sammangjutning,0.587,osmanista,0.585
7,utgifres,0.755,osmanista,0.585,logarithmer,0.583
8,corinne,0.753,logarithmer,0.583,hufvudspråk,0.581
9,imina,0.753,hufvudspråk,0.581,hastighets,0.577
10,platsarne,0.751,mansbörda,0.579,gladstoneanska,0.576
11,hmardera,0.751,hastighets,0.577,diskussionsöfningar,0.576
12,läskabinettet,0.75,gladstoneanska,0.576,nations,0.576
13,femsjö,0.75,diskussionsöfningar,0.576,bibelkritik,0.576
14,varmbadinrättning,0.748,nations,0.576,starpstytteföreningar,0.575
15,esplunda,0.748,bibelkritik,0.576,skolastisk,0.574
16,standinavistt,0.748,starpstytteföreningar,0.575,enhetsstat,0.574
17,kommunionförhör,0.748,skolastisk,0.574,cirkulationsmedel,0.573
18,presträttigheter,0.746,enhetsstat,0.574,pariserkommunens,0.573
19,oröd,0.746,naturfärg,0.573,rättsstat,0.573
20,auktione,0.746,cirkulationsmedel,0.573,hästdressur,0.573
21,horf,0.745,pariserkommunens,0.573,tamul,0.572
22,sängfesten,0.743,rättsstat,0.573,subkutan,0.571
23,fredagö,0.743,hästdressur,0.573,beherrflar,0.571
24,e3,0.742,tamul,0.572,amerikanistkongressen,0.571
25,westerbyholm,0.742,tister,0.572,sängsörening,0.57
26,söekendagar,0.742,subkutan,0.571,försoningsfest,0.57
27,fädd,0.741,beherrflar,0.571,suggestiv,0.57
28,räkenskapernes,0.741,amerikanistkongressen,0.571,werldsdelarne,0.569
29,mjölkprofvare,0.74,sängsörening,0.57,flolmötet,0.569
30,badhusaktiebolag,0.74,försoningsfest,0.57,likstäldes,0.568
31,utrvmme,0.74,suggestiv,0.57,sexuell,0.568
32,läfeär,0.74,werldsdelarne,0.569,bapaume,0.568
33,diminutiv,0.739,flolmötet,0.569,nutvarande,0.568
34,lånenummer,0.739,likstäldes,0.568,sosiala,0.567
35,disknssionen,0.739,bapaume,0.568,uttveckling,0.567
36,prisstjutning,0.738,nutvarande,0.568,pråmkarl,0.567
37,erinraö,0.738,arbetarelagstiftningen,0.568,faucigny,0.567
38,anktione,0.738,sosiala,0.567,ntveckling,0.567
39,ferrieres,0.738,uttveckling,0.567,hirarje,0.567
40,aflenmas,0.738,pråmkarl,0.567,fornromersk,0.567
41,onödag,0.738,faucigny,0.567,bibliolhek,0.566
42,förrät,0.737,ntveckling,0.567,evange,0.566
43,rewisionsberättelsen,0.737,hirarje,0.567,seum,0.565
44,bliflver,0.736,handelshistoria,0.567,olivos,0.565
45,sörsrägningar,0.736,fornromersk,0.567,grundrättighet,0.564
46,molion,0.736,bibliolhek,0.566,undervisningssystem,0.564
47,medleminarne,0.735,evange,0.566,törmer,0.564
48,bylik,0.735,seum,0.565,soareer,0.563
49,emelan,0.735,hälgd,0.565,omrädct,0.563
50,stadskasfan,0.735,olivos,0.565,santalermissionen,0.563
51,sramlagdt,0.735,grundrättighet,0.564,samhällsvigtiga,0.563
52,witta,0.735,undervisningssystem,0.564,rederiförening,0.562
53,katekismiförhör,0.735,törmer,0.564,wilhelmstrasse,0.562
54,kommnnalstämma,0.735,samhörighetskänsla,0.564,telefoni,0.562
55,skogsmedel,0.734,soareer,0.563,lineär,0.562
56,mihledande,0.734,omrädct,0.563,öfwerstgt,0.562
57,länv,0.734,santalermissionen,0.563,panbion,0.561
58,embetsbefattning,0.734,samhällsvigtiga,0.563,masss,0.561
59,komitsn,0.734,wilhelmstrasse,0.562,iget,0.561
60,landskapsteckning,0.734,telefoni,0.562,arbetarelagstiftningen,0.561
61,nnderhälles,0.733,lineär,0.562,magneta,0.56
62,görelsen,0.733,vetenska,0.562,grundtvigska,0.56
63,täckdikningsarbete,0.733,öfwerstgt,0.562,läkarekongress,0.56
64,grundbegrepp,0.733,panbion,0.561,forstningen,0.56
65,kommunaluppbörd,0.733,provinsiell,0.561,thefest,0.56
66,utdelningsförflaget,0.733,masss,0.561,sjelflva,0.56
67,asgängsdagen,0.732,magneta,0.56,cormon,0.559
68,manifestera,0.732,grundtvigska,0.56,kyrksång,0.559
69,flogsfrö,0.732,läkarekongress,0.56,genomlysa,0.559
70,riksdage,0.732,forstningen,0.56,uplysningen,0.559
71,sastighetsegare,0.732,thefest,0.56,grundlaglig,0.559
72,helgina,0.732,sjelflva,0.56,rösträttsförhållandena,0.559
73,1569,0.732,cormon,0.559,hippologisk,0.559
74,inbetaldta,0.732,kyrksång,0.559,phidias,0.559
75,bestntet,0.731,genomlysa,0.559,evangeliskluthersk,0.559
76,peras,0.731,uplysningen,0.559,tankeriktning,0.559
77,walsedlarne,0.731,grundlaglig,0.559,associationsanda,0.558
78,cordiale,0.731,sexuell,0.559,qivinnans,0.558
79,tullkamrarne,0.731,hippologisk,0.559,arsexamen,0.558
80,krigsräd,0.731,phidias,0.559,handelshistoria,0.558
81,korsbandsporto,0.731,evangeliskluthersk,0.559,upfinning,0.558
82,kronouppbördsstämma,0.731,tankeriktning,0.559,biologi,0.558
83,rkan,0.73,associationsanda,0.558,täflingskamp,0.558
84,sakförarebyrå,0.73,qivinnans,0.558,kommunalfrihet,0.558
85,broställe,0.73,arsexamen,0.558,reformationsfest,0.557
86,fattigförsörjningsstyrelsen,0.73,upfinning,0.558,sockerämne,0.557
87,meblem,0.73,biologi,0.558,personalförteckning,0.557
88,maillard,0.73,kommunalfrihet,0.558,handelskretsar,0.557
89,afiäta,0.73,reformationsfest,0.557,reglementering,0.557
90,visitationsrätt,0.73,sockerämne,0.557,zacatecas,0.557
91,krigslagstiftning,0.729,personalförteckning,0.557,philosophiska,0.556
92,stadsarkiv,0.729,handelskretsar,0.557,byräkrati,0.556
93,telegrafexpedition,0.729,reglementering,0.557,lokalförsamling,0.556
94,bwilke,0.729,zacatecas,0.557,olyckelige,0.556
95,utsmidning,0.729,philosophiska,0.556,folkmål,0.556
96,fistförflutna,0.729,byräkrati,0.556,krigslagfarenhet,0.556
97,friw,0.729,lokalförsamling,0.556,yck,0.556
98,pils,0.729,olyckelige,0.556,kraga,0.556
99,riksdagskorrespondent,0.729,folkmål,0.556,helfowärd,0.556
