,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,innevånare,0.637,innevånare,0.666,innevånare,0.713,innevånare,0.728,innevånare,0.652
1,baskisk,0.583,förstädernes,0.527,innevånarne,0.572,inwänare,0.613,inbyggare,0.631
2,krigsmakt,0.582,innevånarne,0.523,inwänare,0.568,inbyggare,0.586,innebyggare,0.599
3,kyrkostat,0.58,inwänare,0.52,vånare,0.537,inwånare,0.582,inwänare,0.589
4,inbyggare,0.577,inwanare,0.514,befolkning,0.536,qvadratkilometer,0.56,inwånare,0.575
5,underhafvande,0.577,fredsfot,0.506,valman,0.532,innebyggare,0.541,invänare,0.499
6,indus,0.574,näringsidkande,0.505,innewänare,0.529,befolkning,0.539,qvadratkilometer,0.499
7,landels,0.57,jordbrukande,0.503,modlemmar,0.523,invänare,0.532,landsrepresentant,0.496
8,innevånarne,0.569,inbyggare,0.501,innewånare,0.515,vånare,0.524,invänarne,0.496
9,befolkning,0.566,landtfolket,0.499,inbyggare,0.513,invånareantal,0.522,befolkningssiffra,0.495
10,förvirring,0.565,valman,0.497,välsinnad,0.507,qvadratmil,0.519,innewänare,0.492
11,herrskade,0.564,arbetslös,0.496,egendomsegarne,0.506,omgifuingar,0.519,kyrkoskrifna,0.49
12,mägtiga,0.561,utvandra,0.494,brandskatta,0.502,befolkningssiffra,0.516,rösträttslös,0.488
13,återkallande,0.554,znnewänare,0.489,inwånare,0.502,innewänare,0.505,intal,0.483
14,genomtåga,0.553,medborgarne,0.484,moskwas,0.5,röstberätti,0.504,qvadratmil,0.479
15,skräck,0.553,landtvärn,0.483,warschaus,0.5,invånarantal,0.503,kvadratkilometer,0.478
16,berömvärd,0.552,utrecht,0.48,förstädernes,0.497,sjelfmördare,0.501,brukningsdel,0.477
17,inqvartera,0.548,befolkning,0.479,museimanska,0.497,kyrkoskrifna,0.501,krigskontribution,0.476
18,sedeförderf,0.546,reformsällskaper,0.475,bulgarerne,0.497,röstbe,0.499,invånareantal,0.476
19,folkrik,0.546,verldshandeln,0.475,industriidkande,0.492,invånareantalet,0.497,själfegande,0.475
20,äfvenså,0.546,classer,0.474,valdistrikter,0.489,innevånarne,0.496,monniskor,0.475
21,handelsplats,0.545,insågo,0.474,inwanare,0.488,kvadratkilometer,0.493,trångbodd,0.475
22,guerilla,0.544,öfverhufvudtaget,0.473,innebyggarne,0.485,krigskontribution,0.487,invånarns,0.474
23,kolonisation,0.544,municipalråd,0.471,innebyggare,0.483,sydrysk,0.486,inbyggarne,0.472
24,flyktingarne,0.543,röstberättigad,0.471,inbyggarne,0.482,landsrepresentant,0.485,befolkadt,0.471
25,insurgera,0.543,igare,0.471,burskapsegande,0.48,colou,0.484,bebyggare,0.469
26,handelsflotta,0.541,hufvudstad,0.47,bevistadt,0.479,invånarns,0.479,vånare,0.468
27,tillvext,0.541,tillvext,0.469,valberättigad,0.476,landtbefolkningen,0.478,myndighetsperson,0.468
28,enthusiasm,0.541,distrikter,0.469,insamlare,0.475,mantalsskrifna,0.478,småfoglar,0.466
29,booo,0.541,förstäderne,0.468,stadsfullmäktigo,0.474,folkmängd,0.477,åskådareskara,0.466
30,beduinerne,0.541,ståder,0.468,hemvändande,0.473,rösträttslös,0.474,negerbefolkning,0.466
31,partigängare,0.54,aflägsnare,0.467,hvarinom,0.469,saida,0.472,gillestuga,0.466
32,röfvare,0.54,närgränsande,0.467,rättigade,0.469,trångbodd,0.472,folkskoledistrikt,0.465
33,ledo,0.54,röstägande,0.467,åkerbrukande,0.468,stadsbefolkning,0.471,dalabygden,0.465
34,ziirich,0.539,skjutsskyldige,0.466,vapenför,0.466,basilicata,0.471,stadsinvånare,0.465
35,ulom,0.539,territorial,0.465,öfverpresidenten,0.466,brukningsdel,0.47,röstbe,0.465
36,utvandra,0.538,ulgör,0.464,helsado,0.465,myndighetsperson,0.47,befolkning,0.464
37,gäsning,0.537,baskisk,0.464,militärkompani,0.464,dödsprocent,0.469,hällsklass,0.463
38,aflägsnare,0.536,indianerne,0.463,kommunalråd,0.463,innebyggarne,0.469,industricentrum,0.463
39,preutzen,0.536,fanatisera,0.463,krigskontribution,0.463,innemot,0.468,innemot,0.461
40,kabul,0.536,kontribution,0.463,kasanlik,0.463,intal,0.464,sydrysk,0.461
41,innerlighet,0.535,algirien,0.462,punktör,0.462,dödlighet,0.463,skogskapital,0.46
42,inflytelserik,0.534,skeppsrederi,0.461,warsehau,0.461,inbyggarne,0.463,landthandlarne,0.46
43,modfälld,0.534,inneivänare,0.461,trångbodd,0.461,befolkadt,0.462,invånarantal,0.46
44,galata,0.534,ferrara,0.46,ferner,0.461,kolgrufvearbetare,0.462,muhamedanske,0.459
45,indianerne,0.534,hulvudstaden,0.46,tidningsutgifvare,0.46,qvadratmilen,0.462,qvadratmilen,0.459
46,valman,0.533,hvilorum,0.46,getor,0.46,fastighetsvärde,0.461,röstberätti,0.458
47,förhållanderne,0.533,guvernement,0.46,utväljande,0.459,ducati,0.46,omgifuingar,0.457
48,hellen,0.533,finmark,0.46,begrofvos,0.458,monniskor,0.459,militäreskort,0.457
49,hyfsa,0.532,limburg,0.46,jorna,0.458,småfoglar,0.459,plundrare,0.456
50,uppvigla,0.532,342,0.458,klereciet,0.458,invänarne,0.458,svenskamerikan,0.456
