,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ästundade,0.928,liswet,0.787,tractaten,0.77,pachan,0.743,tilkomma,0.701,jemförelse,0.559,jemförelse,0.771,jemförelse,0.745
1,oförmodad,0.925,protestant,0.784,förbittring,0.762,attentat,0.733,jemvigten,0.697,likliet,0.557,jämföra,0.529,jemtörelse,0.547
2,sem,0.925,öpnat,0.775,mediation,0.757,straffbestämmelse,0.733,lagstiftningsåtgärd,0.693,varuartiklarne,0.548,jemnförelse,0.521,siflror,0.52
3,medfölja,0.924,flutad,0.775,slägte,0.756,vakant,0.724,möra,0.692,analogi,0.537,jemföra,0.515,jämföra,0.513
4,luta,0.923,slägte,0.771,fördrag,0.756,åtskillnad,0.724,fyrdelning,0.691,femårsperiod,0.532,jemtörelse,0.51,jemnförelse,0.51
5,nod,0.922,wigtigaste,0.771,wigliga,0.754,stilnad,0.724,hitintils,0.689,solfläck,0.527,likliet,0.5,disproportion,0.503
6,innehall,0.922,boch,0.77,boch,0.754,brytning,0.723,grundande,0.687,regementsförändring,0.524,siflror,0.486,befolkningsstatistik,0.501
7,gynna,0.922,stål,0.768,samband,0.752,återbringa,0.721,tilfället,0.687,tidsperiod,0.524,olikhet,0.481,handelsstatistik,0.499
8,anmodan,0.921,stilnad,0.766,stilnad,0.751,jemnvigt,0.719,bränvinsbränningens,0.686,jemfördt,0.524,handelsomsättning,0.478,rättsuppfattning,0.499
9,hafwcr,0.919,inwärtes,0.766,tradition,0.748,slitning,0.719,näringstvång,0.686,karteverk,0.521,förelse,0.474,befolkningsförhållande,0.498
10,framsteg,0.919,gudlös,0.766,bibehällande,0.748,afbidan,0.718,pärs,0.685,forhållande,0.518,karteverk,0.472,karteverk,0.497
11,förmärka,0.919,träldom,0.766,tillställning,0.744,upkommit,0.718,möjeligit,0.684,fiskfångst,0.517,likhet,0.472,skördeår,0.497
12,namne,0.918,granstning,0.765,oenighet,0.743,underslef,0.717,enstämmighet,0.684,kapitalbehållning,0.517,kommunikationsväg,0.472,kommunikationslinje,0.495
