,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,jemima,0.877,återupprättelse,0.733,återupprättelse,0.738
1,martyrkrona,0.877,obskurantism,0.724,obskurantism,0.724
2,professorsstol,0.876,menniskorätt,0.72,menniskorätt,0.72
3,penningfråga,0.876,jemlikhet,0.719,jemlikhet,0.719
4,vidgöra,0.874,jemlikheten,0.718,jemlikheten,0.718
5,tiggarunge,0.874,människovärde,0.714,människovärde,0.714
6,lefnadsregel,0.872,folkmakt,0.71,folkmakt,0.71
7,förebygt,0.871,trosfrihet,0.708,trosfrihet,0.708
8,tålte,0.87,samhällighet,0.708,samhällighet,0.708
9,iefde,0.87,individualism,0.708,individualism,0.708
10,timid,0.869,själfviskhet,0.707,själfviskhet,0.707
11,hedersnamn,0.868,jemlikhetens,0.707,jemlikhetens,0.707
12,påfvemakten,0.867,samvetsfrihet,0.706,likaberättigande,0.705
13,advokatur,0.866,statsenhet,0.704,tankefrihet,0.705
14,malsman,0.866,statsborgerlig,0.702,statsenhet,0.704
15,julstök,0.866,jemnlikhet,0.702,statsborgerlig,0.702
16,mystifiera,0.866,förbrödra,0.701,folksuveränitet,0.702
17,afundsmän,0.865,tankefrihet,0.7,jemnlikhet,0.702
18,htet,0.864,despoti,0.699,förbrödra,0.701
19,frage,0.864,andens,0.699,despoti,0.699
20,fortfora,0.864,hjerlan,0.699,andens,0.699
21,sjelfviskheten,0.863,samhällsfrid,0.697,hjerlan,0.699
22,goldet,0.863,statsordning,0.697,samhällsfrid,0.697
23,bondregemente,0.863,grundvilkor,0.697,statsordning,0.697
24,öswergiswen,0.863,samvetstvång,0.697,grundvilkor,0.697
25,krafler,0.862,broderlighet,0.697,samvetstvång,0.697
26,godwin,0.862,samhällig,0.696,samhällig,0.696
27,läkarebildning,0.862,sjelfbestämmelserätt,0.696,sjelfbestämmelserätt,0.696
28,förfinadt,0.862,värnande,0.695,rättssystem,0.694
29,soulagera,0.862,gudstro,0.694,broderskap,0.693
30,lifaktigheten,0.861,rättssystem,0.694,lagbundenhet,0.693
31,drefve,0.861,folksuveränitet,0.694,statssamhälle,0.692
32,känua,0.861,broderskap,0.693,sjelfbestånd,0.691
33,wnxen,0.861,lagbundenhet,0.693,lifsfrågor,0.691
34,missförstådt,0.86,likaberättigande,0.693,sjelfbeskattningsrätt,0.691
35,oomtvistlig,0.86,statssamhälle,0.692,tankans,0.691
36,stallbetjening,0.86,sjelfbestånd,0.691,humanism,0.69
37,knnskap,0.86,lifsfrågor,0.691,grundåskådning,0.69
38,belacka,0.859,sjelfbeskattningsrätt,0.691,liffullt,0.689
39,biddy,0.859,tankans,0.691,verldsordning,0.688
40,hisna,0.859,humanism,0.69,samvetsfrihet,0.687
41,konsistorial,0.858,grundåskådning,0.69,statslifvets,0.687
42,öfverflödsartikel,0.858,liffullt,0.689,folkvälde,0.687
43,bortdragande,0.858,verldsordning,0.688,broderlighet,0.686
44,invånareantal,0.858,statslifvets,0.687,frihetsidé,0.686
45,frygt,0.858,folkvälde,0.687,gudstro,0.686
46,prote,0.858,frihetsidé,0.686,samhörighetskänsla,0.685
47,försagdhet,0.857,återförsätta,0.685,återförsätta,0.685
48,qa,0.857,vesterlandet,0.684,fribet,0.683
49,8er,0.857,fribet,0.683,partikularism,0.683
50,nyevangelisk,0.857,partikularism,0.683,palladium,0.683
51,tourville,0.857,palladium,0.683,nationalära,0.682
52,flngo,0.857,nationalära,0.682,samhällsinstitution,0.682
53,förstådt,0.857,samhällslifvets,0.682,vesterlandet,0.682
54,högtids,0.856,nationalanda,0.68,värnande,0.681
55,liändt,0.856,envåldsmakt,0.679,nationalanda,0.68
56,förljent,0.855,statslifvet,0.679,envåldsmakt,0.679
57,skrymtaktig,0.855,förvärkliga,0.679,statslifvet,0.679
58,utprägla,0.855,samkänsla,0.679,förkofring,0.679
59,beståmma,0.855,sosiala,0.679,förvärkliga,0.679
60,senapskorn,0.855,lyckliggörande,0.678,samkänsla,0.679
61,becksvart,0.855,nationalitetsprincip,0.678,sosiala,0.679
62,bourbonistiska,0.855,näringstvång,0.678,lyckliggörande,0.678
63,aggregat,0.855,guldålder,0.677,nationalitetsprincip,0.678
64,hastverk,0.855,negrernes,0.676,näringstvång,0.678
65,exklusivitet,0.854,samhällsinstitution,0.676,guldålder,0.677
66,lifvot,0.854,folkuppfostran,0.675,negrernes,0.676
67,utvecklingsgrad,0.854,samhällslif,0.674,samhällslif,0.674
68,omkretsa,0.854,gudsdyrkan,0.674,samhällslifvets,0.674
69,oäfvet,0.854,maktförhållande,0.674,maktförhållande,0.674
70,börstig,0.854,samhällsutveckling,0.674,samhällsutveckling,0.674
71,mvckel,0.854,suveränetet,0.674,suveränetet,0.674
72,efterlåta,0.854,prestvälde,0.673,prestvälde,0.673
73,ganz,0.854,verldsfredens,0.673,ingrepe,0.673
74,afstack,0.854,ingrepe,0.673,förderflighet,0.672
75,riksbag,0.853,frihetsälskande,0.672,sjelfmedvetet,0.672
76,berthe,0.853,förderflighet,0.672,ledstjärna,0.672
77,osmin,0.853,sjelfmedvetet,0.672,religionslös,0.672
78,sladdra,0.853,ledstjärna,0.672,embetsmannavälde,0.672
79,häntydt,0.853,religionslös,0.672,polaekarne,0.671
80,sanningssökande,0.852,solidaritetskänsla,0.672,kapitalism,0.671
81,inflagit,0.852,embetsmannavälde,0.672,själfsvåld,0.671
82,afläg,0.852,polaekarne,0.671,lifsprincip,0.67
83,stratton,0.852,människosläkte,0.671,kulturförhållanden,0.67
84,sjelfklar,0.852,samfundsförhållandena,0.671,samfundsförhållandena,0.67
85,angåfve,0.852,lifsprincip,0.67,frihetsälskande,0.669
86,skeptiker,0.852,kulturförhållanden,0.67,lismen,0.669
87,uppskörta,0.852,lismen,0.669,sjelfbestämning,0.669
88,spådomskonst,0.852,sjelfbestämning,0.669,förbrödring,0.669
89,öfverbevisas,0.852,sanningssökande,0.669,menniskovärde,0.668
90,irreligiös,0.852,förbrödring,0.669,pressfrihet,0.668
91,lordras,0.852,veridens,0.668,jesuitism,0.668
92,samhällsarbete,0.852,menniskovärde,0.668,lifsintresse,0.668
93,förvärfvet,0.852,lifsintresse,0.668,själfmedvetande,0.668
94,iute,0.851,själfmedvetande,0.668,sanningssökande,0.668
95,sega,0.851,rättssäkerhet,0.667,rättssäkerhet,0.667
96,thronerna,0.851,qvinnofrågan,0.667,qvinnofrågan,0.667
97,baktal,0.851,kulturuppgift,0.667,kulturuppgift,0.667
98,stållning,0.851,yrkespolitiker,0.667,vädjobana,0.667
99,medicinman,0.851,samhällstillstånd,0.667,stridsämne,0.667
