,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,engeland,0.808,moreau,0.702,hwaresi,0.584,famillen,0.526,dagorder,0.55,kejsare,0.596,kunglig,0.651,käjserliga,0.596
1,nädig,0.803,trupparne,0.7,spanste,0.584,österrikisk,0.525,kejsare,0.545,kunglig,0.587,käjserliga,0.632,konglig,0.586
2,huld,0.801,retirera,0.691,förrgär,0.583,peking,0.518,dotation,0.538,storhertiglig,0.561,konglig,0.599,kunglig,0.579
3,minister,0.799,österrikisk,0.687,famillen,0.582,hofvet,0.517,storamiral,0.53,gortschakow,0.561,storhertiglig,0.587,storhertiglig,0.561
4,nädiga,0.799,angripa,0.682,utnämd,0.579,aflätit,0.513,hertiglig,0.526,konglig,0.555,kejsare,0.572,knngliga,0.542
5,gatt,0.797,flagit,0.68,kejsare,0.577,bajersk,0.51,konstantin,0.519,tnilerierna,0.551,knngliga,0.572,serliga,0.524
6,allernädigste,0.787,inrycka,0.678,bey,0.577,oranien,0.506,liiders,0.518,pietri,0.548,serliga,0.55,riksörn,0.523
7,nalkas,0.786,fientlig,0.677,regensburg,0.575,toscana,0.505,oranien,0.515,baiersk,0.548,zarens,0.543,kungl,0.517
8,kejsarinna,0.786,armeen,0.677,österrikisk,0.574,palen,0.499,braganza,0.515,reskript,0.546,peterhof,0.542,petershof,0.517
9,elände,0.786,rastadt,0.671,sändebud,0.573,esterhazy,0.498,proclamation,0.513,kejser,0.543,furstlig,0.533,storfurstlig,0.516
10,lyckeliga,0.784,tippo,0.669,afsatt,0.573,extraordinär,0.497,orleanska,0.51,flygeladjutant,0.542,handskrifvelse,0.533,andreasorden,0.514
11,broder,0.783,toscana,0.668,pälen,0.573,landsförvist,0.497,storherrliga,0.51,storherrliga,0.541,kungl,0.528,handskrifvelse,0.513
12,församla,0.782,förpost,0.667,marocco,0.566,florenz,0.496,neapolitansta,0.509,habsburg,0.541,gatschina,0.527,corona,0.513
13,förstag,0.782,kejsare,0.667,corpsen,0.563,storkors,0.495,olmiitz,0.507,orleansta,0.54,hofburg,0.527,zarens,0.511
14,kejsare,0.779,bender,0.665,proclamation,0.563,kejsare,0.492,jnfanten,0.504,öfverceremonimästare,0.54,petershof,0.524,feking,0.507
15,06,0.777,höfwen,0.665,augsburg,0.56,konstantin,0.49,ukas,0.503,ukas,0.538,tsar,0.522,kejserl,0.507
16,thronen,0.777,ofwerste,0.663,toscana,0.56,kejserl,0.487,milosch,0.498,braganza,0.538,dolgorucki,0.518,fläckta,0.502
17,mål,0.773,constantinopel,0.662,wurtemberg,0.559,hertiglig,0.487,österrikisk,0.497,galadiner,0.535,hofministern,0.514,badiska,0.5
18,huruledes,0.771,tropp,0.661,coburg,0.558,komplimentera,0.487,cabral,0.496,daschkoff,0.53,petersburg,0.513,badensisk,0.499
19,gäld,0.771,belägra,0.66,päfwen,0.558,curir,0.486,armöe,0.496,nyårsönskning,0.528,preussisk,0.511,irade,0.497
20,majtts,0.771,kejsarinna,0.656,böhmen,0.558,höfwen,0.486,curir,0.496,juaristiska,0.527,vladimir,0.511,hertiglig,0.495
21,armeen,0.771,general,0.655,curir,0.557,uppvakta,0.485,siebenburgen,0.496,enkekejsarinnan,0.527,alexei,0.511,välbevågen,0.492
22,hertig,0.77,nysta,0.653,nederländerna,0.557,kejsarinna,0.484,franffe,0.496,kejsarpar,0.526,storfurstlig,0.511,vladimir,0.491
23,samtycke,0.769,gesandt,0.652,moreau,0.556,generalissimus,0.483,serbien,0.495,leboeuf,0.526,käjserligt,0.51,österrikisk,0.489
24,majestät,0.769,engelste,0.652,höfwen,0.556,braganza,0.482,teheran,0.495,vladimir,0.526,majestät,0.506,dolgorucki,0.488
25,anfördt,0.768,framtränga,0.651,blucher,0.555,metternich,0.482,spanste,0.495,compiégne,0.526,livadia,0.506,käjserligt,0.488
26,underdånig,0.768,besätta,0.651,deputation,0.555,chefskap,0.482,pohlsta,0.495,bratiano,0.525,fläckta,0.504,furstlig,0.488
27,förtid,0.768,annee,0.651,strifwelse,0.555,coburg,0.48,konglig,0.494,trouville,0.525,kejsarinna,0.503,legationshotellet,0.487
28,utstaka,0.768,marschera,0.651,erhällna,0.554,neapolitansk,0.479,gumri,0.494,proclamation,0.524,feking,0.503,gatschina,0.485
29,framsteg,0.767,corps,0.65,audience,0.554,oxford,0.479,mentschikoff,0.491,metternichs,0.524,kejsar,0.502,hofburg,0.485
30,los,0.766,neapel,0.649,turkiste,0.553,milano,0.479,storhertiglig,0.491,cabral,0.524,andreasorden,0.501,peterhof,0.484
31,wörda,0.765,beordra,0.649,metternich,0.553,kunglig,0.479,öfverbefälhafvare,0.491,krigsministerium,0.523,czar,0.499,kejsarinna,0.484
32,blotta,0.764,bonaparte,0.648,furst,0.553,återkallande,0.479,paskewitsch,0.49,jeddo,0.523,reskript,0.499,krasnoje,0.483
33,kallelse,0.763,garnison,0.648,gesandt,0.551,hittillsvarande,0.478,ordonnans,0.488,castelnau,0.523,hohenzollerns,0.499,obrenowitsch,0.482
34,giorde,0.763,fransos,0.648,monsieur,0.549,haris,0.478,ferrara,0.487,kejsar,0.523,storfurste,0.499,savoyska,0.479
35,geck,0.762,ryss,0.646,högqwarteret,0.548,beira,0.477,algeriet,0.487,hedersborgare,0.523,ukas,0.495,koburgska,0.479
36,sultan,0.762,församla,0.645,bayonne,0.548,vicekonung,0.477,wiirtemberg,0.487,påfligt,0.523,österrikisk,0.495,tsar,0.479
37,ordförande,0.762,eröfra,0.644,återkomst,0.547,skrzynecki,0.476,adrianopel,0.487,österrikisk,0.521,irade,0.494,kejser,0.478
38,hota,0.761,howe,0.644,rysiland,0.547,synod,0.476,sardinsta,0.486,storveziren,0.521,kabinettsorder,0.492,militärkappa,0.478
39,barmhertighet,0.76,turkista,0.644,tilsit,0.546,potsdam,0.476,karabinier,0.485,regeringsbladen,0.521,gardestrupperna,0.492,dubbelörn,0.478
