,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ofördelaktig,0.77,besvärja,0.624,fueros,0.596,vallag,0.566,grundlag,0.586,grundlag,0.567
1,despotism,0.738,fueros,0.615,återinförande,0.595,regeringsform,0.562,unionsfördrag,0.552,förbundsförfattning,0.541
2,rättwist,0.731,constitution,0.607,monarkisk,0.591,statsförfattning,0.558,förbundsförfattning,0.544,unionsfördrag,0.537
3,lagstiftning,0.731,congressen,0.6,congressen,0.578,grundlag,0.548,riksförfattning,0.53,grundlagen,0.532
4,rytzland,0.73,statsförfattning,0.597,statsförfattning,0.577,statsform,0.539,statsförfattning,0.523,riksförfattning,0.531
5,orättwisa,0.728,upphäfde,0.588,grundlag,0.573,återinförande,0.531,grundlagen,0.521,likaberättigande,0.53
6,magterna,0.728,modifikation,0.584,folkrepresentation,0.571,brottmålslag,0.53,unionsakt,0.519,folkrepresentation,0.521
7,beskyllning,0.727,deputeradekammare,0.584,napoleonska,0.568,pragmatisk,0.528,folkrepresentation,0.516,suveränetet,0.521
8,wänliga,0.727,regeringsform,0.583,gyckelspel,0.564,ärftlighet,0.527,sanktionsrätt,0.515,unionsakt,0.52
9,militairista,0.727,grundlag,0.583,arfföljd,0.563,suveränetet,0.527,suveränetet,0.513,statsförfattning,0.519
10,nögde,0.726,monarkisk,0.581,constitution,0.563,återupprättande,0.522,likaberättigande,0.513,magtställning,0.519
11,ogilla,0.726,förhållanderne,0.578,fältrop,0.562,förbundsförfattning,0.522,regeringssätt,0.507,sanktionsrätt,0.517
12,förblifwer,0.724,kränkning,0.578,grundrättighet,0.56,grundlagen,0.521,höghetsrätt,0.506,pragmatisk,0.517
13,förmädde,0.723,i8i5,0.572,statsskick,0.558,pressfrihet,0.516,regeringsform,0.506,helstatsförfattning,0.516
14,florida,0.722,neutralitet,0.572,i8i5,0.557,slutgiltig,0.515,ståndsprincipen,0.504,ståndsprincipen,0.516
15,krigsförklaring,0.721,styrelseform,0.571,helstatsförfattning,0.555,landsdelarnes,0.515,oförkränkt,0.504,folkmakt,0.513
16,förberedelse,0.721,1734,0.57,konsti,0.553,proklamerande,0.513,vallag,0.504,höghetsrätt,0.512
17,beredwillighet,0.72,skrifta,0.569,ministérens,0.552,plebiscit,0.513,statsinrättning,0.504,regeringssätt,0.512
18,omöjlighet,0.72,veto,0.569,anslutning,0.55,inkonstitutionelt,0.513,pragmatisk,0.502,folksuveränitet,0.511
19,glömsta,0.718,regeringssätt,0.566,reformbill,0.549,nationalitetsprincip,0.511,magtställning,0.501,ståthållarefrågan,0.509
20,borttagande,0.718,statut,0.565,sanktionera,0.549,nationalrepresentation,0.51,handelslag,0.501,wienerkongressen,0.509
21,hufwudsakligen,0.718,öfverändakasta,0.564,klausul,0.549,folksuveränitet,0.509,utvisningsrätt,0.501,billighetskänsla,0.508
22,närmarande,0.718,strängeligen,0.564,tillintetgörelse,0.548,statsskick,0.507,landsherre,0.5,blikens,0.507
23,kalender,0.718,ärftlighet,0.564,lagutkast,0.547,partiregering,0.507,föreningsakt,0.5,partiregering,0.507
24,foglighet,0.717,rättstillstånd,0.563,vallag,0.547,wallagen,0.505,helstatsförfattning,0.5,oförkränkt,0.506
25,framställning,0.717,stedda,0.563,neapolitanarne,0.546,grundlov,0.505,konungamakt,0.5,utvisningsrätt,0.506
26,stämpling,0.717,pärs,0.562,samhällsskick,0.546,utropande,0.504,folkmakt,0.5,oppositionel,0.505
27,holk,0.717,alliance,0.561,kontrarevolution,0.545,styrelseform,0.504,kungamakt,0.499,listomröstningen,0.504
28,missnöje,0.715,integritet,0.56,representativ,0.545,paristraktaten,0.504,föreningsfördrag,0.498,landsherre,0.504
29,allierad,0.715,obrottslig,0.555,kansas,0.544,fueros,0.503,folksuveränitet,0.498,obrottsligen,0.503
30,upkommit,0.714,sanktionera,0.555,underkufva,0.543,provisorium,0.503,brottmålslag,0.496,klassval,0.503
31,neutralitet,0.714,invasion,0.554,förhållanderne,0.543,regeringsförslag,0.502,grundlov,0.496,statsinrättning,0.503
32,kryssare,0.713,administration,0.554,fåvitsk,0.542,piemont,0.502,ståthållarefrågan,0.496,kungamakt,0.502
33,werl,0.713,regentinna,0.553,upphäfvandet,0.542,territorial,0.501,grundlagsbud,0.495,krigsförfattning,0.502
34,sannolikhet,0.713,handelsfrihet,0.553,provincialständerna,0.542,riksakt,0.5,konstitutionell,0.494,konungamakt,0.502
35,proklamera,0.713,angelägenheterne,0.552,öfverändakasta,0.541,novemberförfattningen,0.5,likställande,0.493,vallag,0.502
36,sörswara,0.713,motvigt,0.552,ombilda,0.541,arfsföljden,0.5,constitutionella,0.493,konsulatbeslutet,0.501
37,upmarksamhet,0.712,stabilitet,0.551,konvent,0.54,upphäswandet,0.5,civillag,0.492,styrelsesystem,0.501
38,makterne,0.712,magten,0.55,parlamentsakt,0.54,regeridgen,0.499,dissenterlag,0.492,constitutionen,0.5
39,förlika,0.712,öfverhet,0.55,kamrarnes,0.539,oafhängighet,0.499,oppositionel,0.491,envåldsmakt,0.499
40,menstligheten,0.712,dynasti,0.55,vänning,0.538,ministeransvarighet,0.499,listomröstningen,0.491,maktförhållande,0.498
41,mediation,0.712,representativ,0.549,badiska,0.538,likbetydande,0.498,konsulatbeslutet,0.49,handelslag,0.497
42,mänsklig,0.711,thronföljden,0.549,brottmålslag,0.538,helstatsförfattning,0.498,benådningsrätt,0.49,föreningsakt,0.497
43,folkrätt,0.71,dogm,0.548,proklamera,0.538,tilläggsartikel,0.497,parisertraktaten,0.489,stormaktsställning,0.497
44,nödwändigheten,0.71,cortes,0.548,ärftlighet,0.538,örslag,0.497,partiregering,0.489,triumvir,0.497
