,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,folck,0.806,öfverenskomna,0.496,local,0.57,local,0.66,okal,0.57,skeppsbrokällaren,0.537
1,oagtadt,0.802,badinrättning,0.495,trädgårdsförening,0.552,militärsällskapets,0.581,skollokal,0.566,schweitzerilokal,0.531
2,kror,0.791,skjutbana,0.492,trädgårdsföreningens,0.536,börsförening,0.567,frimurarehuset,0.565,direktionsrum,0.53
3,befullmäktiga,0.786,trädgårdsföreningens,0.483,julianders,0.531,lässal,0.562,schweitzerilokal,0.553,tefest,0.53
4,nödwändigaste,0.785,alleén,0.464,dansnöje,0.516,klubblokal,0.548,sveateatern,0.553,årsbal,0.527
5,lagom,0.784,localen,0.463,vestergatan,0.515,realgymnasii,0.548,handelsbörsens,0.551,månadssammankomst,0.524
6,farsot,0.784,ochi,0.461,grubes,0.498,restaurationslokal,0.538,gymnastiklokal,0.548,okal,0.519
7,frikänna,0.783,sällstaper,0.46,försäljningslokal,0.497,läslokal,0.537,tefest,0.546,logelokal,0.519
8,bandit,0.783,linnas,0.458,granströms,0.489,festvåning,0.536,lässal,0.546,museilokal,0.518
9,ätföljde,0.781,harmonisk,0.457,normalskola,0.487,gymnastiksal,0.536,sjöofficerssällskapets,0.545,sjöofficerssällskapets,0.516
10,komplott,0.78,börskällarcn,0.456,kirsleinska,0.484,gymnastiklokal,0.534,börsbyggnad,0.544,tjenstelokal,0.513
11,hinderlig,0.78,deas,0.456,badinrättning,0.483,börsrum,0.534,skeppsbrokällaren,0.544,militärsällskapets,0.508
12,tribunal,0.778,gymnastik,0.455,societetshus,0.483,ritsal,0.533,museilokal,0.543,rådhnset,0.508
13,efterspaning,0.776,befrämjande,0.452,konditori,0.482,sökendagar,0.533,predikolokal,0.542,handelsfullmäktiges,0.508
14,menlig,0.776,arfvingarnes,0.452,lorentsbergs,0.479,skolgård,0.532,handelsfullmäktiges,0.539,läsrum,0.507
15,lighet,0.776,auditorium,0.45,konstförening,0.475,börshus,0.531,festsal,0.538,klubblokal,0.503
16,länderi,0.775,fiskrik,0.449,h6tel,0.473,frimurarelogen,0.531,sparbankshus,0.538,handelsbörsens,0.502
17,inwanarne,0.775,leise,0.448,brunnssalong,0.471,societetssal,0.529,årsbal,0.538,johanneskapellet,0.5
18,onaturlig,0.775,kommelse,0.448,kungspark,0.471,samlingssal,0.528,direktionsrum,0.537,festivitetssalong,0.497
19,materie,0.774,järnte,0.447,uudertecknads,0.468,månadssammankomst,0.526,teaterlokal,0.536,parkpaviljong,0.497
20,wädliga,0.773,wärdshusrörelse,0.447,tius,0.467,tullslätten,0.525,logelokal,0.535,continentals,0.497
21,tilräckeligen,0.772,assemblé,0.446,localen,0.464,sammantråda,0.524,spislokal,0.533,svamputställning,0.496
22,fylleri,0.772,apothek,0.444,butik,0.463,danslokal,0.524,läslokal,0.532,brödraföreningen,0.495
23,kuntze,0.772,kafferum,0.444,brunkebergs,0.463,grubes,0.524,arkivrum,0.53,vårsammanträde,0.495
24,misslyckas,0.772,konimer,0.443,assemblé,0.463,bokrum,0.523,goodtemplarlokal,0.53,vestmannia,0.495
25,smittosam,0.772,värdshusrörelse,0.443,loka,0.462,sjögrenska,0.523,bönsal,0.529,godtemplarlokal,0.495
26,egenffaper,0.771,saltsjö,0.443,årsexamen,0.461,sökeudagar,0.523,bethelkapellet,0.528,paketauktion,0.495
27,statsrädet,0.771,local,0.442,thealer,0.461,vintersammankomst,0.523,klubblokal,0.528,klubbafton,0.492
28,rolighet,0.771,kägelbana,0.441,solennitetssal,0.46,värdshuslokal,0.521,tjenstelokal,0.527,frimurarehuset,0.491
29,spe,0.771,ungkarlslägenhet,0.44,manégen,0.459,witts,0.521,godtemplarlokal,0.525,varmbadinrättning,0.49
30,lard,0.77,bilietter,0.44,hötel,0.458,börsbyggnad,0.521,ordenslokal,0.525,lässal,0.489
31,osund,0.77,kryddkrambandel,0.44,lorentzbergs,0.458,lycei,0.521,rådhnset,0.524,spislokal,0.489
32,klagomal,0.77,ovan,0.44,kraak,0.458,föreläsningssal,0.521,stationslokal,0.524,frimurarekällaren,0.488
33,änven,0.769,drifvande,0.439,anstålies,0.456,harvarande,0.521,samlingssal,0.524,svanfeldts,0.488
34,sammanstämma,0.769,prospektus,0.439,nyinredd,0.456,uudertecknads,0.52,festivitetsvåning,0.524,sammantråda,0.488
35,räa,0.769,eklärering,0.439,schweitzeriet,0.455,schweitzeriet,0.52,gymnastiksal,0.522,kirsleinska,0.488
36,uppreta,0.769,brunnsbal,0.438,väningen,0.455,solennitetssal,0.519,bokrum,0.522,lamplager,0.488
37,läggning,0.767,allra,0.438,handelslokal,0.453,kapitalförfäkringsanstalten,0.516,sökeudagar,0.521,hufvudredarens,0.487
38,upfylt,0.766,medevi,0.438,sjukgymnastik,0.453,betelkapellet,0.515,valand,0.521,harvarande,0.487
39,urarta,0.766,motiverne,0.437,davidsson,0.452,skollokal,0.513,realgymnasii,0.519,bönsalen,0.487
40,astan,0.766,blifrit,0.436,aftonunderhållning,0.451,wetterbergs,0.513,paketauktion,0.519,landtlogens,0.486
41,subscription,0.765,samlingsplats,0.436,paviljong,0.451,snedtemot,0.512,folkskolesal,0.518,ordenshusets,0.486
42,elit,0.765,sällskaper,0.436,danslokal,0.451,skjutpaviljongen,0.511,goodtemplarsalen,0.518,bönsal,0.486
43,känsta,0.765,handelskontor,0.435,societetslokalen,0.45,anslälles,0.511,handelsbörs,0.517,templarlokalen,0.486
44,omättlig,0.764,lustslott,0.435,soire,0.45,hörsal,0.511,militärsällskapets,0.516,utskänkningslokal,0.484
45,secler,0.763,sortsätta,0.435,kraaks,0.45,brunkebergs,0.511,betlehemskyrkan,0.515,bethelkapellet,0.483
46,pröfwas,0.763,helsosam,0.435,sexstämmig,0.45,synodalsalen,0.511,samlingslokal,0.515,bokrum,0.481
47,vaccin,0.763,siön,0.434,kjellbergska,0.449,embetslokal,0.511,arkivlokal,0.513,föreningslokal,0.479
48,manöver,0.763,sjömanshem,0.434,atelier,0.449,kraaks,0.51,sollennitetssal,0.513,festivitetsvåning,0.478
49,inrätt,0.763,elementar,0.434,stadshus,0.448,bolagsstamma,0.51,stadshussalong,0.512,w6,0.478
50,werklig,0.763,slussverk,0.434,söndagsskola,0.448,societetshus,0.509,varmbadinrättning,0.511,sångsal,0.478
51,uppnå,0.763,karaktershuset,0.434,assemblée,0.448,rådhusgården,0.509,brödraföreningen,0.511,frimurarelogen,0.478
52,betydelse,0.762,börssal,0.433,hjortsbergs,0.448,terminsafslutning,0.508,hjelpsamheten,0.511,logesal,0.478
