,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ämbetsman,0.728,wälfärd,0.653,förmäga,0.597,vältänkande,0.58,laglydig,0.576,medborgarinnor,0.602,medborgarinnor,0.626,medborgarinnor,0.621
1,afsigt,0.72,undersätare,0.643,christne,0.584,kränka,0.538,oförvillad,0.546,medborgarinnan,0.587,fullmyndig,0.592,laglydig,0.584
2,aktning,0.708,medlem,0.643,edre,0.583,undersätare,0.534,rättänkande,0.534,samhällsmedlem,0.567,statsborgare,0.581,välfräjdad,0.563
3,stridig,0.699,omtanka,0.64,åhörare,0.579,tänkande,0.531,förespråkare,0.526,laglydig,0.552,inedborgare,0.569,fullmyndig,0.56
4,städerne,0.699,gem,0.63,patriotism,0.578,laglydig,0.53,nationaläran,0.526,inedborgare,0.533,borgare,0.564,statsborgare,0.556
5,befordran,0.697,torftig,0.629,förtjänst,0.574,sympati,0.525,fullmyndig,0.515,statsborgare,0.532,laglydig,0.559,inedborgare,0.543
6,naturlig,0.697,inbyggare,0.627,sörmäga,0.572,edre,0.523,slägtets,0.512,folkrepresentant,0.525,medborgarne,0.556,domarekår,0.537
7,stadeliga,0.696,christne,0.625,medbroder,0.57,rättskaffens,0.523,samhällsmedlem,0.512,medborgarne,0.517,oförytterlig,0.552,oförvitlig,0.536
8,nation,0.689,efterdöme,0.623,carakter,0.563,human,0.521,vindicera,0.511,rättänkande,0.517,medborgarrätt,0.538,samhällsmedlem,0.533
9,farlig,0.689,mänge,0.623,statsman,0.562,undersåtare,0.518,fosterlandskärlek,0.509,kommunalman,0.516,välfräjdad,0.537,borgare,0.528
10,gem,0.686,undersåtare,0.622,undersätare,0.561,egennytta,0.518,sträswande,0.505,rättrådig,0.511,fosterlandsälskande,0.528,fosterlandsälskande,0.524
11,christna,0.684,tänkesätt,0.619,egna,0.561,samhällsmedlem,0.518,sjelfbestånd,0.505,embetsmannaklassen,0.51,domarekår,0.526,kyrkomedlem,0.519
12,förmon,0.683,lydnad,0.615,välgörande,0.561,nitälskan,0.516,samhällsordning,0.503,wälsinnade,0.504,värnepligtig,0.517,värnepligtig,0.518
13,nytta,0.681,styrelse,0.615,wälwilja,0.56,mägtiga,0.516,besjäla,0.502,fullmyndig,0.503,embetsmann,0.516,oförytterlig,0.518
14,rörelse,0.679,förjaga,0.613,landsman,0.56,främja,0.514,kyrkofader,0.5,hyfsad,0.5,oförvitlig,0.515,embetsmann,0.514
15,förnuftig,0.678,werkeliga,0.611,tänkande,0.56,sannskyldig,0.513,adept,0.5,friboren,0.497,medborgarnes,0.515,medbor,0.513
16,wälfärd,0.678,upmuntra,0.609,mägtiga,0.559,förfäkta,0.512,menstligt,0.5,familjfar,0.497,kyrkomedlem,0.514,medborgarne,0.512
17,oskyldig,0.677,eftersyn,0.609,wälgörare,0.559,enstilte,0.511,statsborgare,0.499,församlingsmedlem,0.495,samhällsmedlem,0.514,schartauansk,0.51
18,bestä,0.677,wälgörande,0.608,wälmening,0.557,välsinnad,0.511,undersäte,0.498,tankesätt,0.495,medborgarskap,0.511,okristen,0.504
19,ansedt,0.677,edre,0.607,känsla,0.556,sansad,0.51,förljensten,0.497,bine,0.495,medbor,0.509,medborgarrätt,0.502
20,författning,0.675,ädelmodig,0.606,värdig,0.556,genomträngd,0.508,umgängelse,0.497,medborgarnes,0.492,familjefar,0.506,vällärd,0.501
21,utmärka,0.673,rättskaffens,0.604,plister,0.556,förswarare,0.507,förtappad,0.497,jourde,0.492,medborg,0.503,familjefar,0.5
22,billighet,0.67,tilgifwenhet,0.604,hiertan,0.555,förtjänst,0.504,tillskansa,0.496,fosterlandsvän,0.491,amerikanisera,0.503,fosterlandsförsvarare,0.497
23,öm,0.67,yppighet,0.604,wälgörande,0.555,nationaläran,0.504,samwetsgrannt,0.496,återbörda,0.491,okränkbar,0.501,rösträttslös,0.495
