,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,tidningsblad,0.801,tidehvarfvet,0.704,tidehvarfvet,0.657,fornfynd,0.61,storhetstid,0.596,storhetstid,0.612
1,korporal,0.797,grunddrag,0.688,hednisk,0.615,hednatid,0.581,reformationstid,0.589,reformationstid,0.603
2,epistel,0.794,europas,0.684,hedendom,0.613,fornnordisk,0.558,romarnes,0.587,tidehvarfvet,0.594
3,tolfte,0.793,österländsk,0.674,verldshistorien,0.605,kulturhistorisk,0.543,tidehvarfvet,0.586,romarnes,0.591
4,omarbeta,0.792,verldshistorien,0.672,reformation,0.593,ärhundradet,0.541,kejsartid,0.569,kejsartid,0.588
5,taleman,0.792,tidehvarf,0.672,korståg,0.59,tidehvarfvet,0.538,hednatid,0.552,förhistorisk,0.581
6,xii,0.786,period,0.666,tiderymd,0.585,hedendom,0.536,förhistorisk,0.552,hednatid,0.58
7,jena,0.786,mythologi,0.658,tidehvarf,0.584,romarnes,0.528,vikingatid,0.55,vikingatid,0.576
8,may,0.785,philosophi,0.657,menniskoslägte,0.579,forntid,0.524,1600talet,0.549,1600talet,0.572
9,polsta,0.785,geograf,0.652,minnesmärke,0.578,förhistorisk,0.524,forntid,0.544,kulturbild,0.562
10,swens,0.785,folksaga,0.649,fornålder,0.578,hednisk,0.522,kulturbild,0.543,mytologi,0.555
11,union,0.782,minnesmärke,0.648,ärhundradet,0.576,tradition,0.521,mytologi,0.542,hedenhös,0.553
12,söndring,0.781,folkvisa,0.646,aristoteles,0.568,frihetstid,0.517,medeltida,0.535,gudalära,0.552
13,grekista,0.781,forntid,0.645,episk,0.566,tidsålder,0.516,hedenhös,0.535,medeltida,0.55
14,jesuit,0.78,minnesbok,0.64,konsthistoria,0.56,mytologi,0.515,tidehvarfvets,0.534,bronsålder,0.548
15,adrcsi,0.779,kommerciella,0.639,tidskifte,0.56,utvecklingsgång,0.514,heden,0.533,tidehvarfvets,0.545
16,öfwerlemnad,0.779,episk,0.639,årtusende,0.556,århundrade,0.513,gudalära,0.532,heden,0.543
17,palen,0.778,skolungdom,0.639,hierarki,0.554,hjeltesaga,0.512,jernåldern,0.532,literator,0.543
18,mann,0.777,folkflag,0.638,tidräkning,0.551,renässans,0.512,bronsålder,0.532,hedendom,0.537
19,snillrik,0.775,sjuttonde,0.637,skaplynne,0.549,kulturhistoria,0.511,århundrade,0.529,frihetstid,0.536
20,krigsgärd,0.775,palestina,0.637,tidsbild,0.546,gudalära,0.51,hedendom,0.525,skräckregering,0.535
21,swenff,0.774,märkwärdigaste,0.636,folkstam,0.545,fornlemning,0.508,literator,0.521,gregoriansk,0.534
22,sång,0.774,hedendom,0.636,österland,0.545,häfder,0.508,renässans,0.519,århundrade,0.533
23,asten,0.773,lärosats,0.635,framfaren,0.544,samhällslära,0.506,gudasaga,0.518,lifsbild,0.531
24,diden,0.773,partitur,0.634,forntid,0.544,blomstringstid,0.505,sagotid,0.517,sagotid,0.531
25,jande,0.772,sällsamhet,0.633,statssystem,0.543,folklif,0.505,härstammande,0.516,kulturperiod,0.53
26,befullmäktiga,0.772,tidskifte,0.632,århundrade,0.543,romantik,0.504,arisk,0.515,härstammande,0.53
27,elit,0.771,korståg,0.631,fiktion,0.543,judendom,0.504,skräckregering,0.513,hednista,0.527
28,skandinavien,0.771,urkund,0.63,framträdt,0.543,epos,0.503,stenålder,0.513,hänsvunnen,0.526
29,hivaraf,0.77,kronologisk,0.627,teori,0.542,bömiska,0.502,hednista,0.511,stenålder,0.525
30,puke,0.769,ärhundradet,0.626,tidsålder,0.541,konungaätt,0.501,assyrisk,0.51,förgången,0.525
31,flykting,0.769,grammatika,0.626,vantro,0.541,numismatik,0.501,frihetstid,0.51,tidsskede,0.522
32,omständlig,0.769,lifwar,0.625,werldshistorien,0.539,arisk,0.499,uråldrig,0.509,blomstringstid,0.522
33,ätföljde,0.769,folkstam,0.625,hufvuddragen,0.538,konsthistoria,0.499,mytologisk,0.508,jernåldern,0.521
34,andalusien,0.769,filosofi,0.622,ordförråd,0.538,österland,0.499,alkemi,0.508,nytestamentlig,0.52
35,ilka,0.768,fanatism,0.622,dramatik,0.538,odlingshistoria,0.497,blomstringstid,0.507,gudasaga,0.52
