,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,möderne,0.928,jutwagn,0.816,skrinda,0.703,sidenhatt,0.643,hårklädsel,0.628,vinterhatt,0.674,societetsdanser,0.635,societetsdanser,0.59
1,fyrsitsig,0.922,underrede,0.809,wiener,0.702,snörlif,0.638,hufwudbonader,0.616,damehattar,0.662,vartå,0.618,titelstilar,0.556
2,phaeton,0.921,ensitsig,0.809,underrede,0.682,fruntimmershatt,0.635,negligé,0.61,öfverrockstyger,0.65,barnliattar,0.607,vartå,0.555
3,proper,0.907,commod,0.803,schäs,0.677,negligeer,0.631,fruntimmershatt,0.608,modellhattar,0.646,titelstilar,0.601,färgställning,0.518
4,släda,0.905,schagg,0.802,mahogny,0.668,löskrage,0.619,mantiller,0.608,barnhatt,0.645,höstlager,0.599,modetyg,0.515
5,halftäckt,0.902,calesch,0.801,ljuskrona,0.668,florsband,0.605,sortement,0.603,våröfverrockar,0.637,modellhattar,0.598,höstlager,0.511
6,felfri,0.898,fyrsitsig,0.798,mörkgrön,0.66,negligcer,0.604,västtyg,0.6,modevarulager,0.636,monteringsartiklar,0.597,tygor,0.509
7,brukbar,0.897,swanhalsar,0.797,kapott,0.657,tibet,0.598,negligeer,0.598,byx,0.634,damehattar,0.597,sortoradt,0.505
8,schagg,0.897,phaeton,0.797,kommod,0.655,negligé,0.592,barnhatt,0.595,maskeraddrägter,0.634,herrhatt,0.593,barnliattar,0.501
9,sele,0.888,calesche,0.796,calesch,0.654,wästar,0.591,sortament,0.593,mantiller,0.628,fagoner,0.589,modärn,0.501
10,chaise,0.887,rese,0.787,schagg,0.652,brodera,0.59,färdiggjorda,0.591,damekappor,0.627,faconer,0.581,vårhatt,0.499
11,töm,0.887,björnhud,0.786,nymodig,0.652,förmaksmöbel,0.587,byxtyg,0.585,kontorsrockar,0.627,våröfverrockar,0.581,vårlager,0.499
12,sela,0.884,proper,0.786,sufflet,0.65,tyll,0.584,vinterkappa,0.584,damhatt,0.626,saisongen,0.58,literatnren,0.499
13,rem,0.882,halftäckt,0.786,bastant,0.648,gentil,0.583,sommarkappa,0.584,filthatt,0.625,tygor,0.575,sinrikt,0.499
14,lada,0.88,beqwäm,0.783,taburett,0.647,shawlar,0.583,manskläder,0.582,hattstomme,0.624,kostymoch,0.572,utiöres,0.497
15,engelsta,0.871,öfwertäckt,0.782,giord,0.643,wiener,0.583,sortcradt,0.578,orteradt,0.623,öfverrockstyger,0.571,utmodernt,0.495
16,claver,0.865,kälke,0.782,pendyl,0.642,fyrsittsig,0.582,härklädslar,0.576,fruntimmershatt,0.622,barnhattar,0.57,vintersaisonen,0.494
17,behållen,0.865,fjäder,0.782,stegkärra,0.642,jtalienst,0.579,byx,0.574,manshattar,0.62,öfverrocksdofflar,0.569,affärsstil,0.493
18,silswer,0.864,pelis,0.779,levantin,0.637,oklädd,0.578,nattkappa,0.573,modelager,0.616,damekappor,0.568,korssträngadt,0.493
19,släde,0.86,behållen,0.777,damast,0.637,underrede,0.577,montering,0.572,teradt,0.614,välpassande,0.567,konsttvätt,0.492
20,mälad,0.86,töm,0.777,mörkblä,0.636,fruntimmerskläder,0.576,sommarhatt,0.572,vintermössa,0.614,väisorteradt,0.566,maskeraddrägter,0.491
21,läder,0.86,sele,0.769,lackera,0.635,fason,0.576,tapisseri,0.572,damkragar,0.614,mönster,0.566,modellhattar,0.49
22,beklä,0.857,fason,0.769,jutwagn,0.635,chär,0.574,välgjord,0.571,coiffurer,0.612,facon,0.564,dekorationsartiklar,0.49
23,mulbete,0.855,chaise,0.767,golfmatta,0.634,fasonera,0.574,vesttyger,0.571,härklädslar,0.61,gosskläder,0.563,stilart,0.49
24,wärja,0.849,mälad,0.767,sufflett,0.633,kapott,0.572,barnmössa,0.57,omonterad,0.61,lärger,0.563,såvälsom,0.488
25,bät,0.848,fjädra,0.764,caleche,0.631,nattkappa,0.571,sortiment,0.57,sommarhatt,0.61,vintersaisonen,0.563,välpassande,0.487
26,mangel,0.843,gardin,0.763,ensitsig,0.63,turban,0.57,snörlif,0.569,corderoyer,0.609,modetyg,0.563,väisorteradt,0.487
27,klädning,0.843,möderne,0.758,commod,0.63,börder,0.568,facon,0.569,bahytt,0.606,paletåtyger,0.563,monteringsartiklar,0.486
28,gryn,0.842,fotsäck,0.756,kalesch,0.629,polera,0.568,skoarbete,0.568,saisongen,0.605,konsttvätt,0.562,vernäs,0.485
29,kärra,0.842,rack,0.755,skinnfoder,0.628,färdiggjorda,0.568,mansmössor,0.568,modevara,0.603,hårhatt,0.561,hårhatt,0.485
30,åbyggnad,0.842,kärra,0.754,sängställe,0.628,frisad,0.568,kammarduk,0.566,sorieradt,0.602,mantiller,0.56,färglagdt,0.484
31,hjul,0.84,twäsitsig,0.754,fjedrar,0.628,kammarduk,0.568,brodering,0.565,paletots,0.602,faqoner,0.56,dekorationsföremål,0.484
32,nätt,0.839,tienlig,0.751,spegel,0.627,sidenklädning,0.566,handstar,0.565,faconer,0.602,nrval,0.558,parisermodeller,0.484
33,altsamman,0.839,dyna,0.748,berlinare,0.625,salsstänk,0.565,schawlar,0.564,promenadrockar,0.602,sortoradt,0.558,stilfull,0.484
34,klippare,0.836,släda,0.745,möderne,0.624,skoarbete,0.565,manufakturlager,0.564,kostymtyger,0.601,damhatt,0.557,afh,0.483
35,gardin,0.835,kladd,0.743,rack,0.623,owänd,0.564,helylle,0.563,baschliker,0.6,vinterhatt,0.557,nrval,0.483
36,soffa,0.835,ridhäst,0.742,spelbord,0.622,fyrsitsig,0.563,mästar,0.563,sommarkappa,0.6,manshattar,0.556,slitstark,0.482
37,ärt,0.833,claver,0.738,swanhalsar,0.622,skinnfoder,0.563,vintermössa,0.562,kapptyg,0.6,paletots,0.555,nyasto,0.482
38,altsammans,0.832,mangel,0.738,björnbräm,0.621,sidenfoder,0.561,löskrage,0.562,fagoner,0.599,kontorsrockar,0.555,frisyr,0.481
39,sadel,0.832,stznd,0.737,omgång,0.62,handstar,0.561,hattstomme,0.56,sommarsäsong,0.597,orteradt,0.554,nyhemkommen,0.481
40,pistol,0.832,soffa,0.734,calesche,0.62,ljusröd,0.561,sorleradt,0.56,byxtyg,0.597,promenadrockar,0.553,accessoirer,0.481
41,salo,0.83,felfri,0.734,jagtwagn,0.619,bredsläda,0.56,moiré,0.56,facon,0.597,omonterad,0.553,chokolader,0.48
42,nymodig,0.829,betsel,0.732,måla,0.619,broderi,0.558,virka,0.556,vinterpaletå,0.597,utmodernt,0.552,literator,0.479
43,tagel,0.829,täck,0.732,pelis,0.618,garnering,0.558,hårprydnad,0.556,sommartyg,0.596,herrekiperingsartiklar,0.552,fulkomligt,0.479
44,korg,0.828,rem,0.732,betsa,0.618,plätera,0.557,sidenhatt,0.555,felbhattar,0.596,ofverrockstyger,0.551,saisongen,0.479
45,tyg,0.828,klippare,0.73,öfwertäckt,0.618,sidensars,0.557,schawletter,0.554,sorteradl,0.595,färgställning,0.549,facon,0.478
46,eke,0.826,grå,0.728,chais,0.615,klädningstyg,0.556,sammetshatt,0.553,sorleradt,0.595,kläduingstyger,0.549,påhlmanska,0.478
47,kläde,0.826,mörkblä,0.727,krage,0.615,brodering,0.556,långhalsduk,0.553,vinteröfverrockar,0.594,klädningslyger,0.549,ögonfallande,0.477
48,hingst,0.821,måla,0.725,nattkappa,0.615,spännhalsduk,0.556,färdigsydda,0.552,våra,0.594,vålsorteradt,0.549,vålsorteradt,0.477
49,sidentyg,0.82,golfmatta,0.724,betsel,0.614,muff,0.555,barnleksak,0.552,modeartikel,0.593,kläduingar,0.548,mönster,0.477
50,kors,0.82,inkörd,0.722,twäsitsig,0.614,slängkappa,0.555,manshattar,0.552,entoutcas,0.593,garneringsartiklar,0.547,smaktulla,0.477
51,kalkon,0.82,kur,0.721,matbord,0.613,enfärgad,0.555,border,0.551,kapptyger,0.593,vårlager,0.547,korssträngade,0.477
52,tilbehör,0.82,wagnshästar,0.72,dyna,0.612,krusa,0.554,storleker,0.551,dolflar,0.593,stilfull,0.545,parfymskrin,0.477
53,röka,0.82,nymodig,0.719,robe,0.611,pantalonger,0.554,klädningstyg,0.551,gossmössor,0.592,kappdofflar,0.545,damehattar,0.477
54,vis,0.819,korg,0.719,pasande,0.609,shawletter,0.554,regnrock,0.55,corderojer,0.591,vårhatt,0.545,rättsstat,0.476
55,spegel,0.816,ridsadel,0.715,koffert,0.608,nättelduk,0.553,mansoch,0.55,västtyg,0.591,modellkappor,0.545,nyasle,0.476
56,äfwenledes,0.814,damast,0.715,vy,0.607,dragkärra,0.553,rocktyger,0.55,musslin,0.591,välsittande,0.544,främmands,0.475
57,ridhäst,0.813,robe,0.713,paxa,0.607,bärder,0.552,stråhatt,0.549,lädersorter,0.59,fårdigsydda,0.544,paletåtyger,0.475
58,ryttare,0.813,arbetshäst,0.711,hwira,0.605,cirkelbestick,0.552,sidentyg,0.548,inbekomna,0.588,härklädslar,0.544,symaskinsindustrien,0.475
59,kiöps,0.812,vis,0.709,frack,0.605,metallbössa,0.552,assortiment,0.548,rothatt,0.588,utiöres,0.543,utförcs,0.475
60,päls,0.812,wallack,0.709,dragkista,0.604,sidentäcke,0.552,forteradt,0.547,barnskodon,0.587,silkeshatt,0.543,niskt,0.475
61,violin,0.812,sängställe,0.708,fyrsitsig,0.604,björnbräm,0.552,florsband,0.547,kostymtyg,0.587,damkappa,0.542,smakfull,0.474
62,skap,0.812,tupp,0.706,reskärra,0.604,bredschäs,0.552,assortement,0.547,bukettpapper,0.586,vinterpaletå,0.542,formskön,0.474
63,jr,0.811,försedt,0.706,sidensars,0.603,caleche,0.551,negligcer,0.545,hårklädsel,0.585,tygsort,0.542,profsortiment,0.474
64,kladd,0.811,tagel,0.705,pantalonger,0.603,krusflor,0.55,sidensars,0.545,crépe,0.585,saisonens,0.541,kosty,0.474
65,rack,0.811,krok,0.705,tyll,0.602,kroppsställning,0.55,zefir,0.544,nyinkomna,0.585,coiffurer,0.541,faqoner,0.473
66,fjäder,0.81,ganssa,0.702,chäs,0.602,tyllspets,0.55,spännhalsduk,0.543,höstsäsong,0.584,maskeraddrägter,0.541,herrrum,0.473
67,stand,0.809,ganjka,0.701,ridsadel,0.601,manskläder,0.549,stilsort,0.543,kamgarn,0.584,nyinkommet,0.541,fagoner,0.473
68,pri,0.809,tjära,0.7,klaver,0.6,pelis,0.548,siden,0.543,gosshattar,0.582,sommarkapptyger,0.54,våröfverrockar,0.473
69,täcke,0.808,hjul,0.7,sidenfoder,0.598,kamlott,0.548,klädningtyger,0.543,klädningslyger,0.582,kostymtyger,0.539,tändigt,0.472
70,snöre,0.808,sadel,0.698,omhänge,0.597,bastant,0.547,hufvudbonad,0.542,barnmössa,0.582,kappgarnityr,0.539,skådespelarkonst,0.472
71,damast,0.807,sporre,0.698,omgängar,0.597,nettelduk,0.547,byxtyger,0.542,dofllar,0.582,kamgarn,0.539,derar,0.472
72,ligt,0.807,blank,0.696,kappsäck,0.596,klädning,0.547,modernisering,0.542,doftlar,0.582,kamgarnstyger,0.539,stilren,0.472
73,inlagd,0.806,ljuskrona,0.696,fjäder,0.596,levantin,0.547,fidén,0.542,percaler,0.581,byxtyger,0.539,störsfa,0.472
74,lispund,0.805,jacka,0.696,nättelduk,0.595,kalesch,0.546,snörmakeri,0.541,härder,0.581,klädningstygcr,0.538,noggrauhet,0.471
75,dyna,0.805,kläde,0.695,grå,0.594,nymodig,0.545,byrtyger,0.54,byxtyger,0.581,smärtingsskor,0.538,solldt,0.471
76,tilräckelig,0.804,kappsäck,0.695,trekantig,0.593,fjedrar,0.545,frisad,0.54,sortement,0.581,kapptyg,0.538,nyinkommet,0.471
77,falu,0.804,duktyg,0.694,mudd,0.593,mäladt,0.545,wästtyger,0.54,rocktyger,0.581,aigretter,0.537,kompletteradt,0.471
78,likaledes,0.803,siden,0.694,klippare,0.592,wästtyger,0.545,modevara,0.54,vinterkappa,0.58,nyasle,0.536,renaissans,0.47
79,rese,0.803,äswenledes,0.693,pakande,0.592,mörkgrön,0.544,monster,0.54,negligé,0.58,dameoch,0.536,smärtingsskor,0.47
80,försedt,0.802,grätt,0.693,grätt,0.592,florshatt,0.544,garnerband,0.54,besättningsartiklar,0.579,dolflar,0.535,kartografi,0.47
81,siden,0.801,ljusbrun,0.691,björnhud,0.592,tältsäng,0.544,morgonmössa,0.539,sortament,0.579,monster,0.535,comfort,0.47
82,mörkbrun,0.8,ordinair,0.689,bureau,0.591,kasimir,0.543,slort,0.539,dameoch,0.578,montera,0.535,religionsvetenskap,0.47
83,talg,0.8,rymlig,0.689,täckwagn,0.59,lackera,0.543,damehattar,0.538,brabantska,0.577,yllegarner,0.535,herrhatt,0.47
84,wagnar,0.8,täcke,0.686,mälad,0.589,batist,0.542,klädningstyger,0.538,sortcradt,0.577,profsortiment,0.535,ntsökt,0.469
85,sammet,0.799,mörkblå,0.685,jacka,0.589,salopp,0.542,modeartikel,0.538,titelstilar,0.576,modeartikel,0.534,skådespelarekonsten,0.469
86,socker,0.796,nättelduk,0.685,stind,0.589,sidentyg,0.541,tyll,0.537,bijouterier,0.576,herrkostym,0.534,inbekomna,0.469
87,sint,0.796,snöre,0.684,tagel,0.589,monster,0.541,gardintyger,0.537,durabla,0.576,pälsvara,0.534,njtt,0.468
88,kor,0.796,fwarta,0.684,kläde,0.588,gardintyg,0.541,corderoyer,0.537,snilj,0.576,sommarvantar,0.534,mathematisk,0.468
89,go,0.795,slängkappa,0.678,servis,0.587,ensittsig,0.54,fransa,0.537,negligeer,0.576,modelager,0.534,gant,0.468
90,böna,0.795,garnering,0.678,gardin,0.587,guitarr,0.54,brodera,0.537,pelsvaror,0.575,corderoyer,0.533,dessinatör,0.468
91,tjänlig,0.794,nv,0.677,sior,0.587,utdragssoffa,0.54,parasoll,0.537,klädningtyger,0.575,bluslif,0.533,oöfverträflade,0.468
92,torr,0.793,hona,0.676,krusa,0.586,plym,0.539,surtouter,0.536,border,0.575,barnhatt,0.533,assortera,0.467
93,caffe,0.793,mössa,0.676,fotsäck,0.586,satin,0.539,kapptyg,0.535,paletå,0.575,tapisseriarbete,0.532,kanellerade,0.467
94,sko,0.793,repetera,0.676,zittra,0.585,baksäte,0.538,shawletter,0.535,schawlar,0.574,accessoirer,0.532,margarinfabrikation,0.467
95,halsduk,0.793,faln,0.676,sidensarge,0.584,appretering,0.538,qvaliteter,0.535,yästtyger,0.574,sybeliör,0.532,hufvudspråk,0.466
96,koppar,0.792,sammet,0.675,kulör,0.583,rosett,0.538,fårdigsydda,0.535,hårprydnad,0.574,nyhemkommen,0.532,fårdigsydda,0.466
97,segel,0.791,päron,0.675,töm,0.583,twättas,0.537,underärm,0.534,wintermössor,0.573,sörsärdigas,0.531,kludd,0.466
98,äckta,0.791,arrack,0.675,trilla,0.583,sior,0.537,sattin,0.534,cachemir,0.573,inbekomna,0.531,konstindustrialster,0.466
99,fir,0.789,silf,0.674,bräm,0.583,märdbräm,0.537,assortera,0.534,sommarmössa,0.572,smakfull,0.531,herrumsmöbler,0.466
