,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,giorde,0.766,ärofull,0.737,bestydd,0.642,konnng,0.574,folkkär,0.606,kejsare,0.632,suverän,0.585
1,sultan,0.766,monarki,0.71,hjeltemod,0.637,minderårighet,0.56,kejsare,0.595,suverän,0.588,herskarne,0.582
2,mördare,0.761,ärorik,0.705,erkänsta,0.612,envishet,0.557,konung,0.587,furste,0.578,herskaren,0.582
3,ådagalägga,0.759,bragd,0.701,mildhet,0.607,ömaste,0.555,suverän,0.585,czar,0.575,kejsare,0.581
4,potemkin,0.755,missnöje,0.698,konungahus,0.605,potentat,0.546,tronarfvinge,0.583,herskaren,0.575,herrskare,0.58
5,wärdiga,0.754,mägtiga,0.697,wälwilja,0.604,herrskare,0.545,härförare,0.582,herrskare,0.571,konungaätt,0.573
6,dey,0.752,hjeltemod,0.696,gemäl,0.595,jerome,0.544,herskare,0.572,kejsar,0.566,furste,0.567
7,tyranni,0.75,rättwis,0.696,mandom,0.595,loyala,0.543,loyala,0.569,herskarne,0.564,krigsherre,0.566
8,ösiver,0.749,hjälte,0.694,nädigste,0.591,tron,0.543,furste,0.569,krigsherre,0.551,unionskonung,0.565
9,födelsedag,0.748,verksamhet,0.691,thronen,0.59,legitim,0.543,herrskare,0.569,statsman,0.55,herskares,0.56
10,missnöje,0.747,förfwara,0.69,ömaste,0.59,ärelystnad,0.543,kanaris,0.568,herskare,0.549,familjetradition,0.555
11,äterkalla,0.745,följderne,0.69,swurit,0.59,medlare,0.539,vänskapsförhållande,0.561,konungaätt,0.548,lierskare,0.551
12,grid,0.745,härdhet,0.69,alstad,0.59,maktlystnad,0.539,frihetskämpe,0.56,folkkär,0.548,tillgifwcnhet,0.551
13,upkommit,0.744,hämnd,0.689,beskyddare,0.589,infantinna,0.537,tillgifvenheten,0.554,umberto,0.544,czar,0.551
14,preussisk,0.744,högmodig,0.688,patriotism,0.586,braganza,0.537,välönskan,0.552,herskares,0.538,herskare,0.549
15,hjeltemod,0.743,mäktig,0.688,gustafs,0.585,potemkin,0.535,potentat,0.551,loyala,0.536,tankesätt,0.546
16,återföra,0.743,oändlig,0.688,nordist,0.585,beherrskare,0.532,furstehus,0.549,familjetradition,0.534,broderriket,0.544
17,helighet,0.743,republikan,0.686,wörda,0.583,kriga,0.53,högsint,0.548,suveränerne,0.531,tillgifvenheten,0.543
18,proclamation,0.743,defensiv,0.686,wärdige,0.583,sjelfförsakelse,0.53,habsburgsk,0.545,unionskonung,0.531,regeringssätt,0.542
19,sivär,0.741,alliance,0.685,pånyttfödelse,0.583,åtnjöto,0.528,ärebetygelse,0.545,tillgifwcnhet,0.53,frihets,0.541
20,kejsar,0.74,trolös,0.684,ärftlig,0.583,oaflåtligen,0.528,sjelfherrskare,0.543,lierskare,0.528,loyala,0.54
21,öpnat,0.74,undran,0.683,eröfrare,0.582,högsinnad,0.528,wördnadsfulla,0.542,majestät,0.528,nndersåter,0.54
22,anförare,0.739,förfära,0.683,regent,0.582,erkänsta,0.528,storherren,0.541,ärekrönt,0.527,sjelfherrskare,0.538
23,mae,0.738,rikeligen,0.683,önstningar,0.581,alrid,0.527,italienarnes,0.54,stamfrände,0.526,landsherre,0.537
24,scen,0.738,trygga,0.683,konungslig,0.581,storsinnad,0.526,konungakrona,0.537,kyrkofurste,0.523,suveränerne,0.536
25,flutar,0.738,innewänarne,0.682,framhärda,0.58,bäjern,0.525,tillgifwcnhet,0.536,länsherre,0.523,folkkär,0.536
26,lefwerera,0.736,pragt,0.681,oafhängighet,0.579,thronföljarens,0.524,lyckönflningar,0.536,käjsare,0.522,pragmatisk,0.536
27,richard,0.736,ständaktighet,0.68,potemkin,0.579,uppoffrande,0.522,tankesätt,0.535,konung,0.522,umberto,0.534
28,förebråelse,0.736,dissa,0.68,mägtiga,0.578,hofman,0.522,ridderlig,0.534,battenbergarens,0.519,taleman,0.533
29,lifsfara,0.735,tillintetgöra,0.679,owilja,0.578,återförena,0.521,hjärtlig,0.533,storherren,0.519,kejsar,0.533
30,preusen,0.735,föremäl,0.679,storhertig,0.577,trångbröstad,0.521,kyrkofurste,0.533,tankesätt,0.519,stamfrände,0.533
31,upriktigt,0.735,krigshär,0.679,förswarare,0.577,hjälte,0.52,georgios,0.532,sjelfherrskare,0.518,battenbergarens,0.533
