,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mula,0.86,allni,0.836,epos,0.707,gudalära,0.65,gudalära,0.657
1,plansten,0.848,elberfeld,0.836,verldshistoriens,0.706,mytologi,0.649,mytologi,0.654
2,twämans,0.846,rubini,0.834,lamartines,0.697,mythologi,0.641,mythologi,0.65
3,oljemålning,0.844,vagnshjul,0.832,anakreon,0.695,gudasaga,0.631,gudasaga,0.645
4,ängd,0.843,illgöras,0.831,nicanders,0.687,hjeltesaga,0.629,hjeltesaga,0.645
5,hvisslingar,0.842,undervisare,0.828,sues,0.684,mytisk,0.627,mytisk,0.638
6,priö,0.841,görtz,0.826,mefistofeles,0.683,mythen,0.617,mythen,0.624
7,papparbete,0.841,kolmörk,0.825,goldschmidts,0.679,fenicisk,0.615,homerus,0.614
8,prie,0.841,catalani,0.825,petrarca,0.678,homerus,0.607,fenicisk,0.614
9,longitud,0.84,astrolog,0.824,kartago,0.676,mytologisk,0.602,mytologisk,0.609
10,spån,0.839,äppleträd,0.824,varierad,0.676,fornsvensk,0.6,fornsvensk,0.606
11,vattugränden,0.839,klappning,0.824,ethern,0.673,sågorna,0.599,vikingatid,0.6
12,lapa,0.839,nedgått,0.824,öfvertro,0.672,kronologi,0.598,kronologi,0.599
13,resewagn,0.839,tillståndsbevis,0.824,corneille,0.671,vikingatid,0.595,tondiktning,0.593
14,rummel,0.837,myntslag,0.823,renans,0.67,konstskapelse,0.589,folkanden,0.591
15,äsivensom,0.837,masse,0.823,lyrik,0.67,folkanden,0.588,konstskapelse,0.591
16,dödskamp,0.836,lefveranser,0.823,mytologisk,0.67,öfvertro,0.587,folksaga,0.588
17,styr,0.836,nedsölad,0.822,erotisk,0.67,tondiktning,0.586,offerväsen,0.588
18,rökt,0.834,hemm,0.822,enhetstanke,0.67,offerväsen,0.585,sågorna,0.588
19,göihgatan,0.834,vagnsdörr,0.822,divina,0.669,nytestamentlig,0.584,germanisk,0.585
20,säpboden,0.833,angifvas,0.821,boccaccio,0.666,germanisk,0.582,bildspråk,0.585
21,mirabeau,0.833,dilia,0.821,gudasaga,0.665,själslifvets,0.58,nytestamentlig,0.585
22,nei,0.833,mirabeau,0.82,dik,0.665,bildspråk,0.58,folklifsskildringar,0.584
23,f8tt,0.832,årel,0.82,stridsskrift,0.665,hegelska,0.579,fjolners,0.582
24,försåldt,0.832,ivenne,0.82,uppränning,0.665,naturfolk,0.578,medeltida,0.582
25,recommenderas,0.832,lagil,0.82,utvecklingsgång,0.664,kaldeiska,0.577,numismatik,0.582
26,andré,0.832,fdel,0.819,ungdomsdröm,0.664,ordform,0.575,darwinism,0.581
27,vriser,0.831,linar,0.819,bergspredikan,0.664,assyrisk,0.575,variant,0.581
