,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,fortnightly,0.786,fortnightly,0.786
1,politique,0.778,politique,0.778
2,zukunft,0.761,zukunft,0.761
3,contemporary,0.757,contemporary,0.757
4,nazione,0.757,nazione,0.757
5,economiste,0.751,economiste,0.751
6,nineteenth,0.741,nineteenth,0.741
7,franqaise,0.728,franqaise,0.728
8,century,0.728,century,0.728
9,monthly,0.727,wochenschrift,0.726
10,wochenschrift,0.726,medicinische,0.726
11,medicinische,0.726,illustré,0.724
12,illustré,0.724,nouvelle,0.724
13,nouvelle,0.724,mittheilungen,0.724
14,cocarde,0.724,cocarde,0.724
15,géographique,0.722,géographique,0.722
16,madridtidning,0.722,magazine,0.722
17,augsburger,0.719,madridtidning,0.722
18,sensationsartikel,0.719,augsburger,0.719
19,vjädomosti,0.719,sensationsartikel,0.719
20,lanterne,0.718,lanterne,0.718
21,figaro11,0.718,figaro11,0.718
22,magazine,0.717,aprilhäftet,0.717
23,aprilhäftet,0.717,turquie,0.715
24,turquie,0.715,saturday,0.713
25,mittheilungen,0.714,monthly,0.713
26,saturday,0.713,parisertidningen,0.71
27,parisertidningen,0.71,belgique,0.709
28,belgique,0.709,tissandier,0.708
29,tissandier,0.708,läkaretidskriften,0.707
30,läkaretidskriften,0.707,vjädomosti,0.707
31,parville,0.707,parville,0.707
32,france11,0.706,france11,0.706
33,vetserås,0.704,vetserås,0.704
34,liberte,0.704,liberte,0.704
35,weekly,0.703,weekly,0.703
36,review,0.703,review,0.703
37,francuis,0.701,francuis,0.701
38,profhäftet,0.701,profhäftet,0.701
39,dimanche,0.7,dimanche,0.7
40,femme,0.7,scientifique,0.7
41,scientifique,0.7,oktoberhäfte,0.699
42,oktoberhäfte,0.699,comptes,0.699
43,comptes,0.699,hygiéne,0.698
44,hygiéne,0.698,boulevardtidning,0.697
45,boulevardtidning,0.697,petermanns,0.697
46,tribunaux,0.696,tribunaux,0.696
47,journ,0.696,journ,0.696
48,chicots,0.695,epoca,0.694
49,epoca,0.694,femme,0.694
50,petermanns,0.694,christoph,0.693
51,christoph,0.693,parisien,0.693
52,parisien,0.693,européen,0.693
53,européen,0.693,vjestnik,0.693
54,vjestnik,0.693,chanson,0.692
55,utgitvit,0.692,utgitvit,0.692
56,feuillade,0.692,feuillade,0.692
57,gränja,0.692,gränja,0.692
58,siecle,0.692,siecle,0.692
59,chanson,0.692,lemoinne,0.691
60,lemoinne,0.691,goncourt,0.691
61,goncourt,0.691,musical,0.691
62,musical,0.691,sanningsökare,0.691
63,sanningsökare,0.691,rundschau,0.691
64,rundschau,0.691,messager,0.69
65,messager,0.69,indep,0.69
66,indep,0.69,chicots,0.69
67,petite,0.69,mondes,0.689
68,mondes,0.689,brefform,0.689
69,brefform,0.689,februarihäftet,0.688
70,februarihäftet,0.688,lafontaine,0.687
71,lafontaine,0.687,mechelins,0.687
72,mechelins,0.687,utgifvarinnan,0.686
73,utgifvarinnan,0.686,militärtidning,0.685
74,militärtidning,0.685,paristidningen,0.685
75,paristidning,0.685,daktören,0.684
76,paristidningen,0.685,common,0.684
77,daktören,0.684,februarinummer,0.684
78,common,0.684,egalité,0.684
79,februarinummer,0.684,wochenblatt,0.684
80,egalité,0.684,fresse,0.683
81,wochenblatt,0.684,pesther,0.683
82,fresse,0.683,monilören,0.683
83,pesther,0.683,hamburgischer,0.683
84,monilören,0.683,berl,0.682
85,hamburgischer,0.683,fackbladet,0.682
86,berl,0.682,claretie,0.682
87,fackbladet,0.682,tidskrist,0.682
88,claretie,0.682,imperiale,0.682
89,tidskrist,0.682,teaterkritiker,0.682
90,imperiale,0.682,paristidning,0.681
91,teaterkritiker,0.682,cormon,0.681
92,cormon,0.681,parisel,0.681
93,parisel,0.681,zette,0.68
94,zette,0.68,haussonville,0.68
95,haussonville,0.68,lancet,0.68
96,melinit,0.68,melinit,0.68
97,engineering,0.68,engineering,0.68
98,brcf,0.68,brcf,0.68
99,nävy,0.678,revue,0.679
