,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,odlingshistoria,0.705,nutid,0.796,nutid,0.748
1,kulturförhållanden,0.697,nntidens,0.667,nutidons,0.637
2,samhällslära,0.691,nutidons,0.666,beqvämlighetor,0.623
3,esthetiska,0.676,beqvämlighetor,0.653,beqvämiigheter,0.622
4,kulturutveckling,0.676,beqvämiigheter,0.645,nntidens,0.615
5,utvecklingsgång,0.672,bcqvämligheter,0.623,beqvämligheter,0.607
6,diktkonst,0.672,beqvämligketer,0.622,bcqvämligheter,0.591
7,vetenskaplighet,0.671,beqviimligheter,0.617,beqvämligketer,0.59
8,undervisningsväsen,0.671,beqvämligheter,0.612,beqvåmligheter,0.581
9,närbeslägtad,0.67,beqvåmligheter,0.603,beqviimligheter,0.581
10,fenicisk,0.668,beqvämliglieter,0.603,beqvämliglieter,0.573
11,romanisk,0.666,beqvämlighoter,0.596,beqvämligbeter,0.568
12,samhällelig,0.665,beqvämligbeter,0.593,beqvämlighoter,0.567
13,medeltida,0.665,bekvämlighet,0.586,nntida,0.563
14,statssystem,0.661,beqväinligheter,0.585,beqväinligheter,0.562
15,språkvetenskap,0.66,boqvämligheter,0.585,qvämligheter,0.56
16,likaberättigande,0.66,qvämligheter,0.582,bekvämlighet,0.554
17,folkfamilj,0.658,beqväraligheter,0.58,beqrämligheter,0.554
18,nationalära,0.656,beqrämligheter,0.578,boqvämligheter,0.549
19,arkeologi,0.65,nntida,0.578,beqvämlig,0.546
20,statsborgerlig,0.65,beqvämlighe,0.575,beqväraligheter,0.545
21,lifskraftiga,0.65,beqvämlighetcr,0.574,beqvämlighe,0.542
22,kulturhistorisk,0.648,heqvämligheter,0.572,heqvämligheter,0.538
23,physiska,0.647,beqämligheter,0.567,beqvämlighetcr,0.537
24,samhällslifvets,0.646,beqvamligheter,0.564,beqvamligheter,0.537
25,hegelska,0.644,beqvämlig,0.564,beqämligheter,0.536
26,jordbeskrifning,0.644,nutideus,0.563,jungfrukammare,0.532
27,befolkningsförhållande,0.643,beqväml,0.561,bekvämlig,0.53
