,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,halfveckotidning,0.738,halfveckotidning,0.738
1,nyhetsafdelning,0.725,nyhetsafdelning,0.72
2,nyhets,0.706,nyhets,0.706
3,godtköpstidning,0.703,godtköpstidning,0.703
4,annonsorgan,0.688,intressebok,0.687
5,intressebok,0.687,decembernummer,0.675
6,decembernummer,0.675,romantidskrift,0.675
7,romantidskrift,0.675,folkblad,0.674
8,folkblad,0.674,annonsorgan,0.673
9,lätthandterligt,0.67,lätthandterligt,0.67
10,textinnehåll,0.668,textinnehåll,0.668
11,sjuspaltigt,0.667,sjuspaltigt,0.667
12,notisafdelning,0.664,notisafdelning,0.664
13,nyhetsblad,0.657,nyhetsblad,0.657
14,hufvudstadstidningarne,0.656,hufvudstadstidningarne,0.656
15,hufvudbladet,0.656,hufvudbladet,0.656
16,eagland,0.649,eagland,0.649
17,provinstidning,0.649,provinstidning,0.649
18,tidskriftslitteratur,0.648,tidskriftslitteratur,0.648
19,länsnyheter,0.648,länsnyheter,0.648
20,förströelseläsning,0.645,förströelseläsning,0.645
21,lagboksedition,0.645,lagboksedition,0.645
22,medarbetarskap,0.644,medarbetarskap,0.644
23,utgifningssätt,0.642,nybeter,0.643
24,underhallande,0.639,utgifningssätt,0.642
25,amatörfotograf,0.636,innehållsrik,0.64
26,illustré,0.635,underhallande,0.639
27,sextonsidig,0.635,illustré,0.635
28,klippföljetong,0.634,sextonsidig,0.635
29,åttaspaltigt,0.634,klippföljetong,0.634
30,lokalblad,0.632,åttaspaltigt,0.634
31,innehållsrik,0.63,lokalblad,0.632
32,textutrymme,0.629,textutrymme,0.629
33,riksdagstid,0.628,dagskrönika,0.628
34,venstersidan,0.628,taxt,0.628
35,allehanda1,0.627,venstersidan,0.628
36,lefnadskry,0.627,allehanda1,0.627
37,inlöras,0.626,lefnadskry,0.627
38,morgonupplaga,0.623,läsvärd,0.627
39,hufvudtidningen,0.623,amatörfotograf,0.626
40,marknadsberättelse,0.622,inlöras,0.626
41,folkbok,0.622,fackorgan,0.624
42,afsoenden,0.622,morgonupplaga,0.623
43,nybeter,0.621,hufvudtidningen,0.623
44,fackorgan,0.621,marknadsberättelse,0.622
45,aftonupplaga,0.62,folkbok,0.622
46,månadstidskrift,0.62,afsoenden,0.622
47,landsortsbladen,0.619,försäkringsform,0.622
48,belletristisk,0.618,aftonupplaga,0.62
49,dagskrönika,0.618,månadstidskrift,0.62
50,läsvärd,0.618,landsortsbladen,0.619
51,tonbladet,0.617,belletristisk,0.618
52,julhäfte,0.616,tonbladet,0.617
53,venstertidning,0.616,julhäfte,0.616
54,dubbelnummer,0.614,venstertidning,0.616
55,tidningames,0.614,dubbelnummer,0.614
56,hvarannandagstidning,0.613,tidningames,0.614
57,premieplansch,0.613,hvarannandagstidning,0.613
58,koltillgång,0.612,premieplansch,0.613
59,sidantal,0.611,koltillgång,0.612
60,aprilhäftet,0.611,riksdagstid,0.612
61,utgifvos,0.611,sidantal,0.611
62,julblad,0.61,aprilhäftet,0.611
63,folkvänlig,0.61,utgifvos,0.611
64,lokaltidning,0.609,julblad,0.61
65,umera,0.609,folkvänlig,0.61
66,veckotidskrift,0.608,lättläst,0.609
67,skriftspridning,0.608,umera,0.609
68,hufvudstads,0.606,veckotidskrift,0.608
69,annonstidning,0.606,skriftspridning,0.608
70,gratispremium,0.606,hufvudstads,0.606
71,synerligen,0.606,annonstidning,0.606
72,partifri,0.606,gratispremium,0.606
73,lättläst,0.606,synerligen,0.606
74,militärbördan,0.606,partifri,0.606
75,neutralitetsfråga,0.606,militärbördan,0.606
76,valkrångel,0.605,neutralitetsfråga,0.606
77,wermländingen,0.605,valkrångel,0.605
78,gratisbihang,0.604,wermländingen,0.605
79,aftonposten,0.604,gratisbihang,0.604
80,söndagsmagasin,0.603,aftonposten,0.604
81,följetongsafdelning,0.603,söndagsmagasin,0.603
82,återupplifvas,0.603,följetongsafdelning,0.603
83,teaterförhållanden,0.602,beliofven,0.603
84,kriminalroman,0.602,teaterförhållanden,0.602
85,veckorevy,0.602,kriminalroman,0.602
86,hufvudstadsorgan,0.602,veckorevy,0.602
87,romansamling,0.602,hufvudstadsorgan,0.602
88,sandefjords,0.601,julnummer,0.602
89,fattigvårdsfråga,0.601,romansamling,0.602
90,repetitorium,0.601,sandefjords,0.601
91,ntkommer,0.601,repetitorium,0.601
92,bokkatalog,0.601,ntkommer,0.601
93,jullitteratur,0.6,bokkatalog,0.601
94,nykterhetstidning,0.6,jullitteratur,0.6
95,hufvudstadstidningen,0.6,nykterhetstidning,0.6
96,hemtado,0.6,hufvudstadstidningen,0.6
97,familjeläsning,0.6,hemtado,0.6
98,saturday,0.6,familjeläsning,0.6
99,reli,0.6,saturday,0.6
