,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,utskott,0.802,offcntelig,0.723,stämning,0.649,offentelig,0.582,ofientlig,0.659,ofientlig,0.646,ofientlig,0.601
1,sälstapet,0.785,offentelig,0.704,offentelig,0.613,auction,0.575,aaktion,0.577,oflentlig,0.643,aaktion,0.594
2,öfwerläggning,0.782,vffentelig,0.68,årsstämning,0.591,friwillig,0.574,unktion,0.571,auktiou,0.625,oflentlig,0.587
3,märkwärdiga,0.779,offentclig,0.674,offcntelig,0.576,anction,0.55,förrattas,0.565,unktion,0.623,oftentlig,0.583
4,fastta,0.775,offenteliga,0.673,vffentelig,0.57,sriwillig,0.548,offentelig,0.563,aaktion,0.621,auktiou,0.581
5,ocd,0.775,bours,0.671,ärsstämning,0.566,ofientlig,0.547,auklion,0.563,offent,0.615,unktion,0.572
6,flen,0.774,offenteligt,0.629,offentclig,0.554,förrattas,0.539,fentlig,0.561,oftentlig,0.602,auktion,0.571
7,eftermidd,0.774,boursen,0.628,exekutiv,0.552,offentclig,0.531,anktion,0.559,anktlon,0.593,anktlon,0.564
8,utlysa,0.773,anstag,0.625,rädstugurätt,0.552,auklion,0.53,lörrätta,0.548,förätta,0.59,förätta,0.557
9,omröstning,0.77,försälljas,0.618,offenteligt,0.551,offcntelig,0.53,sriwillig,0.547,aukiion,0.579,ank,0.554
10,förädling,0.77,afstag,0.61,stamning,0.545,förråttas,0.525,sörrättas,0.545,förräta,0.578,gmom,0.546
11,bistop,0.77,minstbjudande,0.607,sriwillig,0.538,anktion,0.524,anction,0.54,gmom,0.574,lörrätta,0.546
12,ffn,0.768,stamning,0.605,friwillig,0.534,auktion,0.521,förråttas,0.538,törrättas,0.573,aukiion,0.541
13,dje,0.767,beursen,0.605,geuom,0.529,sörrättas,0.519,iörrättas,0.537,lörrätta,0.57,offent,0.535
14,fältherre,0.767,friwillig,0.604,anction,0.518,aukiion,0.519,aukiion,0.537,förättas,0.57,törrättas,0.531
15,tidningspapper,0.766,norna,0.604,genoni,0.516,anställcs,0.518,offenllig,0.535,förrattas,0.559,förräta,0.53
16,förtal,0.766,utrop,0.603,rådstugurätt,0.515,auetion,0.518,anklion,0.527,förråttas,0.557,förättas,0.528
17,klokhet,0.766,tion,0.599,auctionskammare,0.511,anktio,0.517,förrätta,0.526,auklion,0.556,förråttas,0.523
18,franstt,0.766,mestbjudande,0.597,afsiag,0.51,executiv,0.517,auction,0.522,anktion,0.554,anktion,0.516
19,sammankalla,0.766,auetion,0.596,anflagen,0.509,offenteligt,0.513,auktiou,0.522,förråt,0.552,angterprenadauktion,0.506
20,commendeuren,0.765,anflag,0.593,rädhnsrätten,0.509,exekutiv,0.511,arrendeauktion,0.52,ank,0.55,förrattas,0.505
