,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,inlupen,0.864,officiel,0.817,morning,0.683,officiel,0.622,officiel,0.774,officiel,0.783,officiel,0.694
1,efterlängtad,0.863,inlupen,0.794,officiel,0.678,wanderer,0.595,vinstpenningarne,0.641,offieiela,0.613,olficiela,0.582
2,franffe,0.861,hoftidning,0.771,messager,0.666,ministeriel,0.594,vinstlista,0.633,communiqué,0.603,olficiella,0.571
3,läm,0.856,bekräftelse,0.763,redactionen,0.661,preussische,0.582,offlciela,0.622,olficiella,0.602,reichsanzeiger,0.57
4,suwarow,0.855,omständlig,0.759,times,0.657,telegrafnotis,0.573,vinstpenningar,0.608,regeringsbladet,0.602,olficielt,0.569
5,retraite,0.855,bulletin,0.748,hoftidning,0.641,allgemeine,0.572,lottinnehafvare,0.605,reichsanzeiger,0.6,regeringstidning,0.568
6,cherson,0.854,bombay,0.741,inlupen,0.638,constitutionel,0.57,ouppmanad,0.595,regeringstidning,0.599,offieiela,0.566
7,qwarblifwa,0.854,arrestering,0.736,tidningspapper,0.635,neutralitetsförklaring,0.568,dragningslista,0.589,olficiela,0.594,regeringsbladet,0.561
8,wantar,0.853,hugnelig,0.736,monitör,0.633,beråttar,0.568,författningsrubrik,0.57,offleiela,0.59,communiqué,0.556
9,bestämmelse,0.852,bosnien,0.733,detaljerad,0.633,messager,0.566,dragningsplanen,0.569,petersburgskorrespondent,0.58,offleiela,0.551
10,inropare,0.852,monitör,0.733,ministeriel,0.63,patrie,0.566,offieiela,0.566,olficielt,0.573,agenzia,0.538
11,ikal,0.851,meddelt,0.733,moniteuren,0.63,bonapartistisk,0.566,reichsanzeiger,0.565,vjestnik,0.569,petersburgskorrespondent,0.536
12,directe,0.85,ral,0.732,wederläggning,0.628,telegrafdepesch,0.565,olficiela,0.557,agenzia,0.566,grashdanin,0.534
13,gisiva,0.85,kombinera,0.731,depeche,0.628,mörtling,0.56,osficiela,0.552,peterburg,0.565,abendpost,0.533
14,jämwal,0.85,wigliga,0.73,globe,0.627,morning,0.559,punkligt,0.547,offieielt,0.564,peterburg,0.533
15,atstillige,0.849,angäcnde,0.729,chronicle,0.625,hoftidning,0.557,staatsanzeiger,0.546,offlciela,0.561,graschdanin,0.532
16,däras,0.847,plymouth,0.725,meddelt,0.621,zeit,0.557,fändas,0.545,osficiela,0.56,nationalzeitung,0.531
17,pel,0.847,curir,0.724,hugnelig,0.618,telegrafisk,0.554,lottningsplan,0.544,lottinnehafvare,0.556,oflicielt,0.53
18,öfmer,0.846,toulonsta,0.724,gårdagsposten,0.616,pariserkorrespondent,0.554,derliga,0.543,ofliciela,0.555,allg,0.528
19,prägtig,0.845,volontär,0.722,baltimore,0.615,siecle,0.552,meddelan,0.543,graschdanin,0.555,ofliciela,0.528
20,ism,0.845,baltimore,0.721,zeitung,0.614,avisa,0.551,utlottningsplanen,0.543,abendpost,0.554,halfofficiel,0.527
21,palen,0.845,tartar,0.72,courrier,0.613,börsenhalle,0.551,originalplan,0.539,riforma,0.549,wienkorrespondent,0.524
22,stälig,0.844,rycktet,0.72,inrikesminister,0.611,horning,0.55,abendpost,0.532,stefani,0.547,berlinertidning,0.524
23,dagcligen,0.843,rystland,0.719,kringlöpande,0.61,observer,0.55,dragningsplan,0.528,nationalzeitung,0.547,dziennik,0.524
24,fältherre,0.843,äterkomst,0.718,tillskrifver,0.61,euligt,0.548,regeringstidning,0.525,czas,0.544,astrabad,0.523
25,efterfölja,0.843,cadiz,0.716,revue,0.61,palmerstons,0.548,vinstmedel,0.524,parisertidningarne,0.543,förbundstraktat,0.522
26,traktat,0.841,tidningspapper,0.713,förefallna,0.608,regeringsbeslut,0.547,ofliciela,0.524,sensationsartikel,0.543,vjestnik,0.522
