,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,orolig,0.825,stridig,0.75,sammansätta,0.585,olikartad,0.525,olika,0.544,olika,0.58,olilia,0.595,olilia,0.573
1,fläste,0.82,stadeliga,0.737,omättlig,0.585,olikhet,0.511,variera,0.525,packväf,0.563,skild,0.581,skild,0.541
2,widd,0.81,nödwändige,0.733,jordklot,0.582,sammanjemka,0.505,elifa,0.496,skild,0.536,elika,0.567,elika,0.528
3,stadeliga,0.799,reglor,0.723,stadeliga,0.573,jordklot,0.504,olikartad,0.491,skiljda,0.521,olika,0.551,skiljda,0.475
4,borgerlig,0.798,oräknelig,0.722,häckla,0.57,variera,0.502,utwälja,0.484,jordmåner,0.519,flilda,0.538,olikartad,0.47
5,oräknelig,0.797,wärkan,0.721,förädling,0.569,analog,0.49,qvaliteter,0.483,olita,0.513,olikartad,0.522,stilda,0.464
6,besynnerligen,0.794,almänhet,0.72,piano,0.567,mångfaldig,0.489,klimatisk,0.483,stilda,0.512,stilda,0.522,filialstyrelser,0.463
7,gäfwor,0.79,werkan,0.718,gröfwa,0.564,nyans,0.488,finlek,0.472,kokosmatta,0.505,packväf,0.522,olika,0.462
8,innefatta,0.785,ofullkomlig,0.717,blandning,0.564,vexter,0.488,qvalitéer,0.47,olikartad,0.504,olita,0.519,boträffar,0.462
9,bifall,0.785,doch,0.713,sammansättning,0.564,statshushållning,0.485,skiljaktig,0.465,nyancer,0.504,elifa,0.494,asigterna,0.459
10,wigtiga,0.783,ogrundad,0.711,redighet,0.563,folkslag,0.482,mikroskopisk,0.461,olilia,0.5,kokosmatta,0.481,fleie,0.456
11,gerning,0.782,philosophi,0.71,princip,0.563,geologisk,0.477,hithörande,0.46,växtslag,0.499,facer,0.479,mäjerier,0.456
12,gagnelig,0.78,folkslag,0.707,almänhet,0.56,afpassa,0.476,särskildta,0.459,tillskärningsmönster,0.493,skiljda,0.478,tlera,0.456
13,lynne,0.78,orimlig,0.707,olikhet,0.558,täthet,0.472,ligaste,0.459,sidenschalett,0.492,datovisare,0.477,hufvudgrupper,0.454
14,skatt,0.78,almant,0.705,reglor,0.558,skiljaktighet,0.472,sedelvalör,0.458,mattvarp,0.492,brancherna,0.477,flilda,0.454
15,andelig,0.779,upmarksamhet,0.701,oräknelig,0.554,mängfaldiga,0.472,faconer,0.457,särskildta,0.49,nyancer,0.476,sammanförande,0.453
16,handtera,0.778,charlatan,0.7,elefant,0.552,fenomener,0.471,marmoreradt,0.454,stärksätt,0.488,stiljda,0.476,föregingos,0.452
17,besynnerlig,0.778,arg,0.699,sedolära,0.552,angifna,0.47,kopparstycke,0.454,elifa,0.485,anmändas,0.47,olita,0.45
18,sielfwa,0.777,utrota,0.695,upsatte,0.551,methoden,0.47,stiljaktiga,0.453,stiljda,0.48,reggarn,0.47,noggraunt,0.449
19,fastän,0.777,hämma,0.694,gagnelig,0.551,skiljaktig,0.47,formater,0.451,lärger,0.479,samhällselement,0.468,förvaltningsgren,0.446
20,doch,0.776,galenskap,0.694,maculatur,0.55,skefva,0.468,mästarnes,0.451,variera,0.478,stärksätt,0.467,packväf,0.445
21,tilhöra,0.776,betunga,0.692,liderlig,0.55,tydelig,0.466,lieldst,0.451,särskilta,0.477,skiljaktig,0.466,organisationsform,0.445
22,taxa,0.776,magnetism,0.692,tydelig,0.549,sammansatt,0.465,scherling,0.45,killig,0.475,halsylletyger,0.466,motstridig,0.444
23,olaglig,0.775,uplyste,0.691,odling,0.548,modifiera,0.464,bomullsväfnad,0.45,delarnes,0.475,träbearbetning,0.465,inkomstgifvande,0.442
24,försök,0.774,onödig,0.691,lokal,0.548,konstruera,0.463,stilsort,0.45,känslostämning,0.475,boträffar,0.465,fartygscerter,0.442
25,utbre,0.773,betydlig,0.691,finhet,0.547,swagare,0.463,mansmössor,0.449,afsell,0.473,mjölkningsförmåga,0.464,mjölkningsförmåga,0.442
26,försätta,0.773,jordklot,0.69,lugna,0.546,sockerrör,0.463,serskilta,0.448,finlek,0.472,asigterna,0.463,rörelseform,0.44
27,förbättring,0.772,utwärtes,0.69,forte,0.546,termometer,0.462,linieradt,0.448,flottadt,0.47,trådtal,0.462,verldsliteraturen,0.44
28,stridig,0.771,grek,0.69,positiv,0.545,beskrifvas,0.46,proportionerlig,0.447,maskinarbete,0.47,ljudstyrka,0.462,näringslifvets,0.44
29,gilla,0.771,onaturlig,0.689,försämra,0.544,granlaga,0.46,menniskokroppen,0.447,sötvatten,0.47,olila,0.461,mönstergiltigt,0.44
30,utöfning,0.771,förföljelse,0.689,philosophi,0.544,inveckla,0.459,ntländska,0.446,garnsort,0.469,qvaiitéer,0.461,trigonometrisk,0.44
31,undersöka,0.77,onyttig,0.688,dömas,0.544,mångsidig,0.459,dobbla,0.445,strumpgarner,0.469,växtslag,0.459,nastik,0.439
32,kostsam,0.769,swärigheter,0.688,materie,0.543,eldfarlig,0.458,sinnesbeskaffenhet,0.445,närbeslägtad,0.469,osmörjade,0.458,djurvärld,0.439
33,förändra,0.768,fabel,0.688,betydeliga,0.541,trädslag,0.458,genomfördt,0.444,bisquits,0.468,konstbroderi,0.458,pessa,0.438
34,hwarannan,0.767,tänkande,0.688,flaget,0.54,sammanhålla,0.458,formation,0.444,afgudabilder,0.468,mäjerier,0.457,ornamental,0.437
35,form,0.767,wänffap,0.688,kärna,0.54,ändlös,0.457,ritpapper,0.443,waruprof,0.466,klasier,0.454,faijer,0.437
36,uttryck,0.766,anspräk,0.686,tillwerka,0.539,stympa,0.457,brefpapper,0.443,stiljaktiga,0.465,cherna,0.454,benämda,0.437
37,rysa,0.766,naturlig,0.686,moralista,0.538,folkstag,0.457,likformig,0.442,albumin,0.462,amorikanska,0.454,pmed,0.437
38,grek,0.766,lefnadssätt,0.686,sällsam,0.538,genomgätt,0.457,tillverkningskostnad,0.442,jordnatur,0.462,fiuaste,0.453,datovisare,0.437
39,hälsosam,0.766,afta,0.686,loka,0.538,konstgjord,0.457,helsiden,0.442,tlera,0.462,lapptäcke,0.453,skiljaktig,0.436
40,kula,0.765,gemenligen,0.684,ewiga,0.536,ordnadt,0.454,jordart,0.441,osmörjade,0.461,brnkliga,0.45,höjdmätning,0.436
41,myndighet,0.763,underbar,0.684,utwärtes,0.536,brän,0.454,mångartad,0.441,grundform,0.461,gofferering,0.45,häretter,0.436
42,plåga,0.763,otalig,0.684,uplysta,0.536,organisk,0.454,delad,0.441,uniformsmössa,0.461,halfblekta,0.45,flera,0.436
43,innerlig,0.763,sorgfällig,0.683,folkslag,0.536,klassifikation,0.452,nyans,0.441,ilera,0.46,ulika,0.449,öfnin,0.436
44,efterdöme,0.762,allestädes,0.682,upphöjning,0.535,mångfald,0.452,killig,0.44,förskrifvande,0.46,hufvudgrupper,0.448,grundado,0.435
45,myckna,0.762,utsprida,0.682,föregäende,0.534,folkflag,0.452,heterogen,0.44,särskild,0.46,fliljaktiga,0.448,yrkesgren,0.435
46,wänga,0.761,guds,0.682,verkan,0.534,tryckt,0.451,vexternas,0.44,bomullsklädningstyger,0.459,kringkörning,0.448,brancherna,0.435
47,äfwentyr,0.761,inkast,0.681,wetenstaper,0.534,rättsbegrepp,0.451,inventiös,0.439,kraftfodermedel,0.459,waruprof,0.445,vattenprof,0.435
48,styrelse,0.76,obegriplig,0.681,proportion,0.533,jemförlig,0.451,skosula,0.438,pappersskärm,0.458,organisationsform,0.445,fältförsök,0.434
49,uttrycka,0.76,likhet,0.68,anwändande,0.533,rotfrukt,0.45,proportionell,0.438,liesia,0.457,jemsörande,0.445,minimaltariff,0.434
50,bestä,0.759,egenteligen,0.68,wärkan,0.532,rödaktig,0.449,sidenvaror,0.438,asigterna,0.457,elevarbete,0.445,snickerimaskiner,0.434
51,förmon,0.759,riktighet,0.68,onaturlig,0.532,vanlighet,0.449,slata,0.437,kulturförhållanden,0.457,maskstorlek,0.444,ulika,0.433
52,försöka,0.758,uplysningar,0.679,upgifter,0.531,fjerdedelar,0.449,aritmetisk,0.437,kopparstycke,0.456,snickerimaskiner,0.443,strejkmöte,0.433
53,list,0.757,dömas,0.678,förträffeliga,0.531,utländssa,0.447,förhålland,0.436,ensidigheter,0.456,gammalnordisk,0.443,denoa,0.433
54,företagande,0.757,twifwelsmäl,0.678,beredning,0.531,rimlighet,0.447,uttryckssätt,0.436,börter,0.455,landsrepresentant,0.443,allägsnaste,0.432
55,störta,0.757,liknelse,0.676,änven,0.531,näringsmedel,0.447,machinpapper,0.434,renläsning,0.454,qvalltéer,0.443,corpsernas,0.432
56,okunnighet,0.757,öfwertygelse,0.676,fullkomlighet,0.531,folkstam,0.447,gjutstål,0.434,kvalité,0.453,ornamental,0.442,suggestiv,0.432
