,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,upphäfven,0.765,ordalydelse,0.656,moment,0.65,stadgande,0.691,stadgande,0.686
1,uppläsning,0.749,forslag,0.639,stängselförordning,0.62,handelsbalk,0.681,handelsbalk,0.653
2,riksdagsordning,0.749,klausul,0.634,skiftesstadga,0.616,moment,0.66,bankoreglemente,0.643
3,afgifvet,0.743,riksakt,0.632,grundlov,0.613,bankoreglemente,0.657,moment,0.641
4,afgifven,0.743,upphäfdt,0.629,giftermålsbalk,0.612,tryckfrihetsförordning,0.648,lagparagraf,0.64
5,ministérens,0.74,strafflag,0.624,dissenterlag,0.611,giftermålsbalk,0.648,tryckfrihetsförordning,0.635
6,operationsplan,0.737,skollag,0.623,bankoreglemente,0.608,tryckfrihetsordning,0.647,giftermålsbalk,0.634
7,lördagsbladet,0.736,lagförändring,0.622,redaktionsförändring,0.606,riksdagsordning,0.641,grundlagsparagraf,0.632
8,framställdt,0.735,lagförklaring,0.617,straffbalk,0.604,lagparagraf,0.639,straffbalk,0.625
9,häktning,0.734,hufvudgrunder,0.617,stadgande,0.604,skiftesstadga,0.638,skiftesstadga,0.624
10,återvälja,0.734,punktvis,0.615,riksakt,0.603,grundlagsparagraf,0.637,grufvestadgan,0.622
11,visadt,0.733,moment,0.612,krigsartiklarne,0.601,dikningslag,0.625,tryckfrihetsordning,0.622
12,föreskrifves,0.733,andragande,0.61,dikningslag,0.598,rättegängsbalken,0.622,dikningslag,0.62
13,211,0.732,pärs,0.609,grundlagsändring,0.597,författningsförslag,0.622,dissenterlag,0.618
14,representationsrätt,0.732,grundlagsförslag,0.608,författningsförslag,0.592,strafflag,0.621,stängselförordning,0.617
15,deputeradekammare,0.732,exceptionell,0.608,handelsbalk,0.591,ärfdabalk,0.62,expropriationslag,0.617
16,tryckfrihetsförordning,0.732,civillag,0.607,banklag,0.589,riddarhusordning,0.619,inteckningsförordning,0.617
17,preliminär,0.73,nationalrepresentation,0.606,jagtstadga,0.582,kommunalförordning,0.618,byggningabalk,0.617
18,andragande,0.73,lagtolkning,0.605,ingress,0.579,krigsartiklarne,0.618,riksdagsordning,0.616
19,congressen,0.729,bestämning,0.604,kriminallag,0.578,straffbalk,0.618,författningsförslag,0.616
20,inregistrera,0.728,valcensus,0.603,lagrum,0.577,byggningabalk,0.618,tidsbestämmelse,0.613
21,statsreglering,0.725,reformbill,0.602,ansvarsbestämmelse,0.577,lag,0.617,bränvinsförsäljningslag,0.609
22,uppstodo,0.725,throntalet,0.6,socialistlag,0.577,jordabalk,0.616,affattning,0.609
23,statshvälfning,0.724,modifikation,0.598,slutmening,0.577,fattigvårdsförordning,0.616,strafflag,0.608
24,angifne,0.724,lagutkast,0.597,kommunalförordning,0.577,expropriationslag,0.616,skjutsstadga,0.607
25,skuile,0.723,holsteinsta,0.597,rättegångsbalk,0.574,lagrum,0.615,grundlagsbestämmelse,0.605
26,lagstadgande,0.723,valordning,0.594,kommunallag,0.572,kyrkolag,0.615,lagrum,0.604
27,aflåtna,0.723,stadganderne,0.593,expropriationslag,0.572,bränvinsförsäljningslag,0.614,krigsartiklarne,0.602
28,sammanvaro,0.723,kommunallag,0.593,omarbetande,0.572,grufvestadgan,0.614,rättegängsbalken,0.601
29,mendizabals,0.723,fueros,0.591,byggningabalk,0.57,grundlagsbestämmelse,0.614,kyrkomötesförordning,0.601
30,aina,0.722,badiska,0.59,tryckfrihetsförordning,0.569,stängselförordning,0.611,kyrkolagskomiténs,0.601
31,livilket,0.722,tryckfrihetsbrott,0.589,valcensus,0.568,rättegångsbalk,0.609,rättegångsbalk,0.6
32,ingress,0.722,förflagswis,0.589,pnnkten,0.567,förordning,0.609,fattigvårdsförordning,0.6
33,vakant,0.722,lagstadgande,0.588,grufvestadgan,0.567,dissenterlag,0.608,fiskeristadga,0.6
34,oförändradt,0.722,grundlagsförändring,0.588,tillämpande,0.567,kyrkostämmoförordning,0.607,kyrkolag,0.598
35,afgafs,0.722,bevillningsstadga,0.588,förtydligande,0.567,kyrkolagskomiténs,0.606,kyrkostämmoförordning,0.598
36,nationalrepresentation,0.721,lagstiftningsåtgärd,0.587,riddarhusordning,0.566,affattning,0.606,kommunalförordning,0.598
37,arbetssätt,0.721,fastställande,0.586,kapitel,0.565,landstingsförordning,0.605,grundlov,0.597
38,fiåga,0.72,ziirich,0.586,ordalydelse,0.565,inteckningsförordning,0.603,ärfdabalk,0.596
39,försvarsskrift,0.72,förfis,0.586,bestämmelfer,0.564,skjutsstadga,0.603,presteden,0.595
40,fork,0.719,straffbalk,0.586,bevillningsstadgan,0.563,punkte,0.602,straffbestämmelse,0.594
41,minnespenning,0.719,asscende,0.586,strafflag,0.563,regeringsform,0.6,jordabalk,0.592
42,halftimma,0.719,handelsdomstol,0.585,utsökningslag,0.562,ingress,0.6,ingress,0.592
43,skolordning,0.718,hufvudtitlar,0.584,örslag,0.562,grundlov,0.599,läroverksstadga,0.591
44,inå,0.718,tryckfrihetsförordning,0.584,ofvanåberopade,0.562,läroverksstadga,0.599,riddarhusordning,0.591
45,landshöfdingeembete,0.718,uttryckelig,0.584,kyrkolag,0.562,slutmening,0.597,vexellag,0.59
46,klaring,0.717,folkting,0.583,beväringslagen,0.562,utsökningsbalk,0.597,utsökningsbalk,0.59
47,edgång,0.716,prorogation,0.583,bevillningsstadga,0.56,stadgarne,0.593,ansvarsbestämmelse,0.589
48,dagordning,0.716,framlagdt,0.581,formulering,0.56,presslag,0.593,stadgauden,0.589
