,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,anländt,0.819,afrest,0.71,königsberg,0.58,lisabon,0.549,reval,0.604,warschau,0.726,moskwa,0.681
1,destinera,0.807,memel,0.702,bremen,0.578,courierer,0.538,wien,0.592,moskwa,0.719,warschau,0.647
2,brest,0.803,stralsund,0.694,havre,0.577,pressburg,0.531,pettersburg,0.569,wien,0.685,wien,0.628
3,berlin,0.799,anländt,0.682,memel,0.571,wien,0.527,moskwa,0.562,berlin,0.681,tersburg,0.617
4,courier,0.798,bremen,0.68,anländ,0.565,curir,0.526,livadia,0.562,bukarest,0.656,bukarest,0.616
5,constantinopel,0.796,greifswald,0.675,haag,0.564,auvergne,0.525,cronstadt,0.556,odessa,0.651,moscau,0.611
6,portsmouth,0.793,sweaborg,0.673,rouen,0.564,cardiff,0.524,berlin,0.555,livadia,0.649,livadia,0.609
7,lyckligen,0.791,kalmar,0.671,stralsund,0.552,stettin,0.522,viborg,0.554,helsingfors,0.634,augsb,0.608
8,afgå,0.79,haag,0.671,janeiro,0.547,högqwarteret,0.521,königsberg,0.55,warsehau,0.614,odessa,0.603
9,depesch,0.788,danzig,0.67,curir,0.545,cowleys,0.519,moskva,0.549,orel,0.614,köben,0.603
10,härifrän,0.788,högqwarteret,0.67,äterkommen,0.545,cronstadt,0.518,carlsruhe,0.547,moskva,0.613,warsehau,0.602
11,toulon,0.785,helsingör,0.664,destineradt,0.535,boulogne,0.516,kronstadt,0.546,konstantinopel,0.613,telegrafnotis,0.599
12,toscana,0.783,affärda,0.664,boulogne,0.535,archangel,0.516,telegrafnotis,0.546,augsb,0.607,kischeneff,0.592
13,wien,0.781,mayland,0.663,courierer,0.534,rouen,0.515,stettin,0.544,kostroma,0.606,zcitung,0.59
14,genua,0.781,depecher,0.66,munchen,0.532,latour,0.514,kischeneff,0.543,smolensk,0.605,varschau,0.587
15,algier,0.779,pillau,0.658,wismar,0.53,moskwa,0.514,helsingfors,0.543,filippopel,0.603,dolgorucki,0.587
16,dublin,0.776,depesch,0.657,ternström,0.529,odessa,0.514,tilsit,0.539,tersburg,0.603,jokohama,0.586
17,haag,0.774,marseille,0.657,josefina,0.528,depeche,0.512,uleåborg,0.538,moscau,0.602,novgorod,0.584
18,ostindien,0.773,äterkommen,0.655,mecklenburg,0.526,haag,0.512,schlaffhorsts,0.532,varschau,0.601,hiroshima,0.584
19,inlöpa,0.769,cornwallis,0.655,helsingör,0.525,danzig,0.512,moscau,0.53,zcitung,0.598,konstantinopel,0.584
20,grans,0.769,suwarow,0.654,lille,0.524,triest,0.511,london,0.53,kischeneff,0.596,marinattaché,0.584
21,mayland,0.768,verona,0.654,stettin,0.523,biarritz,0.51,moflwa,0.529,dolgorucki,0.595,plojeschti,0.583
22,asien,0.767,kurir,0.654,högqwarteret,0.521,london,0.51,kalkutta,0.528,pesth,0.595,moskva,0.582
23,nelson,0.767,hill,0.653,trapezunt,0.521,tripoli,0.508,kiachta,0.526,teheran,0.592,athén,0.582
24,persien,0.765,arthur,0.651,mayland,0.52,königsberg,0.508,danzig,0.526,paris,0.588,belgrad,0.581
25,böhmen,0.765,munchen,0.651,granville,0.52,moskau,0.508,randers,0.521,nowgorod,0.586,kiachta,0.577
26,engelste,0.76,östersjön,0.651,bombay,0.519,baltimore,0.507,hangö,0.521,kiev,0.586,teheran,0.574
27,skottland,0.758,cadix,0.65,anlandt,0.519,courier,0.507,christinestad,0.518,kieff,0.585,smolensk,0.574
28,rastadt,0.758,palermo,0.649,rostock,0.518,telegrafnotis,0.506,rysk,0.518,charkov,0.585,philadelfia,0.57
29,wallachiet,0.757,rostock,0.649,wäntades,0.518,legationssekreterare,0.505,schuvaloff,0.517,peterhof,0.584,polit,0.57
30,härifrån,0.757,köpenhamn,0.649,flensburg,0.518,osten,0.505,stellin,0.517,kiew,0.584,pesth,0.569
31,affärda,0.754,afgå,0.648,litzabon,0.517,cork,0.504,augsb,0.515,orenburg,0.583,charkov,0.569
32,sicilien,0.753,lubeck,0.648,öfwerföra,0.516,ditkommit,0.502,stephano,0.514,marinattaché,0.583,athen,0.568
33,park,0.75,ambassadör,0.647,hitkommen,0.515,calais,0.501,rewal,0.514,rysk,0.58,abbazia,0.568
34,cadix,0.749,reson,0.646,calcutta,0.515,kontinenten,0.501,warschau,0.514,athén,0.579,filippopel,0.568
35,alexandria,0.749,dower,0.645,nizza,0.514,depecher,0.501,brtissel,0.513,warschan,0.578,pettersburg,0.566
36,basel,0.749,dresden,0.643,westindien,0.513,corfu,0.5,wiborg,0.511,telegrafnotis,0.578,lisboa,0.566
37,westindien,0.748,kiel,0.642,stafett,0.513,krigstheatern,0.499,haugesund,0.51,polit,0.577,kostroma,0.565
38,ärkehertig,0.747,magdeburg,0.642,fartpg,0.512,calcutta,0.499,kostroma,0.509,novgorod,0.575,warschan,0.565
39,försända,0.747,förrgär,0.641,marseille,0.512,buonaparte,0.498,shanghae,0.509,jokohama,0.575,tiflis,0.563
40,anlända,0.746,curir,0.641,triest,0.512,rewal,0.498,8an,0.508,cettinje,0.575,kiew,0.563
