,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mangen,0.909,tadla,0.791,korthet,0.717,twiswel,0.578,praxis,0.536,grundsats,0.528,obligatorist,0.472,undantagsfall,0.505
1,flä,0.908,loflig,0.789,förfarenhet,0.688,statsform,0.577,lagtolkning,0.535,reglor,0.474,reglor,0.46,måite,0.483
2,stackars,0.906,öfwertygelse,0.788,motsägelse,0.687,kabinetter,0.566,derivation,0.534,praxis,0.47,antiseptik,0.454,obrottsligen,0.481
3,ögnablick,0.905,eftersinna,0.787,theras,0.686,auctorer,0.559,språkbruk,0.522,konventionell,0.444,svårlärd,0.452,ränteliqviderna,0.479
4,männe,0.902,dömma,0.783,auctorer,0.683,upphäfwas,0.556,slentrian,0.515,trosartikel,0.444,ofvananförde,0.451,lungsiktig,0.479
5,hwi,0.901,förfördela,0.782,förestrift,0.677,skyddstull,0.55,utländning,0.512,ordställning,0.442,obrottsligen,0.449,minimiålder,0.479
6,upfylla,0.9,motsats,0.777,männe,0.676,ständen,0.55,maxim,0.512,maxim,0.439,grundsats,0.447,svårlärd,0.477
7,fördärf,0.899,räda,0.776,tydlighet,0.674,symptom,0.549,örslag,0.505,bedömmer,0.428,mäskning,0.444,lurendrägeri,0.476
8,henne,0.897,tvet,0.774,oförnuftig,0.671,fördomsfri,0.548,rimlighet,0.505,rättesnöre,0.424,utskratta,0.444,förutsedt,0.474
9,förknippa,0.897,blygas,0.774,frägar,0.67,beräkningsgrund,0.547,lösslita,0.504,värnpligten,0.423,aswikelse,0.442,fråmmande,0.474
10,utmärkt,0.897,ursäkta,0.771,hedning,0.67,förkastlig,0.546,abstraktion,0.503,skolsystem,0.418,alltförmycket,0.441,sakfråga,0.472
11,annar,0.896,agtning,0.77,ösning,0.67,sakkännedom,0.546,kännemärke,0.5,diskussionsprotokoll,0.418,ränteliqviderna,0.44,ofvananförde,0.471
12,befästa,0.896,orimlighet,0.769,wisserligen,0.668,oföränderlig,0.545,ledstjerna,0.498,ofvananförde,0.417,språkform,0.44,antiseptik,0.47
13,harm,0.895,männe,0.769,syndig,0.666,konsideration,0.545,theori,0.498,tvångslag,0.417,hushållare,0.44,handtverksmessig,0.47
14,wälsignelse,0.895,trodt,0.768,begärlighet,0.665,kränkning,0.544,bokstaf,0.497,nödfallsutväg,0.417,fältmässig,0.44,feriearbete,0.469
15,hämma,0.894,frägar,0.767,medge,0.665,respektera,0.543,utdöma,0.495,tilllämplig,0.417,egentli,0.439,skogsegaren,0.469
16,omkostnad,0.893,foster,0.766,rättwist,0.665,driffjäder,0.543,älägga,0.495,behölva,0.417,hörselrör,0.439,giftstadga,0.469
17,gif,0.893,singe,0.766,viss,0.664,tidsanda,0.542,statsborgare,0.495,bindemedel,0.417,jernkansleren,0.438,bråckåkomma,0.468
18,bätre,0.892,drifwer,0.765,almänhet,0.663,mosaisk,0.542,bokstafven,0.495,princip,0.416,konse,0.437,valtrassel,0.467
19,hastighet,0.892,korthet,0.764,motsats,0.662,utwecklingen,0.542,öfverträdt,0.494,rationalist,0.415,reglorna,0.437,nödfallsutväg,0.467
20,höflighet,0.892,fullkomna,0.764,gudlös,0.661,abstrakt,0.541,fördömelse,0.493,eftersträfvas,0.415,tidsindelning,0.437,afseendon,0.466
21,önskan,0.892,otacksam,0.763,korteligen,0.661,tryckfrihetslag,0.541,opolitisk,0.492,obarmhertighet,0.415,skogsegaren,0.435,ginväg,0.465
22,saft,0.891,rättfärdig,0.763,citera,0.661,andemening,0.54,förkastlig,0.491,skattesystem,0.414,åtskilnad,0.435,hufvudorsak,0.464
23,männistor,0.889,ffäl,0.763,bewisat,0.659,factum,0.54,skiljsmessan,0.491,spiritualism,0.414,minimiålder,0.435,vagnsklass,0.463
24,möjeligt,0.889,tp,0.763,eftersinna,0.658,iakttagelse,0.54,grundsats,0.49,manipulation,0.414,fastande,0.434,religionsform,0.462
25,wälmening,0.889,nödwändighet,0.762,förgäten,0.658,urkund,0.539,menniskoförstånd,0.49,ministérer,0.413,limiterad,0.433,eak,0.461
26,jämförelse,0.889,ledare,0.762,drömma,0.658,princip,0.539,trosartikel,0.489,mårken,0.412,hälsolära,0.433,knrser,0.46
27,gätt,0.888,frägas,0.761,deruppå,0.658,bevekelsegrund,0.538,oefterrättlighet,0.488,röstsätt,0.412,arktal,0.432,kvarnhus,0.46
