,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,begärelse,0.913,förjaga,0.765,potemkin,0.701,prerogativ,0.619,enväldig,0.596,tronarfvinge,0.602,herskare,0.566,furste,0.578
1,plär,0.908,trefnad,0.75,bestydd,0.688,dynasti,0.618,thronföljden,0.585,suverän,0.595,furste,0.566,kanslären,0.552
2,trefnad,0.904,undergång,0.749,konun,0.688,förswarare,0.615,minderårighet,0.582,presumtiv,0.576,suverän,0.565,herrskare,0.55
3,smicker,0.903,nedlägga,0.747,bäjern,0.685,hjeltemod,0.613,dynasti,0.582,thronföljden,0.568,konung,0.55,herskare,0.547
4,ward,0.902,inwärtes,0.746,ömaste,0.683,nystland,0.599,styrelseform,0.571,konungslig,0.567,herrskare,0.547,amadeo,0.546
5,kanske,0.9,bewara,0.744,patriotism,0.68,magten,0.597,etrurien,0.565,dahomey,0.564,liechtenstein,0.536,regeringstillträde,0.545
6,wärl,0.899,undergäng,0.744,hjeltemod,0.679,nordist,0.594,throner,0.564,regera,0.563,amadeo,0.535,humberts,0.544
7,dristig,0.898,högaktning,0.739,förfwara,0.679,statsmakt,0.594,thronföljare,0.557,arfsföljden,0.558,stambuloff,0.532,stambuloff,0.543
8,gior,0.896,regeringssätt,0.737,förord,0.677,tystlands,0.592,fältrop,0.556,humbert,0.555,regeringstillträde,0.529,regentskap,0.538
9,smärta,0.896,engeland,0.737,mustapha,0.672,sjelfförsakelse,0.591,vasall,0.553,dynasti,0.554,cetewayos,0.529,karaweloff,0.538
10,himla,0.895,wärdighet,0.736,formligen,0.671,förebild,0.59,grundlagen,0.549,herskare,0.553,karaweloff,0.528,cetewayos,0.538
11,trotsa,0.894,fadrens,0.734,mant,0.671,förfwara,0.589,tyrannisk,0.549,thronföljare,0.549,humberts,0.528,tronbestigning,0.535
12,unge,0.892,sjelfständighet,0.733,faderlig,0.67,mediation,0.589,envälde,0.549,konung,0.548,nndersåter,0.527,länsherre,0.534
13,offra,0.89,werkeliga,0.73,monument,0.67,suverän,0.589,suverän,0.546,tronföljare,0.547,regentskap,0.525,liechtenstein,0.532
14,hjälte,0.89,förunna,0.729,önffan,0.669,undersäter,0.588,konnng,0.544,vasall,0.545,konnngarne,0.525,natschewitsch,0.531
15,umgänge,0.889,räddning,0.728,oföränderlig,0.669,mägtiga,0.588,legitim,0.543,strumpebandsorden,0.544,kanslären,0.523,amadeos,0.531
16,rista,0.889,indien,0.728,uppriktighet,0.667,päfwens,0.588,despotisk,0.543,regeringssätt,0.543,länsherre,0.523,umberto,0.53
17,oskuld,0.889,ödla,0.728,gemål,0.664,nationalitet,0.585,adoptera,0.542,legitim,0.542,arfsföljden,0.522,käjsar,0.53
18,ynnest,0.888,mägtiga,0.727,päfwens,0.663,patriotism,0.585,konservatif,0.542,furste,0.541,umberto,0.521,toskana,0.529
19,zag,0.887,undersätare,0.727,storhertig,0.66,konungamakt,0.584,ärftlig,0.539,kanaris,0.54,tronbestigning,0.52,luitpold,0.529
20,ewig,0.887,polen,0.726,känflan,0.659,tillgifwcnhet,0.583,suveränitet,0.538,ställföreträdare,0.538,toskana,0.52,menelek,0.529
21,högaktning,0.887,oföränderlig,0.726,swurit,0.659,thronens,0.583,regeringssätt,0.537,werldslige,0.538,thronföljare,0.517,suverän,0.527
22,naken,0.887,önffan,0.726,gustafs,0.659,minderårighet,0.582,konung,0.536,enkekejsarinnan,0.536,carols,0.516,coburg,0.526
23,mangen,0.887,högfärd,0.726,hoswet,0.657,ärftlig,0.582,konstitutionel,0.534,herrskare,0.535,landsherre,0.516,mirza,0.526
24,dill,0.887,mandom,0.725,beskydd,0.657,bemedling,0.582,åtnjöto,0.534,furstehus,0.533,herskaren,0.515,carols,0.524
25,boch,0.887,wärdiga,0.725,tractaten,0.656,monark,0.582,regera,0.534,1637,0.533,konungaätt,0.515,koburg,0.524
26,gröfwa,0.886,hoswet,0.724,brottslig,0.656,suveränitet,0.581,prerogativ,0.531,hohenzollern,0.532,amadeos,0.514,radama,0.524
27,städja,0.886,stiftare,0.723,förmaning,0.655,status,0.581,usurpera,0.53,preusen,0.528,regentfamilj,0.513,alcantara,0.524
28,ehr,0.886,bayern,0.723,kurfurste,0.654,despotism,0.579,omskapa,0.529,battenberg,0.528,notablerna,0.513,thronföljare,0.522
29,mins,0.886,warning,0.722,undersäter,0.654,ministören,0.579,folkvilja,0.528,ärebetygelse,0.528,luitpold,0.513,pobedonoszew,0.522
