,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,källa,0.71,mediation,0.639,envojé,0.552,legering,0.554,förbundsråd,0.624,regeriugen,0.661,rogeringen,0.697,riksregering,0.657
1,pl,0.705,portugal,0.627,kongress,0.547,neutralitet,0.552,centralmakt,0.623,centralmakt,0.645,riksregering,0.692,rogeringen,0.653
2,wägen,0.692,gesandt,0.609,stämpling,0.544,mediation,0.552,uppbäfvande,0.609,ståthållarskap,0.631,miuistéren,0.679,regeringed,0.65
3,steg,0.69,rolighet,0.609,mediation,0.544,texas,0.548,anfallskrig,0.607,kongressförslag,0.627,gränskommission,0.667,miuistéren,0.649
4,präst,0.69,alliance,0.607,ministeren,0.541,envojé,0.544,congressen,0.605,turinerkabinettet,0.622,regeringeu,0.665,sanktionsvägran,0.648
5,tel,0.682,neapel,0.604,fredsunderhandling,0.539,kongress,0.541,undantagslag,0.6,mellanstaternas,0.621,regeridgen,0.664,regeringeu,0.647
6,brand,0.673,sjelfständig,0.602,hoswet,0.538,legation,0.538,cabinettet,0.595,unionsregering,0.62,signatärmakt,0.659,kreatursimportförbudet,0.64
7,bana,0.672,preussen,0.602,alliance,0.53,handelsfördrag,0.534,helstat,0.594,pariserkongressen,0.62,budgetutskott,0.657,stangska,0.636
8,högst,0.665,bayern,0.601,republik,0.529,algiers,0.534,fredsförslag,0.594,minisléren,0.618,regeriugen,0.652,signatärmakt,0.633
9,ck,0.664,garantera,0.599,uttrycklig,0.529,declaration,0.532,envojé,0.594,cabinettet,0.617,beernaert,0.651,regeridgen,0.633
10,lill,0.663,önffan,0.598,florida,0.528,slafhandel,0.531,helstatsförfattning,0.593,rogeringen,0.613,svarsnot,0.649,beernaert,0.628
11,enighet,0.657,lagstifta,0.598,krigsförklaring,0.525,protestation,0.53,ministerium,0.593,regoringen,0.612,ståthållarskap,0.648,kampministär,0.626
12,apa,0.657,engeland,0.597,höfwen,0.524,wapnen,0.53,directorium,0.591,ministér,0.608,kreatursimportförbudet,0.647,ministéren,0.625
13,smitta,0.656,corpsen,0.597,defensiv,0.524,diplomati,0.53,finansminister,0.588,vestmagterna,0.608,regentskap,0.646,minisléren,0.623
14,hwilkct,0.656,rysiland,0.597,äterwanda,0.524,alliance,0.529,skatteförenklingsfrågan,0.587,landsdelarnes,0.608,gering,0.644,regoringen,0.62
15,sweriges,0.655,directorium,0.595,bestydd,0.52,handelstraktat,0.529,erkännt,0.587,kuria,0.607,riksparlamentet,0.644,fursteval,0.618
16,ps,0.655,alliera,0.594,directorium,0.519,integritet,0.529,monsignore,0.586,ministéren,0.607,regeringskommission,0.642,turinerkabinettet,0.617
17,dartil,0.653,giorde,0.59,arrestering,0.518,instructioner,0.528,fueros,0.586,regeringsmyndighet,0.607,budgetkommission,0.641,svarsnot,0.617
18,tropp,0.651,stiftare,0.587,ultimatum,0.516,krigsförklaring,0.528,skolreform,0.585,utrikesministéren,0.607,regeringed,0.64,statsministerium,0.615
19,oä,0.65,romersta,0.587,administration,0.515,swärigheten,0.527,storherre,0.585,regeridgen,0.605,militärutskott,0.639,öfverherrskap,0.614
20,bäda,0.65,bern,0.585,mägtiga,0.514,sanktionera,0.527,fredsvilkor,0.584,deputeradekammaren,0.605,budgetsutskottet,0.639,konsulatbeslutet,0.611
21,hwarandra,0.649,uprätta,0.585,junta,0.511,förbundsdag,0.527,legering,0.584,svarsnot,0.605,regoringen,0.638,protestnot,0.611
22,byggnad,0.648,preusten,0.585,lagstiftning,0.511,constitution,0.526,medgafs,0.583,ferrys,0.605,landdag,0.637,venstermajoriteten,0.608
23,sjelswa,0.648,bestydd,0.585,gering,0.51,makterne,0.526,handelspolitik,0.58,förbundsregering,0.604,regeri,0.635,töranledt,0.606
24,jämförelse,0.647,hoswet,0.584,wapnen,0.51,ultimatum,0.525,senat,0.58,neutralitetsförklaring,0.604,minisléren,0.631,nettet,0.606
25,wänstra,0.647,nädigste,0.584,formligen,0.51,regentskap,0.524,pärs,0.579,förbundsråd,0.604,regeridgens,0.631,åkerbruksministern,0.606
26,trängsel,0.646,fortfarande,0.584,bistä,0.508,ministeren,0.523,kamrarnes,0.579,ofelbarhetsdogm,0.603,kabi,0.63,torten,0.606
27,tak,0.645,ösiver,0.583,mantua,0.508,stedda,0.522,ministér,0.578,kabinetterna,0.602,kampministär,0.63,författningsstrid,0.605
28,kongsholmen,0.644,gynna,0.583,rystland,0.508,tillskrifver,0.521,afväpning,0.578,förbundsförfattning,0.598,fursteval,0.63,vensterhåll,0.605
29,inbrott,0.643,frankrike,0.582,rättwis,0.508,directorium,0.521,ministérens,0.577,stormagternas,0.598,regerin,0.629,folkethingets,0.604
