,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,äreställe,0.743,jättelik,0.657,bergstopp,0.621,isöken,0.636,isöken,0.633
1,krater,0.741,imposant,0.653,luftlager,0.611,bergstopp,0.602,bergstopp,0.597
2,sammanknyta,0.741,mullra,0.653,trädtopparne,0.585,sandöken,0.571,snöhöljda,0.577
3,vidunder,0.738,ödslig,0.652,bergstrakt,0.583,himlarymd,0.57,himlarymd,0.567
4,kortligen,0.737,ljussken,0.647,arktista,0.572,snöhöljda,0.566,sandöken,0.566
5,uråldrig,0.736,uppspringa,0.647,bergskedja,0.568,schakter,0.565,glacier,0.565
6,skiljde,0.733,rökpelare,0.644,snöhöljda,0.567,glacier,0.564,bergsplatå,0.561
7,utslockna,0.733,horizonten,0.639,urskog,0.567,bergsplatå,0.564,schakter,0.561
8,protestantism,0.732,etherisk,0.636,luftström,0.562,bergspets,0.562,bergspets,0.557
9,svalka,0.732,windarne,0.634,högslätt,0.56,jökel,0.559,jökel,0.554
10,slutta,0.731,stuggor,0.633,sandöken,0.558,azurblå,0.558,berglandskap,0.553
11,omgifvande,0.728,regndroppe,0.631,klimater,0.557,berglandskap,0.558,azurblå,0.553
12,trappsteg,0.728,hvalfbåge,0.63,ogästvänlig,0.557,polarregion,0.554,polarregion,0.551
13,fenomener,0.728,mänen,0.63,vandet,0.557,töcknig,0.552,töcknig,0.55
14,klyfta,0.727,firmament,0.629,glacier,0.553,tigris,0.55,tigris,0.544
15,kustland,0.727,nedtränga,0.629,vindpust,0.548,vinternatt,0.549,vinternatt,0.542
16,vågskål,0.726,portal,0.627,grässlätt,0.547,eufrat,0.545,vintergata,0.541
17,svalg,0.726,högö,0.626,schakter,0.544,skogbeklädda,0.543,polartrakt,0.541
18,emellanåt,0.724,vattenspegel,0.626,apenninerna,0.543,vintergata,0.543,klippig,0.54
19,månan,0.724,fjellen,0.625,halfklot,0.543,dunkelblå,0.541,skogbeklädda,0.538
20,obeskriflig,0.723,löfverk,0.625,lågland,0.542,klimater,0.54,klimater,0.537
21,menniskolif,0.723,wrä,0.625,solskifva,0.538,himlarand,0.54,dunkelblå,0.537
22,brännbar,0.723,hålväg,0.625,utflöde,0.538,innandöme,0.539,himlarand,0.537
23,inveckla,0.722,ständpnnkt,0.624,eldsprutande,0.537,eldsprutande,0.538,ödemark,0.537
24,driffjäder,0.722,synkrets,0.624,kosmisk,0.536,stimmer,0.536,eldsprutande,0.535
25,vilia,0.721,vattenånga,0.623,luftstreck,0.536,polartrakt,0.536,eufrat,0.535
26,horisont,0.721,egoist,0.623,nordpol,0.535,snötäckt,0.535,klipphåla,0.532
27,förderfvet,0.721,aftonrodnad,0.623,dalsänkning,0.535,ogästvänlig,0.535,bergsrygg,0.532
28,kommerciella,0.721,fadershus,0.622,kongo,0.534,andeväsen,0.534,stormmoln,0.531
29,genomvandra,0.721,klyfta,0.622,kolonisera,0.534,purpurfärg,0.533,nomadisk,0.53
30,skimmer,0.72,vinterkyla,0.622,verldsdelen,0.533,sykomor,0.533,snöbetäckta,0.53
31,boch,0.72,förswinna,0.622,folkstag,0.533,bergsrygg,0.533,luftlager,0.529
32,konstlad,0.72,dallra,0.62,hildal,0.532,skyhög,0.532,andeväsen,0.529
33,tomhet,0.72,lodrät,0.62,luftkrets,0.532,nomadisk,0.532,sykomor,0.528
34,utwecklar,0.718,regnbåge,0.619,periferi,0.532,klippig,0.532,ogästvänlig,0.528
35,intelligens,0.717,slutta,0.619,drömda,0.531,snöbetäckta,0.531,snötäckt,0.527
36,beträdt,0.717,luftig,0.619,skogklädd,0.53,försjunken,0.53,skyhög,0.527
37,materie,0.717,skogbevuxen,0.619,trädkrona,0.528,drömsyn,0.53,arktisk,0.526
38,vidskeplig,0.716,lagun,0.619,eldpelare,0.528,grönblå,0.529,drömsyn,0.526
39,sväfvar,0.716,däld,0.619,kusttrakt,0.527,luftlager,0.528,försjunken,0.526
40,öfversvämma,0.716,urladda,0.619,zenith,0.527,hejder,0.527,stimmer,0.526
41,konflikt,0.715,irrgång,0.618,jemnhöjd,0.527,bärget,0.527,purpurfärg,0.525
42,ogenomtränglig,0.715,halfdunkel,0.618,gränsland,0.527,klipphåla,0.526,grönblå,0.524
43,vålnad,0.715,bloss,0.617,bisvärm,0.527,rökmassa,0.526,kretslopp,0.522
44,vinningslystnad,0.715,aftonsol,0.617,pnnkter,0.526,bergskedja,0.525,windarne,0.522
45,horizonten,0.715,fjellet,0.616,atrium,0.525,kretslopp,0.525,trollsk,0.522
46,solsken,0.714,bjert,0.616,menniskobröst,0.525,nebulös,0.524,rökmassa,0.522
