,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,julstök,0.812,jemnmått,0.732,jemnmått,0.732
1,utprägla,0.81,uppstyltad,0.73,uppstyltad,0.73
2,sanningssökande,0.808,pregnant,0.725,pregnant,0.725
3,ironistt,0.803,pax,0.715,frasmakeri,0.714
4,martyrkrona,0.802,frasmakeri,0.714,bonhommie,0.713
5,twiswelsmäl,0.799,bonhommie,0.713,orakelspråk,0.712
6,fortfora,0.797,orakelspråk,0.712,pax,0.711
7,uppbyggelseskrift,0.796,formalistisk,0.71,upmarksamhet,0.71
8,inkarnera,0.796,upmarksamhet,0.71,skaldisk,0.71
9,markeradt,0.795,skaldisk,0.71,kommentator,0.708
10,bortdogo,0.793,kommentator,0.708,bålstora,0.705
11,jämlikhet,0.792,bålstora,0.705,skolastisk,0.704
12,mauser,0.79,skolastisk,0.704,spiritualitet,0.703
13,upfylt,0.79,färgrikedom,0.703,farsartad,0.702
14,hedersnamn,0.789,spiritualitet,0.703,pointera,0.702
15,frasmakeri,0.789,farsartad,0.702,stämninge,0.702
16,honorn,0.788,pointera,0.702,verldsalltets,0.702
17,longör,0.788,stämninge,0.702,verbal,0.701
18,drefve,0.788,verldsalltets,0.702,formalistisk,0.701
19,professorsstol,0.788,verbal,0.701,ängslighet,0.7
20,oomtvistlig,0.787,ängslighet,0.7,uttrycksmedel,0.7
21,tribunat,0.786,tankedjup,0.7,tankedjup,0.7
22,pointera,0.785,hårklyfveri,0.699,betagande,0.699
23,upmarksamhet,0.785,framställningskonst,0.698,hårklyfveri,0.699
24,utlåt,0.785,ansvarslös,0.697,beherskadt,0.696
25,slaffrågan,0.785,beherskadt,0.696,yrkesmässig,0.696
26,jemnmått,0.784,yrkesmässig,0.696,pointeradt,0.696
27,byste,0.784,uttrycksmedel,0.696,förgudning,0.695
28,egenrättfärdighet,0.783,pointeradt,0.696,inspireradt,0.695
29,despotista,0.783,förgudning,0.695,ofattbar,0.695
30,tillfredsstält,0.782,inspireradt,0.695,natursinne,0.694
31,spaniorernas,0.782,natursinne,0.694,objektivitet,0.694
32,känsloutbrott,0.782,objektivitet,0.694,exklamation,0.694
33,beherskat,0.782,exklamation,0.694,själsstämning,0.693
34,nickande,0.782,själsstämning,0.693,löjeväckande,0.692
35,qa,0.781,subjektivitet,0.692,subjektivitet,0.692
36,afgudisk,0.78,utsagd,0.691,färgrikedom,0.691
37,skrymtaktig,0.78,betagande,0.691,framställningskonst,0.691
38,pjoller,0.78,konstskapelse,0.691,konstskapelse,0.691
39,öfwerlägfenhet,0.78,räsonnemanger,0.691,räsonnemanger,0.691
40,domsbasun,0.78,utskratta,0.69,utskratta,0.69
41,thronerna,0.779,karrikerad,0.69,utsagd,0.69
42,mihräknat,0.779,omisskänlig,0.689,karrikerad,0.69
43,sliskig,0.779,folkkarakteren,0.689,omisskänlig,0.689
44,margretas,0.779,underström,0.689,folkkarakteren,0.689
45,förfinadt,0.779,karrikerade,0.688,underström,0.689
46,tilräckeligen,0.778,framfusighet,0.688,karrikerade,0.688
47,ekonomifl,0.778,oratorisk,0.688,framfusighet,0.688
