,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,inbyggare,0.74,inbyggare,0.662,stat,0.543,ständer,0.554,rikel,0.653,rikel,0.643,riko,0.651,riko,0.642
1,swea,0.694,wälfärd,0.619,sweriges,0.511,rikels,0.476,ständer,0.64,riko,0.588,rikel,0.572,rikel,0.532
2,förman,0.683,styrelse,0.602,urgammal,0.492,beläna,0.467,rikeis,0.581,ständer,0.581,bygnadsstadgan,0.527,minnthandlare,0.518
3,förbättring,0.683,bibehållande,0.595,norriges,0.488,piket,0.461,sländers,0.575,rikels,0.543,minnthandlare,0.516,bygnadsstadgan,0.516
4,undersåtare,0.681,sweriges,0.58,konungarike,0.476,stånd,0.461,sländer,0.575,rikes,0.524,delikatesshandlande,0.495,delikatesshandlande,0.511
5,inkomst,0.676,beständ,0.578,förenta,0.466,rank,0.461,rikels,0.569,stånders,0.514,konungarike,0.489,helsovårdsstadga,0.472
6,belägenhet,0.672,sjöfart,0.576,mediation,0.464,dank,0.459,nikets,0.567,postarfwode,0.507,land,0.477,postaustalter,0.467
7,födelse,0.672,wart,0.571,medlare,0.464,stapelstad,0.456,stånd,0.567,rikeis,0.497,ständer,0.475,väfnadshandlande,0.466
8,författning,0.672,gem,0.564,swea,0.462,bauk,0.438,kikets,0.566,postarswode,0.494,verldspostföreningen,0.474,stånders,0.465
9,märt,0.669,europa,0.56,stadeständ,0.462,swcriges,0.437,stander,0.563,sländers,0.49,rikels,0.474,välfournerade,0.458
10,rättighet,0.661,swea,0.557,verksamhet,0.461,fullmäktig,0.436,stånder,0.562,nikets,0.489,likställande,0.474,tidningsförsäljare,0.457
11,nation,0.659,preusien,0.556,provincer,0.461,utlåning,0.436,stånders,0.558,rikcts,0.486,postaustalter,0.473,stordignitärer,0.456
12,gem,0.658,stat,0.555,handelsstad,0.458,stadfästelse,0.429,afslogo,0.554,bankoverk,0.485,storfurstendöme,0.472,flebta,0.456
13,utsprida,0.657,inbördes,0.553,preusien,0.458,autoriteter,0.428,bikets,0.551,bygnadsstadgan,0.485,osmanista,0.469,skandinavi,0.453
14,rörelse,0.654,regent,0.551,hertigdöme,0.458,fullmägtige,0.426,deijemte,0.544,bvklädor,0.484,stordignitärer,0.463,osmaniska,0.451
15,regera,0.653,konungarike,0.547,dannemark,0.457,landtmän,0.422,höglofl,0.544,bikets,0.483,ntbekommas,0.463,jernkramhandlare,0.451
16,widd,0.644,ädagalagt,0.544,omräde,0.454,sländer,0.421,rikes,0.536,hosrätter,0.477,postväsen,0.462,sverges,0.449
17,styrka,0.643,sjelfständighet,0.542,europa,0.452,öfverlemnadt,0.418,riks,0.536,nästsammanträdande,0.476,helsovårdsstadga,0.461,land,0.449
18,europa,0.639,provincer,0.541,hufwudstad,0.45,statswerkets,0.417,slänt,0.534,sländer,0.476,konsulater,0.459,rikes,0.448
19,gemensam,0.639,städerne,0.54,interesse,0.449,gassa,0.416,rikets,0.534,land,0.475,postarswode,0.459,aflytta,0.446
20,både,0.636,förwaltning,0.54,krigs,0.449,höglofl,0.414,fullmägtige,0.527,byggnadsstadga,0.474,btäder,0.457,konsulater,0.445
21,undergång,0.632,trefnad,0.54,ständer,0.449,samverkan,0.414,aflåten,0.524,tidsberäkning,0.474,rikes,0.455,ntbekommas,0.445
22,privilegium,0.627,indien,0.539,wälfärd,0.448,belåna,0.414,bauk,0.524,ständers,0.474,stånders,0.455,bvklädor,0.444
23,religion,0.625,sjöfolk,0.539,magter,0.446,ständerne,0.412,delegation,0.523,telegrafkorrespondens,0.469,verldsdelens,0.455,postsparbankens,0.444
